company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
智邦科技,2024,碳排,full,Stage 1: Entity Match,168,NONE,91,編號 揭露項目 章節與說明 頁碼 創新研發 3-3  重大主題管理 重大主題與利害關係人議合 19-26 自訂 主題  創新研發 2.2 創新技術研發 60-62 環境面 編號 揭…
智邦科技,2024,碳排,full,Stage 1: Entity Match,169,G2|G3|G4,91,"編號 揭露項目 章節與說明 頁碼 305-3 其它間接（範疇三） 溫室氣體排放 3.2 節能減碳 80-81, 172 305-4  溫室氣體排放密集度 3.2 節能減碳 81 3…"
智邦科技,2024,碳排,full,Stage 4: Hybrid Consensus,83,G1|G2|G3,92,◐近4 年溫室氣體排放量數據統計表 ISO 14064 標準 GHG Protocol 2021 年 2022 年 2023 年 2024 年 類別 三：來自組織 所產生的間接溫室 …
智邦科技,2024,碳排,full,Stage 4: Hybrid Consensus,82,G1|G4|G5,92,3.2 節能減碳 I. 溫室氣體排放量統計 智邦減碳目標：2030 年減碳50%，2050 年淨零碳排。(2021 年為基準 年) 智邦響應國際減碳趨勢，減碳的第一階段為溫室氣體盤查…
智邦科技,2024,碳排,full,Stage 4: Hybrid Consensus,80,G5,92,TCFD 四大主軸 智邦科技管理現況  指標與 目標 評估及管理氣候相 關風險與機會之指 標目標 1. 智邦科技 主要減碳目標：為2030 減碳50%，2050 淨零碳排。 2. 除…
智邦科技,2024,碳排,full,Stage 4: Hybrid Consensus,174,G1|G2,91,近4 年溫室氣體排放量數據統計表 單位：tCO2e 廠區 2021 年 2022 年 2023 年 2024 年 類別1 類別2 類 別4 類別1 類別2 類別3 類別4 類別1 …
智邦科技,2024,碳排,full,Stage 4: Hybrid Consensus,76,NONE,91,風險樣態： R2 （政策與法規） 加強排放報告義務： 1. 金管會推動上市櫃公司揭露碳盤查資訊透明揭露，依特定行業別及 資本額門檻分三階段強制上市櫃公司揭露碳盤查結果。 2. 智邦…
智邦科技,2024,碳排,full,Stage 4: Hybrid Consensus,92,NONE,91,智邦科技、鈺登科技、越南智邦 邊界 智邦竹北AI 園區、智邦新竹科學園區、竹南廠、越南智邦、鈺登 邊界 3.4 綠色產品管理 I. 產品碳足跡驗證 為了應對全球趨勢，世界各大企業紛…
智邦科技,2024,碳排,full,Stage 2: Sparse Match,74,NONE,92,3.1 氣候轉型與策略 I. 2024 智邦科技氣候風險機會 風險機會矩陣圖 • 2022 年鑑別氣候風險機會，彙整高科技 電子暨網通設備製造氣候風險與機會，經 高階主管問卷調查回饋…
智邦科技,2024,碳排,full,Stage 2: Sparse Match,79,G5,92,TCFD 四大主軸 智邦科技管理現況 策略 1.  針對重大氣候相關風險與機會，永續委員會分析其對組織產生之衝擊 原因及衝擊程度，提出因應策略及行動方案。同時評估組織所需投入之資源及…
智邦科技,2024,碳排,full,Stage 2: Sparse Match,75,G2,91,重大風險/ 機會 類別 氣候情境 時間 財務衝擊類型 財務衝擊 因應策略 R11  (急性實體風險)  增加極端天氣事 件的嚴重性 實體風險 SSP5 中期 營收減少 預估氣候變遷…
智邦科技,2024,碳排,full,Stage 3: Dense Match,77,NONE,91,機會情境： O6 ( 產品與服務) 開發或擴大低碳產品與服務： 1. 因應氣候變遷，全球經濟導向零碳經濟，科技電子產品硬體規格及其軟硬體應用 皆朝向高能效低碳排方向發展。 2. 開…
