company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
中國信託,2024,碳排,full,Stage 1: Entity Match,86,G1、G2、G3、G4、G5、G6,2355,"[[p.86]]  2024 Sustainability Report 執行成效 ▍GRI 302-1, 302-3, 302-4, 303-1, 303-2, 303-3, 305-1, 305-2, 305-3, 305-4, 305-5, 306-1, 306-3, 306-4, 306-5 溫室氣體 中信金控2023 年通過科學基礎減量目標(SBT)審查，以2021 年為基準年，訂定短 期(2025 年)減碳18%、中期(2030 年)減碳40.5%、長期(2035 年)減碳63%的目標。 溫室氣體排放 - 範疇 一、二 2025 目標 2024 2023 基準年2021 營運排放(公噸二氧化碳當量)1 範疇一 2,769 4,959 4,132 3,377 範疇二2 地理基礎排放 - 46,021 40,044 38,817 市場基礎排放3 31,830 42,296 39,581 38,799 範疇一+範疇二 地理基礎排放 - 50,980 44,176 42,195 市場基礎排放 34,599 47,255 43,713 42,176 覆蓋率(%) 100 100 100 100 營運排放密集度 公噸二氧化碳當量 ／每百萬淨收益 地理基礎排放 - 0.27 0.32 0.23 市場基礎排放 - 0.25 0.32 0.23 公噸二氧化碳當量 ／每人 地理基礎排放 - 1.80 2 2.22 市場基礎排放 - 1.67 1.98 2.22 1 (1)範疇：2024 年為中信金控、中信銀行(新增海外子行)、台灣人壽(含中信產險及日月行館) 、中信證 券(含中信證投顧、中信證創投及新增CTBC Asia limited)、中信投信、中信創投(含中信育樂、中信資 本、和順興及新增仲信租賃) 、中信資產、台灣彩券、中信保全、中信資融。 (2)溫室氣體排放計算採營運控制權法，以活動數據*排放係數*GWP 值，分別採用環境部2024 年溫 室氣體排放係數、IPCC 2021 第六次評估報告(AR6，GWP100)，其中中信銀行海外子行、CTBC  Asia limited、仲信租賃以當地盤查/確信標準計算。溫室氣體包含二氧化碳(CO2)、甲烷(CH4)、氧化亞 氮(N2O)、氫氟碳化物(HFCs)、全氟碳化物(PFCs)、六氟化硫(SF6)、三氟化氮(NF3)。 2 電力排放係數採用：0.474(2024 年)、0.494(2023 年)、0.502(2021 年)公斤二氧化碳當量/度。 3 範疇二2023 年起新增市場基礎(market based)盤查，上述2021 年市場基礎排放數據未經第三方驗證。 溫室氣體排放 - 範疇三 溫室氣體排放量(公噸二氧化碳當量) 2024 2023 商務旅行1 6,295 4,122 員工通勤 2 66 56 營運產生之廢棄物 3 301 340 與燃料和能源相關之活動4 7,953 7,915 投融資 19,255,766 20,154,0435 1 (1)商務旅行範疇：中信金控及中信銀行，涵蓋飛機、私車公用(2024 年新增)、高鐵、計程車。 (2)碳排數據計算方式：(a)飛機–依據美國環保署US EPA 2024 年公布的短、中、長程航程定義及其對應 碳排係數計算；(b)私車公用–依據環境部碳足跡資料庫自用小客車(汽油)因載運乘客使用之燃料所產生 的溫室氣體排放係數0.115kgCO2e/延人公里計算；(c)高鐵–依據台灣高鐵2020 年公佈的32 gCO2e/每 人-每公里計算；(d)計程車–依據環境部碳足跡資料庫營業小客車(汽油)因載運乘客使用之燃料所產生的 溫室氣體排放係數0.133kgCO2e/延人公里計算。 (3)飛機碳排係數計算納入甲烷(CH4)、氧化亞氮(N2O)，同步調整2023 年碳排數據。 2 (1)員工通勤範疇：中信金控、中信銀行、台灣人壽(含中信產險)、中信證券(含中信證投顧及中信證創 投)、中信資產、中信創投(含和順興管顧)、中信投信、台灣彩券、中信資融的臺灣地區正式員工。 (2)碳排數據計算方式：以問卷調查員工通勤使用的主要交通工具與通勤距離，2024 年收回有效問卷 14,956 份，佔中信金控總員工人數54.79%，並以平均數據法推估集團通勤碳排。 3 依據環境部碳足跡資料庫廢棄物焚化處理服務(苗栗縣垃圾焚化廠)(2018)的溫室氣體排放係數 0.34kgCO2e/公噸計算，廢棄物衍生的碳排放量通過第三方查證。 4 採用環境部產品碳足跡資訊網公告，排除範疇二電力購買所產生的碳排放，其餘原料開採、原料運 輸、提煉燃燒、發電營運、電網輸配到用戶插座及發電營運廢棄物處理等能源相關活動的碳排放量。 2023 年起除電力間接排放外，新增統計其他燃料，含柴油、汽…"
中國信託,2024,碳排,full,Stage 1: Entity Match,162,G3,1233,[[p.162]]  2024 Sustainability Report GRI 準則揭露項目 章節/說明  頁碼 2-28 公協會的會員資格 05. 社會-夥伴參與 127-128 2-29 利害關係人議合方針 02. 永續藍圖-利害關係人溝通與 重大性分析 23-26 2-30 團體協約 05. 社會-員工賦能 108 GRI 3：重大主題2021 3-1 決定重大主題的流程 02. 永續藍圖-利害關係人溝通與 重大性分析 20-22 3-2 重大主題列表 02. 永續藍圖-利害關係人溝通與 重大性分析 20-22 責任金融 3-3 重大主題管理 02. 永續藍圖-利害關係人溝通與 重大性分析 02. 永續藍圖-永續目標及達成 情形 03. 永續金融-永續金融管理方針 20-22 27-33 36 203-1 基礎設施的投資與支援服務的 發展及衝擊 03. 永續金融-影響力金融 37-56 普惠金融 3-3 重大主題管理 02. 永續藍圖-利害關係人溝通與 重大性分析 02. 永續藍圖-永續目標及達成 情形 03. 永續金融-普惠金融 20-22 27-33 64-74 203-2 顯著的間接經濟衝擊 03. 永續金融-普惠金融 57-66 客戶關係管理 3-3 重大主題管理 02. 永續藍圖-利害關係人溝通與 重大性分析 02. 永續藍圖-永續目標及達成 情形 03. 永續金融-客戶關懷 20-22 27-33 67-71 GRI 準則揭露項目 章節/說明  頁碼 數位金融 3-3 重大主題管理 02. 永續藍圖-利害關係人溝通與 重大性分析 02. 永續藍圖-永續目標及達成 情形 03. 永續金融-創新數位金融 20-22 27-33 81-89 203-2 顯著的間接經濟衝擊 03. 永續金融-創新數位金融 72-76 氣候變遷策略與淨零目標 3-3 重大主題管理 02. 永續藍圖-利害關係人溝通與 重大性分析 02. 永續藍圖-永續目標及達成 情形 04.環境-2050 淨零藍圖  04.環境-氣候相關財務揭 露（TCFD） 20-22 27-33 78-81 92 302-1 組織內部的能源消耗量 04. 環境-綠色營運 87 302-3 能源密集度 04. 環境-綠色營運 87 302-4 減少能源消耗 04. 環境-綠色營運 87 305-1 直接（範疇一）溫室氣體排放 04. 環境-綠色營運 86 305-2 能源間接（範疇二）溫室氣體 排放 04. 環境-綠色營運 86 305-3 其它間接（範疇三）溫室氣體 排放 04.環境-2050 淨零藍圖 04. 環境-綠色營運 83 86 305-4 溫室氣體排放密集度 04.環境-2050 淨零藍圖 04. 環境-綠色營運 83 86 305-5 溫室氣體排放減量 04.環境-2050 淨零藍圖 04. 環境-綠色營運 82 86 人才吸引與留任 162
中國信託,2024,碳排,full,Stage 1: Entity Match,162,G3,180,. 環境-綠色營運 86 305-3 其它間接（範疇三）溫室氣體 排放 04.環境-2050 淨零藍圖 04. 環境-綠色營運 83 86 305-4 溫室氣體排放密集度 04.環境-2050 淨零藍圖 04. 環境-綠色營運 83 86 305-5 溫室氣體排放減量 04.環境-2050 淨零藍圖 04. 環境-綠色營運 82 86 人才吸引與留任 162
中國信託,2024,碳排,full,Stage 4: Hybrid Consensus,180,G1、G2、G3、G4、G5、G6,1980,"[[p.180]]  2024 Sustainability Report 環境相關數據 溫室氣體 2025 目標 2024 2023 2022 2021 2020 營運排放(公噸二氧化碳當量)1 範疇一 2,769 4,959 4,132 3,223 3,377 3,596 範疇二2 地理基礎排放 - 46,021 40,044 40,502 38,817 38,310 市場基礎排放3 31,830 42,296 39,581 40,502 38,799 38,310 範疇一+範疇二 地理基礎排放 - 50,980 44,176 43,725 42,195 41,906 市場基礎排放 34,599 47,255 43,713 43,725 42,176 41,906 覆蓋率(%) 100 100 100 100 100 100 營運排放密集度 公噸二氧化碳 當量／每百萬 淨收益 地理基礎排放 - 0.27 0.32 0.31 0.23 0.22 市場基礎排放 - 0.25 0.32 0.31 0.23 0.22 公噸二氧化碳 當量／每人 地理基礎排放 - 1.80 2 2.17 2.22 2.36 市場基礎排放 - 1.67 1.98 2.17 2.22 2.36 1 (1)範疇： 2024 年為中信金控、中信銀行(新增海外子行)、台灣人壽(含中信產險及日月行館) 、中信證 券(含中信證投顧、中信證創投及新增 CTBC Asia limited)、中信投信、中信創投(含中信育樂、中信資 本、和順興及新增仲信租賃) 、中信資產、台灣彩券、中信保全、中信資融。  (2)溫室氣體排放計算採營運控制權法，以活動數據*排放係數*GWP 值，分別採用環境部 2024 年溫 室氣體排放係數、IPCC 2021 第六次評估報告(AR6， GWP100)，其中中信銀行海外子行、 CTBC  Asia limited、仲信租賃以當地盤查/確信標準計算。溫室氣體包含二氧化碳(CO2)、甲烷(CH4)、氧化亞 氮(N2O)、氫氟碳化物(HFCs)、全氟碳化物(PFCs)、六氟化硫(SF6)、三氟化氮(NF3)。 2 電力排放係數採用：0.474(2024 年)、0.494(2023 年)、0.509(2022 年)、0.502(2021 年)、0.509(2020 年)、 0.533(2019 年)公斤二氧化碳當量/度。(盤查當下尚未公告係數時，以前一年度係數計算)。 3 範疇二2023 年起新增市場基礎(market based)盤查，2020~2022 年市場基礎排放數據未經第三方 驗證。 環保相關支出 2024 2023 2022 2021 2020 環保相關支出(萬元) 104,133 159,569 25,551 24,169 56,887 節能方案投入 20241 2023 2022 2021 2020 節能方案投入(新臺幣萬元) 5,014 4,533 1,528 2,657 1,135 節能方案總節電量(萬度) 91 106 155 169 173 節能方案總減碳量(公噸)2 432 525 793 847 882 1 2024 年節能方案約可省下新臺幣364 萬元，係以當年度較前一年度減少之用電量*本公司用電平均電價 4 元/度計算。 2 減碳量係以當年度較前一年度減少之用電量*電力排放係數計算。電力排放係數採用：0.474(2024 年)、 0.494(2023 年)、0.509(2022 年)、0.502(2021 年)、0.509(2020 年)、0.533(2019 年) 公斤二氧化碳當量/ 度。 (盤查當下尚未公告係數時，以前一年度係數計算)。 再生能源 2025 目標 2024 2023 2022 2021 2020 太陽能發電設備 產生電力(萬度) - 8.3 8.4 7.6 9.3 9.0 綠電轉供(萬度) 2,000 785.8 93.8 - 3.6 - 再生能源憑證(張)1 - 7,901 989 51 104 63 減少碳排放量總計 (公噸)2 - 3,764 504 39 65 46 1 2024 年再生能源自發自用取得42 張、綠電使用取得 7,859 張，共7,901 張。 2 2024 年依實際綠電轉供量計算約減少 3,764 公噸碳排放量；依取得的再生能源憑證計算約減少3,745 公噸碳排放量。電力排放係數採用：0.474(2024 年)、0.494(2023 年)、0.509(2022 年)、0.502(2021 年)、 0.509(2020 年)、0.533(2019 年) 公斤二氧化碳當量/度。 (盤查當下尚未公告係數時，以前一年度係數 計算)。 180"
中國信託,2024,碳排,full,Stage 3: Dense Match,83,G1、G3、G4、G5、G6,906,"[[p.83]]  財務碳排放  12,958,955 tCO 2e  碳足跡  4.2 tCO 2e/TWD MM 亞洲 財務碳排放  4,279,779 tCO 2e  碳足跡  4.1 tCO 2e/TWD MM 美洲 財務碳排放  364,674 tCO 2e  碳足跡  1.2 tCO 2e/TWD MM 歐洲 財務碳排放  1,652,358 tCO 2e  碳足跡  6.2 tCO 2e/TWD MM 其他 2024 Sustainability Report 近兩年財務碳排數據  2024 2023 資產類別 財務碳排 tCO2e 碳足跡 CO2e/TWD MM 財務碳排放 tCO2e 碳足跡 tCO2e/TWD MM 自有 資產 組合 股權及公司債 投資 3,800,889 2.5 4,816,678 3.2 主權國家債務 5,530,082 8.1 5,903,984 9.0 商業貸款 8,983,748 7.8 8,747,045 9.0 電廠專案融資 326,456 5.6 107,572 3.3 商業不動產融資 167,819 1.1 248,592 1.4 房屋貸款 446,772 0.4 330,172 0.3 總和 19,255,766 4.1 20,154,043 4.3 商業與個人汽車保險 15,660 6.8 26,183 18.5 投信管理資產 2,622,250 4.3 2,319,271 4.9  2024 產業別 財務碳排放 tCO2e 碳足跡 tCO2e/TWD MM 高碳 產業 電力供應業 4,480,502 31.9 海洋/航空運輸業 389,214 17.4 鋼鐵業/冶煉業 525,290 20.3 水泥業 515,548 41.6 石化業 1,341,132 11.9 化石燃料開採業 401,626 17.7 國內其他高碳排產業 448,862 3.8 非高碳產業 4,682,463 2.1 總和 12,784,637 4.8 83 目 錄 關 於 中 國 信 託 永 續 藍 圖 永 續 金 融 環 境 社 會 治 理 附 錄"
中國信託,2024,碳排,full,Stage 4: Hybrid Consensus,52,G1、G3,1587,"[[p.52]]  2024 Sustainability Report 低碳金融服務 中信銀行積極響應政府 2050 淨零碳排，2022 年起依循 ISO 14067 碳足跡查證制 度，逐步推動主要商品與服務碳足跡認證，2024 年已累計完成理財、轉帳、信用 卡及線上信貸碳足跡認證，並將 2023 年自臺灣碳權交易所購買的碳權，全數用於 信用卡、自行 ATM 帳戶服務及線上理財、轉帳的碳抵換，逐步實踐淨零目標。 其中，信用卡製程已達全程零碳排，每年可降低 559 公噸碳排放量1，相當種植  74,563 棵樹，2024 年中信信用卡以 602.1 萬張有效卡奪下國內信用卡三冠王，製 程零碳排具業界指標意義，所換發卡片亦採用強化打印技術，減少卡片磨損率與 換發率；每年寄送約 360 萬張晶片信用卡 / 簽帳金融卡，目標 2025 年全面換發完 畢，並在信用卡貼上製程零碳標章 (Carbon Neutral)，向客戶傳遞永續環保理念， 在每次消費中彰顯節能減碳的重要性。 2025 年 2 月線上信貸更取得環境部核發之碳標籤，透過碳足跡認證機制，掌握 產品及服務的關鍵碳排放熱區，導入數位科技提升流程效率與服務減碳成效，將 創新金融服務融入消費者生活場景，亦鼓勵客戶透過線上 APP 與平臺收付款， 節省紙張與刷卡機能源耗用，並在全臺分行設置智能引導員，推動無紙化服務旅 程，以科技驅動業務實質減碳。 臺灣碳權交易所碳抵換證明(左圖)；ISO 14067 線上信貸服務碳足跡認證(右圖)。 低碳商品與服務 業務 產品/服務 2024 年成果 影響力 存匯 ABC 分行 智能引導員 • 國內 154 個分行全 數佈建 • 來行客戶使用率達  7 成 • 2024 年持續推動分行無紙化服務旅 程，減少 966,304 張 A4 紙耗用1 • 在體驗分行運用 ABC 智能引導員 協助客戶，並結合神盾聯防機制， 守護客戶財產安全，連續三年榮獲 「 亞太暨台灣永續行動獎 」 • 獲得客戶認同，吸引超過 1 萬名客 戶投入「 點燃生命之火 」募款 支付 中信收款 APP (含 Tap to  Phone) • 突破 2 百萬筆交易 • 無紙化交易成長  8 % 店家使用 NFC 功能的手機搭配 APP， 即可讓手機化身刷卡機進行收款，年節 省近 54 萬張 A4 紙耗用2 商店 O2O  支付金流 整合平臺 交易金額突破 新臺幣 337 億元 2024 年減少 364 臺刷卡機耗用 信用卡 數位申辦服務 數位新卡 約 78.1 萬張 2024 年節省約 78.1 萬張紙本申請書， 同時減少約 61 萬張檢附文件紙張耗用 消金 個人貸款 線上申辦 • 信貸申請人次： 640,253 人 • 房貸申請人次： 45,982 人 • 信貸達 99% 透過線上申請 • 房貸約 96% 透過線上申請 財管 線上定期定額 投資優惠 • 全年交易筆數： 突破 347 萬筆 • 臺灣首家銀行推廣線上定期定額投 資基金，免收申購手續費和信託管 理費 • 降低申購金額為新臺幣 1,000 元 起，讓財務弱勢族群輕鬆啟動投資 • 與各家投信合作，推廣長期投資觀 念，投入逾新臺幣千萬廣宣費用號 召國人參與 1 分行取號紙 6 張合計為一張 A4 紙，2024 年透過 ABC 智能引導員節省 5,797,824 張取號紙耗用。 2 2024 年透過中信 APP 收款共 2,697,600 筆交易，10 張交易單據尺寸合計為一張 A4 紙，且每筆交易需 產出兩張交易單據(一張客戶收執聯、一張商店收執聯)。 1 製作 1 張信用卡產生 148 公克 (g) 的二氧化碳當量 (CO2eq)，2024 年共製作 3,778,378 張，合計碳排放量約 559.2 公噸。 52"
中國信託,2024,碳排,full,Stage 3: Dense Match,82,G1、G2、G3、G4、G5,1578,"[[p.82]]  範疇一、二減碳路徑 SDA 發電相關減碳路徑 ITR 授信/ 投資部位減碳路徑 一般發電業 授信部位 專案融資 投資部位 SDA 商業不動產減碳路徑 60,000 40,000 20,000 0 0.75 0.5 0.25 0 3.25 3 2.75 0 3 2.75 2.5 0 0.3 0.2 0.1 0 250 150 50 0 2021 2021 2021 2021 2021 2021 42,195 0.49 3.19 2.80 2.74 2.47 3.20 2.93 2.82 2.64 0.22 0.07 0.03 248 43 15,612 2027 2027 2027 2027 2027 2027 2024 2024 2024 2024 2024 2024 2030 2030 2030 2030 2033 2033 2033 2033 2022 2022 2022 2022 2022 2022 2028 2028 2028 2028 2025 2025 2025 2025 2025 2025 2031 2031 2031 2031 2034 2034 2034 2034 2023 2023 2023 2023 2023 2023 2029 2029 2029 2029 2026 2026 2026 2026 2026 2026 2032 2032 2032 2032 2035 2035 2035 2035 佈局再生能源  • 累計購買3,920 萬度綠電 退出燃煤及非常規油 氣開採之相關融資 退出燃煤及非常規油 氣開採之相關融資 持續投入離岸風電、太陽 光電等再生能源電廠融資 持續投入離岸風電、太陽 光電等再生能源電廠融資 制定綠色貸款框架引 導資金投入綠建築 強化利害關係人議合  2025 年針對高碳排融資部位 擇定50% 以上企業進行議合 ▃範疇一＋二（tCO2）●  2024年範疇一+二（tCO2） ▃目標路徑（tCO2/MWh）●  2024年碳排（tCO2/MWh） ▃S1+2目標（°C） ▃S1+2+3目標（°C）  ●  2024年S1+S2（°C）●  2024年S1+S2+S3（°C） ▃目標路徑（kgCO2/m2））●  2024年碳排（kgCO2/m2） ▃目標路徑（tCO2/MWh）●  2024年碳排（tCO2/MWh） ▃S1+2目標（°C） ▃S1+2+3目標（°C）  ●  2024年S1+S2（°C）●  2024年S1+S2+S3（°C） 強化利害關係人議合  持續針對高碳排投資標的制 定優先議合名單，並視情況 調整投資部位 163 ● 0.552 ● 38,6701 ● 0.07 ● 2.82 ● ● 2.93 2.16 ● 2.39 ● 1 計算範疇與提交 SBTi 目標之基準年(2021)範疇一致。  2此為目標核准前，既有承作電力供應業客戶因有燃煤電廠導致碳排强調超標，後續將於額度到期後查核該客戶轉型計劃以評估是否續借。 強化利害關係人議合  2030 累計輔導 1,000 家 企業客戶低碳轉型 2024 Sustainability Report SBT 目標與財務碳排管理 中信金控依循科學基礎減碳目標（SBT）設定明確的減碳路徑，針對自身營運及不同資產類別，分別設定減碳目標。2024 年建立SBT 目標管理機制，修訂金控「風險治理核 心政策」，定期監控SBT 目標符合情形，對超逾目標之資產組合進行原因分析並提出行動方案，呈報金控總經理；另持續强化投融資碳足跡管理，依資產類型、產業與地區 揭露財務碳排數據，作爲推動集團減碳行動的依據。2024 年SBTi 目標達成情形及近兩年財務碳排數據詳下： SBTi 目標達成情形 82"
中國信託,2024,碳排,full,Stage 3: Dense Match,180,G1,180,"約減少 3,764 公噸碳排放量；依取得的再生能源憑證計算約減少3,745 公噸碳排放量。電力排放係數採用：0.474(2024 年)、0.494(2023 年)、0.509(2022 年)、0.502(2021 年)、 0.509(2020 年)、0.533(2019 年) 公斤二氧化碳當量/度。 (盤查當下尚未公告係數時，以前一年度係數 計算)。 180"
中國信託,2024,碳排,full,Stage 2: Sparse Match,85,G1、G2、G3、G4、G5、G6,1101,"[[p.85]]  2024 Sustainability Report 環境目標 類型 策略 短期目標(2025) 中期目標(2029) 2024 年成果1 目標 達成情形 溫室氣體 擴大溫室氣體 盤查及查證範疇 • 海外子公司完成盤查及查證 • 符合主管機關要求，2027 年起 合併報表子公司完成盤查及查證 • 國內子公司完成盤查及查證 • 100%達成，國內子公司完成盤 查及查證 溫室氣體減量 （範疇一、二） • 較基準年(2021 年)減少18% • 較基準年(2021 年)減少36% • 較基準年(2021 年)減少13.5% • 較基準年(2021 年)減少8.35%， 因自主減碳有限及綠電採購不 易，致未達成目標 節能減碳 推動能源整合，提升 能源使用效率 • 用電量較基準年(2021 年)減 少1% • 用電量較基準年(2021 年)減 少1% • 用電量較基準年(2021 年)減 少1% • 100%達成，用電量較基準年 (2021 年)減少2.2% 再生能源 再生能源佈局 • 再生能源使用率達基準年(2021 年)總用電量25%以上 • 中國信託南港總部100%使用再 生能源 • 再生能源使用率達基準年(2021 年)總用電量25%以上 • 綠電採購累計達1,920 萬度 • 100%達成，2024 年綠電採購累 計達1,920 萬度 水資源 用水減量 • 年度人均用水量較基準年(2021 年)減少3% • 年度人均用水量不超過23.83 立 方公尺2 • 年度人均用水量較基準年(2021 年)減少3% • 園區 ISO 46001 水資源效率管 理認證導入可行性及範疇評估 • 100%達成，年度人均用水量較 基準年(2021 年)減少24.8% • 完成園區ISO 46001 水資源效率 管理系統驗證 廢棄物 廢棄物減量 • 年度人均廢棄物產生量較基準年 (2021 年)減少3% • 年度人均廢棄物產生量不超過  0.1 噸/人2 • 年度人均廢棄物產生量較基準年 (2021 年)減少3% • 100%達成，年度人均廢棄物 產生量較基準年(2021 年)減 少19.1% 1 溫室氣體(範疇一、二)計算範疇與提交 SBTi 目標之基準年(2021)一致；其餘計算範疇與基準年(2021)範疇一致。 2 人均用水量/廢棄物有其基本使用及產生量，以每年較基準年減少1%的情況下，推估至2026 年將達到限制，改以人均用水量/人均廢棄物量限額為管理基準。 85 目 錄 關 於 中 國 信 託 永 續 藍 圖 永 續 金 融 環 境 社 會 治 理 附 錄"
中國信託,2024,碳排,full,Stage 3: Dense Match,51,G1、G3、G6,578,"[[p.51]]  信用卡卡片製程每年抵銷約 559 公噸 碳排放量，約當種植  74,563 棵樹可吸收之碳排放量 透過培訓課程、講座及多媒體宣導，提升客 戶永續知識，「理財憑中信」直播每場均有 超過 百萬人次 觀看 國內全數分行佈建 ABC 智能引導員，推動無紙化服務旅程，減少近 97 萬 A4 紙耗用  綠色房貸與綠色信貸合計餘額達 新臺幣 85.63 億元，  線上信貸取得 ISO 14067 碳足跡 認證 中信銀行架上共 344 檔 ESG 基金 /ETF/ 債券，交易投資金額達 新臺幣 284.61 億元  中信投信發行 6 檔 ESG 基金，資產規模達 新臺幣 578.32 億元 中信收款 APP 無紙化年成長約 8 %， 年節省近 54 萬 A4 紙耗用 2024 Sustainability Report 永續個人金融 中信金控旗下子公司 - 中信銀行依循國際碳足跡盤查規範，持續推動主要金融產品與服務碳足跡認證，透過核心業務流程改善及數位優化，提供無紙化低碳金融服務；亦推 出永續理財商品、永續信用卡、數位化支付、綠色房貸及信貸等永續產品，幫助客戶實踐低碳生活；更定期推廣永續 ESG 知識，強化對內員工教育、對外客戶溝通。 51 目 錄 關 於 中 國 信 託 永 續 藍 圖 永 續 金 融 環 境 社 會 治 理 附 錄"
