company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
國泰,2024,碳排,full,Stage 1: Entity Match,218,G3,885,[[p.218]]  目錄 董事長的話 國泰永續影響力故事 關於國泰金控 永續評比與獎項肯定 01 永續策略與治理 02 氣候 03 健康 04 培力 05 永續金融 06 永續治理 07 附錄 重大主題 GRI 3：重大主題2021 3-1 決定重大主題的流程 1.3 利害關係人溝通與重大性分析 － 3-2 重大主題列表 1.3 利害關係人溝通與重大性分析 － 經濟績效 GRI 準則 揭露項目 章節／頁數 附註 GRI 3：重大主題2021 3-3 重大主題管理 1.3 利害關係人溝通與重大性分析 － GRI 201：經濟績效 2016 201-1 組織所產生及分配的直接經濟價值 0.1 關於國泰金控- 經營概況 － 201-2 氣候變遷所產生的財務影響及其它風險與機會 6.2 風險管理 － 排放 GRI 3：重大主題2021 3-3 重大主題管理 1.3 利害關係人溝通與重大性分析 － GRI 305：排放 2016 305-1 直接（範疇一）溫室氣體排放 7.2 ESG 績效數據表 表7 溫室氣體排放 － 305-2 能源間接（範疇二）溫室氣體排放 7.2 ESG 績效數據表 表7 溫室氣體排放 － 305-3 其他間接（範疇三）溫室氣體排放 7.2 ESG 績效數據表 表2 投融資組合財務碳排放、表7 溫室氣體排放 － 305-4 溫室氣體排放密集度 7.2 ESG 績效數據表 表2 投融資組合財務碳排放、表7 溫室氣體排放 － 勞雇關係 GRI 準則 䳶露項目 章眎／頁侷 附註 GRI 3：重大主題2021 3-3 重大主題管理 1.3 利害關係人溝通與重大性分析 － GRI 401：勞雇關係 2016 401-1 新進員工和離職員工 7.2 ESG 績效數據表 表12 新進人員性別／年齡分布 表13 離職人員性別／年齡分布 － 401-2 提供給全職員工（不包含臨時或兼職員工）的福利 4.1 職場培力 － 401-3 育嬰假 4.1 職場培力 7.2ESG 績效數據表 表18 育嬰留停統計、表19 家庭生育照護假統計 － 216
國泰,2024,碳排,full,Stage 4: Hybrid Consensus,45,G1、G2、G3,1600,"[[p.45]]  ▎上市櫃股權及公司債財務碳排地區分布 ・ 其他投資資產財務碳排 2024 年國泰依據碳核算金融聯盟（Partnership for Carbon Accounting and Financials) 指引，完整盤查指引涵蓋之各項資產，除上市櫃股權及公司債外，亦盤查未上市櫃股權、 主權債、專案投資及商業不動產投資資產財務碳排放量，總排放量為790 萬公噸二氧化碳 當量（排除LULUCF），碳排放強度為7.58 tCO2e ／百萬新台幣。 註1：承擔碳排放量為投資對象之範疇一與範疇二碳排；主權債僅包含範疇一碳排。 註2：自有資產涵蓋人壽、銀行、產險、證券之投資部位；管理資產涵蓋投信之投資部位。 註3：LULUCF 指土地利用變化及林業（Land Use, Land-Use Change, and Forestry，簡稱 LULUCF）。 ・ 授信組合財務碳排 2024 年國泰盤點授信資產組合碳排放量，涵蓋發電專案融資（Electricity Generation  Project Finance）、商用不動產抵押貸款（Commercial Real Estate Mortgage Loan） 及商業貸款（Corporate Loan），整體財務碳排放量為68 萬公噸二氧化碳當量，較去年 增加主係盤查範疇擴大；其中再生能源專案融資迴避碳排放為25 萬公噸二氧化碳當量。 ▎近三年授信資產財務碳排 註1：承擔碳排放量為融資對象之範疇一與範疇二碳排。 註2：2022 及2023 年統計範疇僅涵蓋銀行之授信部位；2024 年統計範疇涵蓋銀行及人壽之授信部位。 單位: tCO2e 2024 2023 2022 ■ 發電專案融資    ■ 商業不動產抵押貸款    ■ 商業貸款 800,000 600,000 400,000 200,000 0 649,466 482,408 355,119 31,652 34,517 40,590 112,128 152,493 碳排放量（tCO2e） 自有資產：602,809 管理資產：702,391 排放強度（tCO2e ／百萬新台幣） 自有資產：0.86 管理資產：1.39 台灣 碳排放量（tCO2e） 自有資產： 3,613,918 管理資產： 72,901 排放強度（tCO2e ／百萬新台幣） 自有資產：4.60 管理資產： 3.55 亞太 碳排放量（tCO2e） 自有資產：5,739,205 管理資產： 454,373 排放強度（tCO2e ／百萬新台幣） 自有資產：2.36 管理資產： 1.50 美洲 碳排放量（tCO2e） 自有資產： 699,900 管理資產：17,542 排放強度（tCO2e ／百萬新台幣） 自有資產：0.85 管理資產：1.26 歐洲 碳排放量（tCO2e） 自有資產： 363,006  管理資產： 22,844 排放強度（tCO2e ／百萬新台幣） 自有資產：2.85 管理資產：8.02 其他 2024年 自有資產 管理資產 碳排放量 （tCO2e） 排放強度 （tCO2e/百萬新台幣） 碳排放量 （tCO2e） 排放強度 （tCO2e/百萬新台幣） 未上市股權  59,518   1.39  0  0 主權債-排 除LULUCF  5,795,419   8.09  2,042,231  7.48  主權債-包 含LULUCF  5,694,947   8.55  1,845,441  6.76  專案投資  0  0 0  0 商業不動產 投資  5,614   0.56   0  0 目錄 董事長的話 國泰永續影響力故事 關於國泰金控 永續評比與獎項肯定 01 永續策略與治理 02 氣候 03 健康 04 培力 05 永續金融 06 永續治理 07 附錄 43"
國泰,2024,碳排,full,Stage 4: Hybrid Consensus,44,G1、G3,1043,"[[p.44]]  ∥監控財務碳排放 國泰深知金融機構於全球淨零扮演關鍵角色，為達到2050 金融資產淨零排放長期目標， 積極落實監控財務碳排放。國泰自2018 年起自主進行財務碳排放量盤查，參考SBTi 及 PCAF 方法學，逐年擴大投融資資產盤查範疇；並建立年度監控機制，定期盤點與分析各 子公司投融資組合的碳排放量變化，確保資本配置與減碳目標保持一致。完整國泰金控投 融資組合碳排放請見附錄表2。 ・ 投資組合財務碳排放 ▎上市櫃股權及公司債財務碳排 2024 年國泰上市櫃股權及公司債財務碳排放為1,229 萬公噸二氧化碳當量，自有資產投 資部位佔90%，管理資產投資部位佔10%，雖整體碳排放量較去年增加，然整體碳排放 強度較去年度減少1%；其中約73% 碳排集中於能源業及公用事業，國泰已採取更積極的 投融資管理與議合行動，以加速高碳排產業低碳轉型並降低資產的氣候風險。 ▎近三年上市櫃股權及公司債財務碳排 註1：承擔碳排放量為投資對象之範疇一與範疇二碳排。 註2：上表涵蓋自有資產及管理資產；自有資產涵蓋人壽、銀行、產險、證券之投資部位，管理資產 涵蓋投信之投資部位。 ▎上市櫃股權及公司債財務碳排產業分布 2024 2023 2022 14,000,000 12,000,000 10,000,000 8,000,000 6,000,000 4,000,000 2,000,000 0 2.3 2.2 2.1 2.15 2.17 2.25 10,869,706 9,664,642 9,802,508 1,419,183 1,784,985 953,894 ■ 上市櫃股權(tCO2e)   ■ 公司債(tCO2e)        上市櫃股權及公司債排放強度(tCO2e/ 百萬新台幣) ■ 總碳排佔比(%)  ■ 部位金額佔比(%)  ■ 總碳排佔比(%)  ■ 部位金額佔比(%)  自有資產 房地產 公用事業 通訊服務 資訊技術 金融 醫療保健 核心消費 非核心消費 工業 原材料 能源 40% 30% 20% 10% 0% 管理資產 房地產 公用事業 通訊服務 資訊技術 金融 醫療保健 核心消費 非核心消費 工業 原材料 能源 50% 40% 30% 20% 10% 0% 50% 目錄 董事長的話 國泰永續影響力故事 關於國泰金控 永續評比與獎項肯定 01 永續策略與治理 02 氣候 03 健康 04 培力 05 永續金融 06 永續治理 07 附錄 42"
國泰,2024,碳排,full,Stage 4: Hybrid Consensus,201,G1、G2,1492,"[[p.201]]  目錄 董事長的話 國泰永續影響力故事 關於國泰金控 永續評比與獎項肯定 01 永續策略與治理 02 氣候 03 健康 04 培力 05 永續金融 06 永續治理 07 附錄 註1：絕對排放量係指銀行公會範疇三金融資產碳排量（財務碳排放），碳排來源於承擔投融資對象 之範疇一與範疇二碳排。 註2：經濟排放強度單位：tCO2e/ 百萬新台幣；實體排放強度單位： kgCO2e/m 2（商用不動產貸款 與房屋貸款）。 註3：國泰世華銀行煤炭發電專案融資已於2024 年9 月到期，該類金融資產碳排量為0。 註4：產業係使用全球行業分類標準(GICS) 兩位數行業層級代碼做分類。 註5：範疇一和範疇二數據，採四捨五入取整數呈現於表格。故與範疇一與範疇二加總之數字有差異， 另亦與縱向總計數據結果略有不同。 ・ 表5 國內主要投融資部位屬高碳排者家數及產業分布 ・ 表6 綠色商品與服務 註1：國Ⰺ主銳投融顺部位中屬高焫䱗者，䭷䭽各投/ 融顺垥的Ⱆ司計皾財⹢焫䱗放量䖔，》至少⵸ 60% 高焫䱗部位，其中投顺對韌為國Ⰺ上市櫃Ⱆ司、授信對韌為國ⰊⰖ司，巑覇自剣投顺顺產 ⿺授信顺產，依PCAF ⿺本國銀行投融顺組合財⹢焫䱗放( 眔疇三) 實⹢手冊鹍行湎叅。 截至2024 年  12 月31 日 產噟類別 註4 ⴔ布 授信顺產 - ㉁噟貸妴 絕對排放量 註1 數據品質 分數 經濟排放強度 範疇一 (tCO2e) 範疇二 (tCO2e) 範疇一+ 二 (tCO2e) (tCO2e/ 百萬 新台幣) 能源 220,185  25,470  245,655 3.99 23.98 原材料 804,203  233,708  1,037,911 3.31 17.68 工業 173,802  28,804  202,606 3.79 2.81 非核心消費 76,007  73,627  149,634 3.82 1.55 核心消費 63,251  24,561  87,812 3.94 3.71 醫療保健 2,666  4,350  7,017 3.8 0.95 金融 85,670  14,467  100,137 4.25 0.56 資訊技術 19,084  165,229  184,313 2.83 1.73 通訊服務 703  5,408  6,111 3.96 0.34 公用事業 48,125  4,854  52,979 4.15 10.43 房地產 6,066  17,004  23,070 4.1 0.13 總計 1,499,763  597,481 2,097,244 3.81 2.8 2024 年國內主要投融資部位屬高碳排 所屬行業別 家數 碳排放量（tCO2e） 能源 7 109,105 原材料 43 608,395 工業 5 87,345 非核心消費 4 26,968 核心消費 6 49,895 資訊技術 18 364,771 通訊服務 2 35,445 公用事業 1 6,614 年⟧ 2022 2023 2024 太陽腊ꨵ站海Ⰺ㢪累計融顺之裝置容量（MW） 889 1,045 1,059 ꨅ岸괏ꨵ累計融顺之裝置容量（MW） 1,373 1,373 1,373 再生腊源工玐⿺設⪓⥂險（太陽腊、ꨅ岸괏ꨵ、 ꤶ域괏ꨵ）䪬⥂金額（億元） 1,830 2,111 3,522 公共自行車傷害險累計承保金額（萬元） 2,792 4,186 6,429 公共自行車傷害險累計承保人次（萬人次） 11,820 18,854 30,320 199"
國泰,2024,碳排,full,Stage 4: Hybrid Consensus,42,G2、G3,841,[[p.42]]  2.1.1 2050 金融資產淨零排放 國泰金控承諾2050 年金融資產淨零排放，向科學基礎減碳目標倡議組織（SBTi）承諾淨零碳排目標，已於2022 年通過短中期科學基礎減碳目標審核，並藉由每年監測氣候高風險因子與檢 視投融資組合碳排放情形，每5 年調整減碳目標，以確保達成金融資產淨零排放之長期目標。  ∥金融資產減碳目標與進展 資產類別 方法論及對應指標 進展 方法學：SBT 溫度法 指標：實際投資組合溫度  方法學：SBT 溫度法 䭷垥：實ꥸ投顺組合溫度 方法學：SDA 法 䭷垥：實ꥸ焫䱗強度 3.13 2.91 2.85 2.72 1.5 2 2.5 3 3.5 2020 2023 2024 2026 2.18 81% 77% 67% 0% 25% 50% 75% 100% 2019 2023 2024 2026 0% 100% 3.08 2.88 2.82 2.68 1.5 2 2.5 3 3.5 2020 2023 2024 2026 2.40 3.13 2.96 2.90 2.79 1.5 2 2.5 3 3.5 2020 2023 2024 2026 2.94 3.16 2.99 2.93 2.81 1.5 2 2.5 3 3.5 2020 2023 2024 2026 2.66 SBT 目標減碳理想路徑（℃）      實際溫度變化情形（℃） SBT 目標減碳理想路徑（%） 實際碳排強度變化（%） SBT 目標減碳理想路徑（℃）      實際溫度變化情形（℃） 發電專案融資 上市櫃股權及公司債 （管理資產） 上市櫃股權及公司債 （自有資產投資） ▎Scope 1+2 ▎Scope 1+2 ▎Scope 1+2+3 ▎Scope 1+2+3 目錄 董事長的話 國泰永續影響力故事 關於國泰金控 永續評比與獎項肯定 01 永續策略與治理 02 氣候 03 健康 04 培力 05 永續金融 06 永續治理 07 附錄 40
國泰,2024,碳排,full,Stage 3: Dense Match,197,G1、G2、G3、G6,1609,"[[p.197]]  目錄 ・ 表2 投融資組合財務碳排放 註1 註1：投融顺組合財⹢焫䱗放來自投融顺對韌之眔疇一莄眔疇二焫䱗。 註2：自剣顺產巑覇人壽、銀行、產險、證券之投顺部位；盗理顺產巑覇投信之投顺部位；授信顺產巑覇人壽、銀行之授信部位。 註3：上市櫃肅奙⿺Ⱆ司債、㉁噟貸妴為經濟焫䱗強度(tCO2e/ 倝台幣百蠜)；發ꨵ專呩融顺為實넒焫䱗強度(tCO2e/MWh)；㉁噟不動產抵押貸妴為實넒焫䱗強度(kgCO2e/m 2)。 註4：上鶣顺產類別之定義，⤙參照FINANCIAL SECTOR SCIENCE-BASED TARGETS GUIDANCE version 1.1 所銳求之必銳秜Ⰶ顺產。 註5：焫䱗顺料巑覇率為100%，搁焫䱗侷亘者，國泰꧋團參考PCAF 所建議的方法學鹍行推估，推估方法⤙包ゎ⟄建眠物類別之垛㖑匣單位面積用ꨵ量 (EUI) 推估之焫䱗放量、⟄斉麋侷亘推估之焫䱗放量，或⟄ MSCI 顺料庫⿺Bloomberg 提供之焫䱗放侷亘依照行噟別鹍行ⴔ類，所推估計皾的產噟焫䱗放⤙侷，或⟄剒䱹鵛年度財⹢顺料或帳⴩財⹢顺料推估之ⴔꂁ因子。 註6：上鶣㉁噟貸妴之眔圍不包ゎ短期⿺中小企噟貸妴。 2021 2022 2023  2024 範疇一+ 範疇二 （tCO2e） 排放強度 （tCO2e/ 百 萬新台幣） 範疇一+ 範疇二 （tCO2e） 排放強度 （tCO2e/ 百 萬新台幣） 範疇一+ 範疇二 （tCO2e） 排放強度 （tCO2e/ 百 萬新台幣） 範疇一 （tCO2e） 範疇二 （tCO2e） 範疇一+ 範疇二 （tCO2e） 排放強度 （tCO2e/ 百 萬新台幣） 資料品 質分數 自有資產 上市櫃股權 1,059,599 1.52 545,086 1.07 909,560 1.4  311,221   348,626  659,847 0.96 2.22 公司債 10,207,824 2.95 9,213,947 2.40 9,061,570 2.29  8,987,098   1,371,893  10,358,991 2.48 2.37 總計 11,267,423 2.71 9,759,033 2.25 9,971,130 2.17  9,298,319   1,720,519  11,018,838  2.26  2.35 管理資產 上市櫃股權 311,296 1.61 408,808 1.43 875,425 2.12  381,284   378,052  759,336 1.30 2.28 公司債 961,146 6.34 588,561 2.80 603,072 2.34  414,994   95,721  510,715 1.95 1.99 總計 1,272,443 3.69 997,369 1.32 1,478,497 2.21  796,278   473,773  1,270,051 1.50 2.17 2021 2022 2023 2024 範疇一+ 範疇二（tCO2e） 範疇一+ 範疇二（tCO2e） 範疇一+ 範疇二（tCO2e） 範疇一+ 範疇二（tCO2e） 排放強度 ( 註3) 資料品質分數 授信資產 發電專案融資 171,883 152,493 112,128 0 0 3.65 商用不動產抵 押貸款 29,282 40,590 34,517 31,652  65.16  商業貸款 432,660 355,119 482,408 649,466  2.29  總計 633,825 548,202 629,053 681,118 董事長的話 國泰永續影響力故事 關於國泰金控 永續評比與獎項肯定 01 永續策略與治理 02 氣候 03 健康 04 培力 05 永續金融 06 永續治理 07 附錄 195"
國泰,2024,碳排,full,Stage 3: Dense Match,199,G1、G2、G3,696,"[[p.199]]  目錄 董事長的話 國泰永續影響力故事 關於國泰金控 永續評比與獎項肯定 01 永續策略與治理 02 氣候 03 健康 04 培力 05 永續金融 06 永續治理 07 附錄 ・ 表3 國泰人壽投融資組合財務碳排放– 依本國保險業範疇三之投融資組合財務碳排放實務手冊 註1：財⹢䪬事焫䱗包ゎ眔疇一⿺眔疇二的焫䱗放量；主奙債財⹢䪬事焫䱗僅計皾眔疇一。 註2：主奙債- 包ゎLULUCF 的財⹢䪬事焫䱗為4,600,215 tCO2e，顺料品質ⴔ侷為4.04。 註3：專呩投融顺㖲為再生腊源放妴，依亘實넒活動基礎計皾財⹢焫䱗放量。由於再生腊源之焫䱗放⤙侷為0，故對應的眔疇一莄眔疇二焫䱗放量涻為0；另計皾專呩投融顺的鶫鼙焫䱗為39,723 tCO2e。 註4：表格中”-”表爙搁該類別顺產。 項目 投資組合/  融資組合 上市櫃股權  與公司債 商業貸款/  非上市櫃股權 專案投融資 商業不動產投融資 房屋貸款 汽車貸款 主權債  - 排除LULUCF 合計 財務承擔碳排  ( 單位：tCO2e) 投資組合 10,828,690 59,167 - 5,428 - - 4,602,060 15,495,345 融資組合 - 5,738 0 註3 464 37,720 - - 43,922 小計 10,828,690 64,905 - 5,892 37,720 - 4,602,060 15,539,267 資料品質分數 投資組合 2.34 3.96 - 4.00 - - 4.04 2.53 融資組合 - 5.00 3.00 2.27 4.00 - - 3.85 197"
國泰,2024,碳排,full,Stage 2: Sparse Match,65,G1、G2、G3、G4,1061,"[[p.65]]  2.2.2 綠色營運 為實現淨零排放，國泰金控訂定於2030 年，將範疇一與範疇二的絕對溫室氣體排放量減少至2020 年排放水準（60,243.66 tCO2e）的25%。此減碳目標涵蓋100% 營運據點之排放量，並 已於2022 年通過科學基礎減量目標（SBTi）審查認可。為更進一步加速低碳轉型，2024 年國泰自主強化此項減量目標，設定2030 年國內之減量幅度提升至42%。  ∥職場三化策略 職場三化策略 服⹢侷位⻊ 作噟行動⻊ 國泰的行動： ・焫垥硸：主銳產品㼫ⰆISO 14067 焫足跡湎叅 ・搁紙⻊：採用ꨵ子⥂單⿺黆騄投⥂服⹢、影⽪堤實ぜ制、設置雙輵䍋、行政崨玐侷位⻊ 2024 年推動成果： 碳標籤： 國泰世華銀行： ・2021 年-「個人無擔保貸款服務」ISO14067 碳足跡查證（首家以此獲頒環境部碳標籤及減碳標籤之銀行） ・2023年-「ATM零錢存款繳費服務」碳足跡查證、「個人房屋貸款服務」碳足跡查證（首家以此獲頒環境部碳標籤及減碳標籤之銀行） ・2024 年-「信用卡線上申辦服務」碳足跡查證、環境部碳標籤認證 國泰產險： ・2019 年- 訂定「碳足跡產品類別規則」 ・2020 年- 成為產險業界首家且唯一取得碳標籤保險公司 ・2021 年- 獲頒環境部減碳標籤 ・2024 年- 展延完成第2.0 版財產保險服務「碳足跡產品類別規則」，修訂環境部碳標籤可以【險種】宣告，擴大產品查證範圍 國泰證券： ・2025 年2 月線上服務通過ISO 14067 碳足跡查證 搁紙⻊ ・國泰人壽、國泰世華銀行、國泰產險、國泰證券透過行動化與電子化等無紙化服務、以及內部無紙化推動相關措施，2024 年度共 累積節省近5 億張紙。 國泰的行動： ・行動辦Ⱆ2.0：㼞Ⰺ部笩路設⪓轉䳕為贠亻呱面（VDI  OA），顺料存放於黆端堤䨻 2024 年推動成果： ・國泰人壽：2024 年15% 同仁已完成㼫Ⰶ。 耶場共用⻊ 國泰的行動： ・採用混合辦公型態，打造新型態職場 2024 年推動成果： ・共完成21 處辦公室裝修（國泰人壽、國泰產險） 截至2024 年焫垥硸累計》得成果 ISO 14067 钡證 環⥂署焫垥硸 環⥂署減焫垥硸 焫中和钡證（PAS 2060） 6 4 3 6 1 2 目錄 董事長的話 國泰永續影響力故事 關於國泰金控 永續評比與獎項肯定 01 永續策略與治理 02 氣候 03 健康 04 培力 05 永續金融 06 永續治理 07 附錄 63 63"
國泰,2024,碳排,full,Stage 3: Dense Match,202,G1、G2、G6,884,"[[p.202]]  目錄  ∥環境指標數據 ・ 表7 溫室氣體排放 單位：tCO2e 2022 2023 2024 直䱹䱗放（眔疇一） 國內 3,971.91 國內 4,031.19 國內 5,660.61 海外 830.54 海外 1,424.78 海外 980.28 間䱹䱗放（眔疇二）– 市場基礎䱗放 國內 48,521.37 國內 44,879.34 國內 41,033.53 海外 6,423.35 海外 7,037.61 海外 6,068.86 間䱹䱗放（眔疇二）– 㖑理基礎䱗放 國內 52,882.81 國內 53,600.09 國內 55,284.29 海外 6,423.35 海外 7,037.61 海外 6,068.86 直䱹䱗放（眔疇一）＋間䱹䱗放（眔疇二）– 市場基礎䱗放 國內 52,493.28 國內 48,910.53 國內 46,694.13 海外 7,253.89 海外 8,105.63 海外 7,049.14 直䱹䱗放（眔疇一）＋間䱹䱗放（眔疇二）– 㖑理基礎䱗放 國內 56,854.72 國內 57,631.28 國內 60,944.90 海外 7,253.89 海外 8,462.39 海外 7,049.14 焫䱗強度（tCO2e ／人） 1.29 1.09 1.04 焫䱗強度（tCO2e ／百蠜斉收） 0.17 0.19 0.15 其它間䱹䱗放（眔疇三）– 採購的產品莄服⹢ 143,941.89 170,689.12 208,738.63 其它間䱹䱗放（眔疇三）– 顺本財 32,261.77 47,520.06 38,987.20 其它間䱹䱗放（眔疇三）– 敍料莄腊源相關活動 8,949.37 8,946.54  7,800.93 其它間䱹䱗放（眔疇三）– 上游麋鱑莄ꂁ鷐 11,511.57  12,734.08  11,540.3 董事長的話 國泰永續影響力故事 關於國泰金控 永續評比與獎項肯定 01 永續策略與治理 02 氣候 03 健康 04 培力 05 永續金融 06 永續治理 07 附錄 200"
國泰,2024,碳排,full,Stage 3: Dense Match,228,G1,179,GICS) 痦四層秸Ⰺ的經濟匣㝅鹍 行ⴔ類。 CH7 P197-199 表3：國泰人 壽投融顺組合 財⹢焫䱗放– 依本國⥂險噟 眔疇三之投融 顺組合財⹢焫 䱗放實⹢手冊、 表4：國泰世 螟銀行投融顺 組合財⹢焫䱗 放– 依本國銀 行業投融資組 合財務碳排放 ( 範疇三) 實務 手冊 - 13 孴⦫行動 13.1 加强對孴⦫拄㹲的抗拄腊力和锄黟腊力。 226
