company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
台塑化,2024,碳排,full,Stage 1: Entity Match,104,G3|G4|G5,1059,[[p.104]]  揭露指標 報告書章節對照 備註 2-18 最高治理單位的績效評估 1.1 公司治理- 治理架構 2-19 薪酬政策 1.1 公司治理- 薪資報酬委員會運作概況、董事、 經理人酬金 2-20 薪酬決定流程 1.1 公司治理- 薪資報酬委員會運作概況 2-21 年度總薪酬比率 3.3 員工福利與關懷 2-22 永續發展策略的聲明 1.1 公司治理- 治理架構 2-23 政策承諾 1.1 公司治理- 治理架構  2.1 氣候變遷減緩與調適  3.1 員工組成結構 2-24 納入政策承諾 1.1 公司治理- 治理架構  1.3 夥伴關係維護- 供應鏈管理  2.1 氣候變遷減緩與調適  3.4.3 員工、承攬商專業訓練與認證 2-25 補救負面衝擊的程序 1.3 夥伴關係維護- 供應商意見/ 申訴機制  3.3 員工福利與關懷 2-26 尋求建議和提出疑慮的機制 1.2 營運績效  1.3 夥伴關係維護- 供應商意見/ 申訴機制 2-27 法規遵循 1.1 公司治理  2.5 環境成本支出與效益  3.4.2 風險評估、管理及事故調查 2-28 公協會的會員資格 1.3 夥伴關係維護- 公共政策及公協會參與角色 2-29 利害關係人議合方針 利害關係人與重大主題管理- 利害關係人鑑別 結果與溝通成效 2-30 團體協約 3.3.3 工作者參與、諮詢與溝通 GRI 石油行業別補充指標(Oil and Gas Sector Disclosures)：GRI 11（2021） GRI 編號 議題 行業準則編號 對照GRI 主題 報告書章節對照 GRI3-1 管理方針 - - 永續擘劃新路徑- 利害關係人與 重大主題管理 GRI3-2 - - 重大主題：風險管理 GRI3-3 管理方針 - - 1.2 營運績效 重大主題：溫室氣體排放 GRI3-3 管理方針 11.1.1 GRI 3：重大主題 2021 2.2 溫室氣體管理 11.1 溫室氣體排放 11.1.2 GRI 302-1：能源2016 11.1.4 GRI 302-3：能源2016 11.1.5 GRI 305-1 ~ GRI 305-4：  排放 2016 11.1.6 11.1.7 11.1.8 *11.1.3 資訊無法取得/ 不完整 外部能源消耗量統計邊界盤整中 CH1 開創 產業新發展 CH2 實踐 綠色新樣貌 CH4 連結 社會新價值 附錄 CH3 建立 安全新福祉 103 2024 台塑石化 永續報告書
台塑化,2024,碳排,full,Stage 1: Entity Match,105,G3,1111,[[p.105]]  GRI 編號 議題 行業準則編號 對照GRI 主題 報告書章節對照 重大主題：氣候變遷策略 GRI3-3 管理方針 11.2.1 GRI 3：重大主題 2021 2.1 氣候變遷減緩與調適 11.2 氣候的適應、復原 與過渡 11.2.2 GRI 201-2：經濟績效 2016 11.2.3 GRI 305-5：排放 2016 2.2 溫室氣體管理 重大主題：空氣品質 GRI3-3 管理方針 11.3.1 GRI 3：重大主題 2021 2.3 空氣污染管理與防制 11.3 氣體排放 11.3.2 GRI 305-7：排放 2016 2.3 空氣污染管理與防制 11.3.3 GRI 416-1：顧客健康與安全  2016 1.2 營運績效 11.4 生物多樣性 11.4.1 GRI 3：重大主題 2021 不適用  營運據點未位於生態保護區 11.4.2 GRI 304-1 ~ GRI 304-4：  生物多樣性 2016 11.4.3 11.4.4 11.4.5 11.5 廢棄物 11.5.1 GRI 3：重大主題 2021 2.4 水資源與廢棄物管理 11.5.2 GRI 306-1 ~ GRI 306-5：  廢棄物 2020 11.5.3 11.5.4 11.5.5 11.5.6 11.6 水與放流水 11.6.1 GRI 3：重大主題 2021 2.4 水資源與廢棄物管理 11.6.2 GRI 303-1 ~ GRI 303-5：  水與放流水 2018 11.6.3 11.6.4 11.6.5 11.6.6 11.7 關閉與復原 11.7.1 GRI 3：重大主題 2021 不適用  2024 年無關閉與復原情形 11.7.2 GRI 402-1：勞/ 資關係 2016 11.7.3 GRI 404-2：訓練與教育  2016 重大主題：油品運輸與儲存 GRI3-3 管理方針 11.8.1 GRI 3：重大主題 2021 1.3 夥伴關係維護 11.8 資產完整性及重大 事件管理 11.8.2 GRI 306-3：廢汙水和廢棄物  2016 重大主題：職業健康與工業安全 GRI3-3 管理方針 11.9.1 GRI 3：重大主題 2021 3.4 職業健康與安全管理 11.9 職業安全衛生 11.9.2 GRI 403-1 ~ GRI 403-10：  職業安全衛生 2018 11.9.3 11.9.4 CH1 開創 產業新發展 CH2 實踐 綠色新樣貌 CH4 連結 社會新價值 附錄 CH3 建立 安全新福祉 104 2024 台塑石化 永續報告書
台塑化,2024,碳排,full,Stage 4: Hybrid Consensus,52,G1|G2|G3|G4,1009,[[p.52]]  溫室氣體盤查方法 範疇一、二 範疇三 盤查參考指引 ISO 14064-1：2018 組織型溫室氣體盤查  環境部溫室氣體盤查與登錄指引規範 ISO 14064-1：2018 組織型溫室氣體盤查  溫室氣體盤查議定書- 企業價值鏈( 範疇三) 核 算報告標準(GHG protocol) 組織邊界 以營運控制權設定組織邊界，包含：麥寮一廠、麥寮二廠、麥寮三廠、彰濱摻配廠、台北儲運站、 桃園儲運站及台北辦事處等 盤查種類 依循ISO 14064-1 定義之7 種溫室氣體，包括 二氧化碳(CO2)、甲烷(CH4)、氧化亞氮(N2O)、 氫氟碳化物(HFCs)、全氟碳化物(PFCs)、六氟 化硫(SF6)、三氟化氮(NF3) 等 依循溫室氣體盤查議定書- 企業價值鏈核算報 告標準(GHG protocol) 定義範疇三類別，共計 15 個類別，包括： 類別1  - 購買之商品及服務 類別2  - 資本貨物 類別3  - 燃料和能源的相關活動 類別4  - 上游的運輸和配送 類別5  - 營運中產生之廢棄物 類別6  - 商務旅行 類別7  - 員工通勤 類別8  - 上游租賃資產 類別9  - 下游的運輸和配送 類別10  - 售出產品加工 類別11  - 售出產品使用 類別12  - 銷售產品廢棄 類別13  - 下游租賃資產 類別14  - 特許經營 類別15  - 投資產生等  盤查期間 2024 年溫室氣體排放資料( 範疇一、範疇二) 於2025 年5 月完成查證 活動數據 × 排放係數 × 全球暖化潛勢(GWP) = CO2 當量數 主要依據排放係數法計算，計算方法如下： • 各種溫室氣體排放源之活動數據依來源不同，將單位化為公噸或 公秉之重量與體積單位，並記錄其來源 • 2016 年以前全球暖化潛勢GWP 採用IPCC1995 年第二次評估報 告。2016~2022 年( 含) 全球暖化潛勢GWP 採用IPCC2007 年 第四次評估報告，2023 年起配合環境部溫室氣體排放量盤查作 業指引規定，全球暖化潛勢GWP 採用IPCC2013 年第五次評估 報告，電力與蒸汽排放係數係採自廠係數，並經查證機構查證 計算方法 CH2 實踐 綠色新樣貌 CH4 連結 社會新價值 CH3 建立 安全新福祉 51 2024 台塑石化 永續報告書 CH1 開創 產業新發展 附錄
台塑化,2024,碳排,full,Stage 4: Hybrid Consensus,53,G1|G2|G3|G5,762,"[[p.53]]  子公司盤查規劃 內部碳定價 依金融監督管理委員會2022 年3 月發布之「上市櫃公司永續發展路徑圖」，資本額100 億以上公司需於2025 年完成溫室氣體盤查，2027 年完成查證。本公司相關時程規劃已於2024 年12 月12 日提報董事會，預計執行 方式如下： 為了管理碳排放、提前評估碳費徵收帶來的影響，並促使各生產廠對減碳計畫產生實際感受，公司透過內部碳 定價管理機制，在推動內部專案時，將碳排放量與財務影響相結合進行評估，作為決策的重要參考依據。 碳定價模式 管理機制 • 依據各廠碳排放量訂定碳定價，並每年檢討 • 2024 年內部碳定價為100 元/ 噸，各廠  超過排放量上限時碳定價為1,500 元/ 噸 • 評估範疇一、範疇二排放情形 • 將排碳成本納入損益表 2022 年3 月發布 上市櫃公司永續 發展路徑圖 資本額100 億以上[ 個體盤查] 完成查證 2022 年12 月8 日  提報董事會 10 家以營運控制權法納入盤查 之合併報表子公司，台亞石油、 MONTGOMERY GATHERING  LLC、六輕汽車貨運、台順貿易、  FPCC USA, INC.、FG INC.、 FG LA LLC、FPCC DILIGENCE  Corp.、FPCC MAJESTY Corp.、 FPCC NATURE Corp. 合併報表子公司盤查機制建立 完成2026 年溫室 氣體排放查驗證 2022 2025 2026 2027 2023 2024 台 塑 石 化 子 公 司 盤 查 規 劃 金 融 監 督 管 理 委 員 會 CH2 實踐 綠色新樣貌 CH4 連結 社會新價值 附錄 CH3 建立 安全新福祉 52 2024 台塑石化 永續報告書 CH1 開創 產業新發展"
台塑化,2024,碳排,full,Stage 4: Hybrid Consensus,108,G1|G5|G6,1231,"[[p.108]]  指標代號 揭露指標 2024 對照揭露 章節對照 揭露主題：溫室氣體排放 (Greenhouse Gas Emissions) EM-RM- 110a.1 年份 2022 2023 2024 2.2 溫室氣體管理 範疇1 的總排放量 ( 單位：公噸 CO2e) 24,000,547 24,004,680 23,221,634 排放量佔法規限制 / 內部規範的百分 比 ( 單位：%) 100% 100% 100% EM-RM- 110a.2 對範疇1 溫室氣體排放的長期與短期 的減碳管理策略或計畫、減碳目標以 及針對這些目標的績效分析 碳揭露專案 (Carbon Disclosure Project,  CDP) 揭露主題：空氣品質 (Air Quality) EM-RM- 120a.1 2022 2023 2024 2.3 空氣污染管理 與防制 (1) NOx ( 不包括 N2O)  0.246 0.218 0.215 (2) SOx 0.095 0.095 0.098 (3) 懸浮粒子(PM10) 0.011 0.01 0.01 (4) H2S 未揭露 (5) 揮發性有機化合物 (VOCs) ( 單位產 品：公斤 / 噸 ) 0.036 0.034 0.037 EM-RM- 120a.2 人口密集地區或附近地區的精煉廠數量 2024 年麥寮鄉總人口數 49,928 揭露主題：水資源管理 (Water Management) EM-RM- 140a.1 年份 2022 2023 2024 2.4.1 水資源管理 1. 抽取總淡水( 單位 : 立方米) 43,957,392 43,062,652 40,537,362 2. 回收百分比 ( 單位：%)：  R1= 全廠回收率( 重複利用率 )=  ( 總循環水量 + 總回用水量 ) ÷  總用水量 × 100％） 98.6 98.7 98.8 EM-RM- 140a.2 與水質許可證、標準和法規相關的違 規事件數 無違規件數 揭露主題：有害物質管理 (Hazardous Materials Management) EM-RM- 150a.1 年份 2022 2023 2024 2.4.2 廢棄物管理 有害廢棄物的產生總量  ( 單位：公噸) 613 440 485 有害廢棄物的回收百分比  ( 單位：%) 不適用 SASB 準則指標對照 台塑石化公司( 母公司涵蓋台灣所有廠區) 採用SASB 準則，對照內容採用OIL & GAS 中的 REFINING &  MARKETING 產業（石油與天然氣- 精煉與銷售），並與2024 年之重大主題進行對照 排放於空氣的污染物：  ( 單位：公斤/ 公噸) 年份 CH1 開創 產業新發展 CH2 實踐 綠色新樣貌 CH4 連結 社會新價值 附錄 CH3 建立 安全新福祉 107 2024 台塑石化 永續報告書"
台塑化,2024,碳排,full,Stage 4: Hybrid Consensus,41,G1|G4|G5,898,"[[p.41]]  2024 年目標與達成情況 2025 年目標 中長期目標  • 響應參與國際碳揭露(CDP) 專案 2024 年CDP 氣候變遷獲 管理級別(B)；水安全獲領 導級別(A-) 達成 • 持續響應參與國際碳 揭露專案(CDP) 配合企業2050 年達到碳中和為長 期目標 • 評估投資綠能發電設施( 風能、 太陽能) 及儲能系統 • 評估投資氫能及氨產業 • 評估投資碳封存與利用(CCU) 等 技術 • 評估投資廢油、廢塑膠自行回收 再利用 • 單位能耗降低8.1%、單位用水增 加1.2%、廢棄物掩埋量降低18% 及單位用電增加7.5% • 持續落實每年單位能 耗降低1%、單位用水 降低1%、廢棄物掩埋 量降低1% 及單位節電 1% • 2024 年投資約8.8 億節能減碳改 善案 • 持續推動各項節能措施 • 2024 年響應經濟部產發署「產業 溫室氣體減量查核」 • 持續響應經濟部產發 署「產業溫室氣體減 量查核」 • 2024 年使用23,299 噸固體再生 燃料(SRF) 取代部分燃煤取代部分  燃煤 • 持續進行低碳轉型 氣候變遷策略、  溫室氣體排放 除單位用水及單位用電持續 進行中，其餘目標皆已達成 進行中 透過節能減碳改善案減少溫 室氣體排放量約18.8 萬噸 CO2e 達成 溫室氣體減量87,800 噸 CO2e 達成 減少溫室氣體排放量約 13,015 噸CO2e 達成 • 共14 部機組預計增設濕式靜電除塵系 統(WESP) 目前已完成9 部機組 進行中 • 利用機組定檢期間安排增設濕式靜電除塵系統(WESP) • 共14 部機組預計進行注氨最適加藥量 改善  目前已完成7 部機組 進行中 • 利用機組定檢期間安排更換注氨器並進行注氨最適加藥量 改善 • 共計30 座內浮頂儲槽進行尾氣密閉 回收處理改善   目前已完成11 座 進行中 • 持續進行內浮頂儲槽尾氣密閉回收改善 空氣品質 CH2 實踐 綠色新樣貌 CH4 連結 社會新價值 附錄 CH3 建立 安全新福祉 40 2024 台塑石化 永續報告書 CH1 開創 產業新發展"
台塑化,2024,碳排,full,Stage 4: Hybrid Consensus,51,G3|G5|G6,650,"[[p.51]]  2.2 溫室氣體管理 重大主題管理方針(MA) 重大主題管理政策 2050 年達到碳中和目標，持續推動低碳措施、降低單位產品能耗及設置( 投資) 綠能發電設施等改善方式 衝擊說明 日趨嚴格的減排行動，台塑石化檢 視過去減排情況，擬定未來長期的 減排策略，即早因應未來可能的合 規風險，讓碳費成本有效的評估與 控管 實際 正面 42.7% 潛在 負面 52.3% 管理行動 溫室氣體排放 本公司依循ISO 14064-1：2018 標準進行溫室氣體的盤查，並委由BSI Taiwan 依據ISO 14064-3：2019 方法進 行查證。 公司 事業部  安衛組 廠處  安衛專人 各廠處  執行人員 廠處  安衛專人 事業部 廠處 執行人員 盤查架構圖 安衛處 煉油部、烯烴部、 公用部 （其他部門） 2024 行動績效 ： • 2024 年溫室氣體相較前一年度 下降3.2%，並首次進行內部盤 查子公司溫室氣體作業 自2005 年起陸續展開溫室氣體盤 查作業，並通過第三方 ISO 14064  查證，以追蹤各營運據點之溫室氣 體排放情況，持續積極尋求各項減 碳與低碳方案。同時逐步導入子公 司盤查作業 國際框架與指標對照  GRI 3-3,11.1, 302, 305 SASB Greenhouse Gas Emissions CH2 實踐 綠色新樣貌 CH4 連結 社會新價值 附錄 CH3 建立 安全新福祉 50 2024 台塑石化 永續報告書 CH1 開創 產業新發展"
台塑化,2024,碳排,full,Stage 4: Hybrid Consensus,54,G1|G2|G3|G4,893,"[[p.54]]  溫室氣體排放情況 歷年溫室氣體排放強度  範疇一 31,680,876 24,000,547 24,004,680 23,221,634 範疇二 143,113 423,554 181,692 193,699 總排放量  ( 範疇一+ 範疇二) 31,823,989  24,424,101 24,186,372 23,415,333 範疇三 於2019 年開始盤查 57,911,749 64,410,523 預計2025 年  7 月完成查證 2007年(基準年) 2022 年 2023 年 2024 年 2022 年 2023 年 2024 年 單位：公噸CO2e 註1 ：範疇一指直接排放，係來自於燃料燃燒之溫室氣體排放，本公司無生質燃燒 註2：範疇二指能源間接排放，係來自於輸入蒸汽、電力之溫室氣體排放 註3：2016 年以前全球暖化潛勢GWP 採用IPCC1995 年第二次評估報告。2016~2022 年( 含) 全球暖化潛勢GWP 採 用IPCC2007 年第四次評估報告，2023 年起配合環境部溫室氣體排放量盤查指引規定，全球暖化潛勢GWP 採用 IPCC2013 年第五次評估報告，電力與蒸汽排放係數係採自廠係數，並經查證機構查證 註4：範疇三指其他間接排放，如：購買之商品及服務、燃料和能源的相關活動、上( 下) 游的運輸和配送 註：計算邊界為範疇一+ 二 24,424,101 24,186,372 23,415,333 0.000391 0.000384 0.000375 10,959,790 10,300,725 9,936,382 0.3966 0.3956 0.4035 全公司溫室氣體排放量 ( 公噸CO2e) 全公司單位產品能源溫室氣體排放量  ( 公斤CO2e/KWH) 油氣業溫室氣體排放量  ( 公噸CO2e) 油氣業單位產品溫室氣體排放量  ( 公噸CO2e/ 公噸) CH2 實踐 綠色新樣貌 CH4 連結 社會新價值 CH3 建立 安全新福祉 53 2024 台塑石化 永續報告書 CH1 開創 產業新發展 附錄"
台塑化,2024,碳排,full,Stage 4: Hybrid Consensus,55,G1|G2|G4|G6,760,"[[p.55]]  2024 年溫室氣體排放比例 2024 年溫室氣體各排放源排放比例- 範疇一 2024 年溫室氣體各排放源排放比例- 範疇二 註1 ：密集度比值所涵蓋的能源類型：燃料、電力( 含外購電力) 註2：能源計算邊界涵蓋範疇一與二( 皆為組織內部使用量) 註3：台塑企業商業智慧系統(Business Intelligence system) 資料庫 註：計算邊界為範疇一+ 二 註：本公司因無熱能供應需求，故無此量化資訊 2024 年溫室氣體排放量較2023 年減少771,039 噸(-3.2%)，但油氣業單位產品溫室氣體排放強度上升，因 製程降載，未達最佳操作條件所致。 溫室氣體 CO2 CH4 N2O HFCs PFCs SF6 NFs 計算邊界 全公司(%) 99.5606 0.0439 0.3061 0.0033 0.0000 0.0861 0.0000 排放源 固定 製程 移動 逸散 計算邊界 全公司(%) 89.6056 10.2851 0.0026 0.1067 排放源 電力 外購蒸汽 計算邊界 全公司(%) 6.5470 93.4530 推動多項製程改善及能源管理等節能案件，於事業部、各廠處設立專人執行，持續降低排放量。 0.25 0.20 0.15 0.10 0.05 0 100 80 60 40 20 0 能源管理 歷年單位產品能源密集度 能源使用與耗用情形 用汽量彙整表 用電量彙整表 2022 年 2023 年 2024 年 0.194 0.180 82.0 0.203 87.1 79.2 (噸/噸)  ( 度/ 噸) CH2 實踐 綠色新樣貌 CH4 連結 社會新價值 附錄 CH3 建立 安全新福祉 54 2024 台塑石化 永續報告書 CH1 開創 產業新發展"
台塑化,2024,碳排,full,Stage 4: Hybrid Consensus,48,G1|G4|G5,737,"[[p.48]]  2,467 ( 比基準年減少22% )  2,271 ( 比基準年減少28% )  碳中和 • 節能減碳循環經濟改善 措施 • 設置及開發再生能源， 如太陽能、小水力等 • 鍋爐混燒固體再生燃料 (SRF)5% • 以共煉方式生產永續航 空燃油(SAF) • 製程技術優化及持續推動節能 減碳循環經濟等改善措施 • 持續設置及開發再生能源 • 評估廢油、廢塑膠自行回收再 利用 • 評估以生質能燃料或其他低碳 燃料取代燃煤電廠部分煤用 量，另外提高SRF 混燒比例 • 增加SAF 產量 • 評估朝向低( 零) 碳能源轉型 • 針對氫能與氨能應用之技術研 發、高值化及投資新創產業等 擴大評估 • 評估採用碳捕捉、再利用及封 存(CCUS) 技術 • 評估以碳匯、碳權及負碳額度 抵銷 • 配合國家政策增加生產SAF 為了達成低碳經濟轉型的願景，台塑石化以 2050 年達到碳中和為長期目標，並對內設定了短、中期指標 ( 短期  2025 年和中期 2030 年 ) 以檢視目標達成進度。時間軸與目標排放量如下表所示。 2.1.3 氣候目標與指標 台塑石化2050 年碳中和路徑 目 標 排 放 量 ( 萬 噸 ) 減 量 方 向 2025 基準年 2030 2050 基準年 3,500 3,000 2,500 2,000 1,500 1,000 500 0 -22% 2007 年 3,182 2,271 0 2,467 2030 年 2025 年 2050 年 -28% 排 放 量  ( 萬 噸 ) CH2 實踐 綠色新樣貌 CH4 連結 社會新價值 CH3 建立 安全新福祉 47 2024 台塑石化 永續報告書 CH1 開創 產業新發展 附錄"
