company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
台塑,2024,碳排,full,Stage 1: Entity Match,159,G2|G3|G4,1004,[[p.159]]  2024 永續報告書 台灣塑膠工業股份有限公司 158 GRI 主題準則 主題 GRI 指標對照 報告書章節對照 省略/ 備註 管理方針 3-1 決定重大主題的流程 1.4 重大主題鑑別 3-2 重大主題列表 1.4 重大主題鑑別 重大主題：營運財務績效 管理方針 3-3 重大主題管理 第二章 繁榮經濟的促進者 201  經濟績效： 2016 201-1 組織所產生及分配的直接經濟價值 2.1.1 營運財務績效 201-2 氣候變遷所產生的財務影響及其它風險與機會 3.2.1 氣候風險機會鑑別與因應 201-3 確定給付制義務與其他退休計畫 2.1.1 營運財務績效 4.2.3 員工溝通與關懷 201-4 取自政府之財務援助 2.1.1 營運財務績效 重大主題：公司治理 管理方針 3-3 重大主題管理 第二章 繁榮經濟的促進者 205 反貪腐： 2016 205-1 已進行貪腐風險評估的營運據點 2.2.4 內控機制 205-2 有關反貪腐政策和程序的溝通及訓練 2.2.4 內控機制 4.4.1 供應商及承攬商管理 205-3 已確認的貪腐事件及採取的行動 2.2.4 內控機制 2.2.5 法規遵循 206 反競爭行為： 2016 206-1 反競爭行為、反托拉斯和壟斷行為的法律行動 2.2.5 法規遵循 重大主題：產品研發改善 管理方針 3-3 重大主題管理 第二章 繁榮經濟的促進者 重大主題：永續投資轉型  管理方針 3-3 重大主題管理 第二章 繁榮經濟的促進者 重大主題：溫室氣體管理、空氣污染物管理 管理方針 3-3 重大主題管理 第三章 永續環境的打造者 305 排放：2016 305-1 直接( 範疇一) 溫室氣體排放 3.2.2 溫室氣體管理 305-2 間接( 範疇二) 溫室氣體排放 3.2.2 溫室氣體管理 305-3 其他間接( 範疇三) 溫室氣體排放 3.2.2 溫室氣體管理 305-4 溫室氣體排放密集度 3.2.2 溫室氣體管理 305-5 溫室氣體排放減量 3.2.2 溫室氣體管理 305-6 臭氧層破壞物質(ODS) 的排放 - 無此類排放物 305-7 氮氧化物(NOx)、硫氧化物(SOx) 及其他重大 的氣體排放 3.3.2 空氣污染防制措施 重大主題：能源管理 管理方針 3-3 重大主題管理 第三章 永續環境的打造者
台塑,2024,碳排,full,Stage 1: Entity Match,160,G3|G4|G6,1074,[[p.160]]  1 創新永續未來的 塑造者 2 繁榮經濟的 促進者 3 永續環境的 打造者 4 幸福職場的 守護者 5 共享發展的 創造者 附錄 159 主題 GRI 指標對照 報告書章節對照 省略/ 備註 302 能源：2016 302-1 組織內部的能源消耗量 3.2.3 能源管理 302-3 能源密集度 3.2.3 能源管理 302-4 減少能源消耗 3.2.3 能源管理 重大主題：水資源使用管理 管理方針 3-3 重大主題管理 第三章 永續環境的打造者 303 水資源：2018 303-1 共享水資源之相互影響 3.4.1 水資源風險管理 3.4.2 水資源使用 3.4.3 節水改善績效 303-2 與排水相關衝擊的管理 3.4.4 邁向廢水零排放 303-3 取水量 3.4.2 水資源使用 303-4 排水量 3.4.2 水資源使用 303-5 耗水量 3.4.2 水資源使用 重大主題：化學品安全管理 管理方針 3-3 重大主題管理 第三章 永續環境的打造者 306  廢棄物：2020 306-1 廢棄物的產生與廢棄物相關顯著衝擊 3.5.1 廢棄物衝擊鑑別 306-2 廢棄物相關顯著衝擊之管理 3.5.1 廢棄物衝擊鑑別 3.5.2 廢棄物管理成效 306-3 廢棄物的產生 3.5.2 廢棄物管理成效 306-4 廢棄物的處置移轉 3.5.2 廢棄物管理成效 306-5 廢棄物的直接處置 3.5.2 廢棄物管理成效 重大主題：職業健康與安全 管理方針 3-3 重大主題管理 第四章 幸福職場的守護者 403 職業安全與  衛生：2018 403-1 職業安全衛生管理系統 4.3.1 職業健康與安全 403-2 危害辨識、風險評估及事故調查 4.3.1 職業健康與安全 403-3 職業健康服務 4.3.1 職業健康與安全 403-4 有關職業安全衛生之工作者參與、諮商與溝通 3.1.1 安衛環管理 4.3.2 職業安全衛生管理活動 403-5 有關職業安全衛生之工作者訓練 4.3.2 職業安全衛生管理活動 4.3.3 廠區緊急應變機制 403-6 工作者健康促進 4.3.2 職業安全衛生管理活動 4.4 供應鏈管理 403-7 預防和減輕與業務關係直接相關聯之職業安全 衛生的衝擊 4.3.2 職業安全衛生管理活動 403-8 職業安全衛生管理系統所涵蓋之工作者 4.3.1 職業健康與安全 403-9 職業傷害 4.3.2 職業安全衛生管理活動 403-10 職業病 4.3.2 職業安全衛生管理活動
台塑,2024,碳排,full,Stage 4: Hybrid Consensus,78,G1|G2|G3|G4|G5,1157,"[[p.78]]  1 創新永續未來的 塑造者 2 繁榮經濟的 促進者 3 永續環境的 打造者 4 幸福職場的 守護者 5 共享發展的 創造者 附錄 77 3.2.2 溫室氣體管理　 本公司自2006 年起針對台灣廠區溫室氣體排放進行系統性盤查及查證工作。另為強化子公司溫室氣體管理， 自主提早自2022 年起，進行子公司溫室氣體範疇一及範疇二盤查與查證作業。 台灣廠區 子公司 台灣廠區 子公司 最高排放量 967.9 萬 噸 CO2e 2006 2010 2016 2019 範疇一及範疇二查證 成立「節能減排推動 小組」 CDP 揭露 2020 863.5 萬噸 CO2e 範疇三查證 2021 860.4 萬噸 CO2e 宣示台灣廠區 2050 碳中和 TCFD資訊揭露 2022 794.3萬噸 CO2e 範疇三增加「投資」 項目查證 推動內部碳定價、設 備採購納入碳排成本 子公司溫室氣體盤查及查證 台塑工業(寧波)： 713,335 噸 CO2e 台塑電子(寧波)： 321 噸 CO2e 台塑工業美國： 107,202 噸 CO2e 台塑工業(寧波)： 758,008 噸 CO2e 台塑電子(寧波)： 333 噸 CO2e 台塑工業美國： 128,271 噸 CO2e 台塑工業(寧波)： 1,248,023 噸 CO2e 台塑電子(寧波)： 284 噸 CO2e 台塑工業美國： 136,303 噸 CO2e 2023 2024 800.5 萬噸 CO2e 通過 SBTi 審查 755.0 萬噸 CO2e 範疇三盤查 溫室氣體管理時間表 註： 2024 年度台塑工業( 寧波) 數據預計於2025 年10 月份完成驗證並出具驗證報告  內部碳定價 台塑公司自2022 年起，為達到碳排放管理，提前評估徵收碳費造成之衝擊，鼓勵各生產廠規劃減碳工程，透 過內部碳定價管理機制，並評估碳排放量與財務連結，作為推動內部專案之重要依據。 碳定價模式 管理機制投入成本 依據各廠碳排放量訂定碳定價，並每年檢討 2024 年內部碳定價為 100 元/噸CO2e，各廠超過排放量上限時碳定價為 1,500 元 / 噸CO2e 評估範疇 1、範疇 2 排放情形 「分廠損益及電腦作業」制度，增訂含碳排成本之分廠損益相關報表 投入 23 萬元進行內部人員教育，共培訓 63 位種子人員 減碳改善工程包含：林園公用廠增設一部燃氣機組取代燃油機組產製蒸汽， 林園AE廠增設蒸汽減壓發電，以及麥寮AN廠廢氣焚化爐燃料油轉燃氣等 評估減碳效益 53,597 噸 CO2e，投入資金 53,267 萬元 推動專案與 2024 年績效 註： 寧波子公司未執行內部碳定價，中國大陸石油化工行業目前未執行碳交易 2-25 305"
台塑,2024,碳排,full,Stage 2: Sparse Match,79,G1|G2|G3|G4|G6,1353,"[[p.79]]  2024 永續報告書 台灣塑膠工業股份有限公司 78  溫室氣體管理情形 2024 年台塑公司溫室氣體排放量範疇一為3,454,675 噸CO2e、範疇二為4,095,796 噸CO2e、範疇三為 12,023,680 噸CO2e，總量為19,574,151 噸CO2e，與去年度相比，減少276,757 噸，整體排放量下降1.4%；各 子公司溫室氣體排放量範疇一為578,928 噸CO2e、範疇二為805,682 噸CO2e、範疇三為565 噸CO2e，總量為 1,385,175 噸CO2e，未來將持續推動減量措施，以達具體減量成果。 台塑公司溫室氣體排放量彙總表 範疇一 範疇二 範疇三 排放密集度 (噸CO2e /百萬元) 單位：噸CO2e 2022 年 2023 年 2024 年 3,338,612 4,605,137 11,298,608 40.72 53.24 51.70 3,542,116 4,463,433 11,845,359 3,454,675 4,095,796 12,023,680 資料來源：溫室氣體查證聲明書 註1： 2024 年度查證數據將於2025 年6 月取得查證聲明書，範圍涵蓋台灣所有營運據點 註2： 範疇一盤查氣體種類為二氧化碳、甲烷、氧化亞氮、氫氟碳化物、全氟碳化物、六氟化氮及三氟化氮，範疇二以台塑石化公司公用廠、台 化公司公用廠及台電公司排放之溫室氣體種類為主，皆採營運控制權法進行組織邊界範圍設定後，以排放係數法計算排放量 註3： 台塑公司溫室氣體排放量，範疇一及範疇二係依據ISO 14064-1、行政院環境部溫室氣體排放量盤查登錄及查驗管理辦法、溫室氣體排放量 盤查作業指引等相關查驗準則進行查驗，範疇三則依據GHG PROTOCOL 查驗 註4： 盤查數據依環境部規定，使用IPCC 第五次評估報告之全球暖化潛勢值(GWP)，均已經過第三方公正單位(BSI、SGS) 驗證，並依據查驗準則 執行查驗程序，未違反實質性差異門檻，符合主管機關認可之合理保證等級，並出具合理保證等級證書 註5： 排放密集度=( 範疇一+ 範疇二) / 當年度個體財報營收( 百萬元) 台塑公司2024 年度溫室氣體範疇三查證後排放量彙總表 ( 單位：噸CO2e) 類別 項目 排放量 1 購買之商品及服務 3,469,669 2 資本物品 29,059 3 燃料和能源的相關活動 1,019,199 4 上游的運輸和配送 684,424 5 營運中產生之廢棄物- 廢棄處理 2,983 6 商務旅行 2,880 7 員工通勤 6,180 9 下游的運輸和配送 1,113,676 10 售出產品加工 2,214,949 12 售出產品的最終處置 4,393 15 投資 3,476,268 合計 12,023,680 註： 台塑公司2024 年範疇三溫室氣體排放量，依據GHG PROTOCOL、行政院環境部溫室氣體排放量盤查登錄及查驗管理辦法等相關查驗準則進 行查驗，其中類別8- 上游資產租賃、類別11- 售出產品使用、類別13- 下游資產租賃與類別14- 特許經營等類別與本公司營運相關性低，以 及實質性不易歸類及量化，故本次未納入盤查範疇"
台塑,2024,碳排,full,Stage 4: Hybrid Consensus,162,G1|G2,557,"[[p.162]]  1 創新永續未來的 塑造者 2 繁榮經濟的 促進者 3 永續環境的 打造者 4 幸福職場的 守護者 5 共享發展的 創造者 附錄 161 III. 永續會計準則委員會(SASB) 對照表 揭露主題 溫室氣體排放 Greenhouse Gas Emissions 指標代號 揭露指標 對照揭露 章節對照 公司名稱 2022 2023 2024 RT-CH-110a.1 範疇1 的總排放量 ( 單位：CO2-e) 台塑公司 3,338,612 3,542,116 3,454,675 3.2.2  溫室氣體管理 子公司 220,893 238,850 578,928 範疇1 排放量受法規限制的百 分比( 單位：% ) 台塑公司 100% 100% 100% 子公司 100% 100% 100% RT-CH-110a.2 對範疇1 溫室氣體排放的長期 與短期的減碳策略或計畫，並 說明減少排放量的目標以及目 標達成情況 台塑公司  ■ 依據「溫室氣體減量及管理法」及「溫室氣體 階段管制目標及管制方式作業準則」，修訂溫 室氣體短、中、長期減量目標  ■ 台塑公司2024 年範疇一、範疇二溫室氣體總 排放量為755.0 萬噸，較2020 年基準年減少 108.5 萬噸，減量12.6% 子公司"
台塑,2024,碳排,full,Stage 4: Hybrid Consensus,10,G1|G4|G5|G6,936,"[[p.10]]  永續發展目標進度 9 中 期  ( 2030 年 ) 長 期  ( 2050 年 ) 參考章節 3.1 環境保護策略、3.2 氣候變遷因應、3.3 空氣污染管理、3.4 水資源管理、3.5 廢棄物管理 1 1 2 2 4 3 3 推動各廠「循環經濟」減 量、再利用與資源化 2050 年溫室氣體( 範疇 一、二) 絕對減量，以碳 中和為目標 2030 年溫室氣體( 範疇 一、二) 絕對減量目標較 基準年減少40% 環保法令零違規 依設備風險性高低設定週 期，確實執行總體檢 推動節水節能及溫室氣體 減排 持續推動「循環經濟」， 朝向「零廢棄」目標努力 本公司致力推動廢棄物回收再利用，減少廢棄物掩埋量，並以2030 年 非有害廢棄物掩埋量較2020 年基準年減少20% 為目標 推動燃煤朝向低( 零) 碳能源轉型、節能減碳循環經濟、提高再生能源 用量及其他減碳措施，以達成2050 年碳中和目標 推動燃煤朝向低( 零) 碳能源轉型、節能減碳循環經濟、提高再生能源 用量及其他減碳措施，詳請參閱3.2.2 溫室氣體管理 2024 年遭環保主管機關告發處分之環保違規案共0 件 將持續加強廠處自主檢查、源頭減量與管理、製程減廢及末端管制，增 設符合最佳可行性控制技術之設備，同時透過AI 技術提升污染防制設 備效能 2024年專案總體檢稽核，共投入437人次，對11廠處執行11場次稽核， 共發現1,044 件缺失，其中已完成改善計有975 件，改善率93.4%，將 持續追蹤各單位之改善落實度，提高工作場所相關設備與作業之安全性 2024 年節能改善案件共完成629 件，預估溫室氣體減量15.8 萬噸 CO2e/ 年 節水改善案件完成135 件，單日節水量達1.9 百萬公升。完整數據詳請 參閱3.2.3 能源管理、3.4.3 節水改善績效 2024 年CDP 氣候變遷問卷成績A 2024 年CDP 水安全問卷成績A 致力推動廢棄物回收再利用，並以2050 年非有害廢棄物掩埋量較2020 年基準年減少50% 為目標，針對製程優化及導入AI 技術後，提升製程 轉化率，從源頭減少廢棄物產生，以減少廢棄物掩埋量 台塑公司目標 2024 年度作為與成果"
台塑,2024,碳排,full,Stage 2: Sparse Match,70,G1|G2|G5,834,[[p.70]]  1 創新永續未來的 塑造者 2 繁榮經濟的 促進者 3 永續環境的 打造者 4 幸福職場的 守護者 5 共享發展的 創造者 附錄 69 3.2 氣候變遷因應 台塑公司宣誓加入科學基礎減量目標倡議(SBTi)，以範疇一、範疇二之溫室氣體排放量進行目標設定，並已於 2023 年1 月通過SBTi 審查，配合政策採漸進式減碳，減碳邊界尚未包含子公司。 以2020 年溫室氣體排放量(863.5 萬噸) 為基準年，制定短、中、長期溫室氣體排放減量絕對目標，其中2025 年( 短期) 溫室氣體排放量較基準年減少20%( 降為690.8 萬噸)，2030 年( 中期) 溫室氣體排放量較基準年減 少40%，期望2050 年( 長期) 能實現碳中和。 台塑公司2024 年範疇一、範疇二溫室氣體總排放量為755.0 萬噸，較2020 年減少108.5 萬噸，減量12.6%， 預期能達成2025 年減量20% 的短期目標。 註：範圍涵蓋台灣所有營運據點，不包含子公司 台塑減碳路徑規畫 2005 2007 2010 2017 2030 2050 2020 2025 812.9 966.2 967.9 924.4 863.5 690.8 518.1 基準年 (2020年) 減碳 172.7 (20%) 減碳 345.4 (40%) 碳中和 863.5 (100%) 本公司於2024 年碳揭露專案( Carbon Disclosure Project，簡稱CDP ) 中，氣候變遷 專案獲得「A」領導級(Leadership) 的評價，更多資訊請見CDP 官網。 配合子公司當地國家政策，台塑工業美國公司以2050 年達到碳中和，而台塑工業( 寧波) 與台塑電子( 寧波) 公司則以2060 年達到碳中和為目標，積極推動各項減碳措施。 台塑公司 (母公司) 2050 碳中和 台塑工業美國 台塑工業(寧波) 2060 碳中和 台塑電子(寧波) CDP 官網
台塑,2024,碳排,full,Stage 3: Dense Match,168,G1|G3|G5,180,.8 萬噸)，2030 年 ( 中期) 溫室氣體排放量較基準年減少40%，期望2050 年( 長期) 能實現碳中和 3.2 氣候變遷因應 9 溫室氣體盤查及確信情形 請參閱下表1-1-1、1-1-2 IV. 上市公司編製與 申報永續報告書作 業辦法 溫室氣體盤查減量目標、策略及具 體行動計畫 請參閱下表1-2 IV. 上市公司編製與 申報永續報告書作 業辦法
台塑,2024,碳排,full,Stage 2: Sparse Match,80,G1|G2|G3,988,"[[p.80]]  1 創新永續未來的 塑造者 2 繁榮經濟的 促進者 3 永續環境的 打造者 4 幸福職場的 守護者 5 共享發展的 創造者 附錄 79 子公司近3 年溫室氣體排放量彙總表 ( 單位：噸CO2e) 公司 台塑工業( 寧波) ( 註1 ) 台塑電子( 寧波) ( 註1 ) 台塑工業美國 ( 註2 ) 年度 2022 2023 2024 2022 2023 2024 2022 2023 2024 範疇一 202,872 211,912 532,195 0 0 0 18,021 26,938 46,733 範疇二 510,463 546,096 715,828 321 333 284 89,181 101,333 89,570 範疇三 - - - - - - 565 565 565 小計 713,335 758,008 1,248,023 321 333 284 107,767 128,836 136,868 排放密集度 ( 噸CO2e/ 百萬元) 12.64 16.49 24.97 0.34 0.42 0.38 8.21 11.72 12.39 資料來源：溫室氣體查證聲明書及溫室氣體盤查數據 註1： 台塑工業( 寧波) 及台塑電子( 寧波) 依據《中國化工生產企業溫室氣體排放核算方法與報告指南( 試行)》進行盤查。台塑工業( 寧波) 數 據經第三方單位查證，2024 年查證預計於2025 年第4 季取得 註2： 台塑工業美國2022 年盤查數據依ISO 14064-1，範疇三僅查證員工通勤，並經第三方單位SGS 查證。2023-2024 年數據為依據美國當地主 管機關規範申報數據 註3： 排放密集度= ( 範疇一+ 範疇二) / 當年度個體財報營收( 百萬元) 註4： 台塑工業( 開曼)、台塑工業( 香港) 為控股公司，無實際營運，故無盤查數據 台塑工業美國 範疇一 46,733 台塑工業美國 範疇二 89,570 台塑電子 (寧波) 範疇二 284 台塑工業 (寧波) 範疇一 532,195 台塑工業 (寧波) 範疇二 715,828 子公司 1,384,610 母公司範疇一 3,454,675 母公司範疇二 4,095,796 台塑公司 2024 年 溫室氣體排放量 彙整表 子公司 2024 年 溫室氣體排放量 彙整表 79"
台塑,2024,碳排,full,Stage 3: Dense Match,71,G1|G4|G5,316,險與機會，評估指標包含 財務衝擊程度，以及風險與機會發生機率 請參考本報告書3.2.1 氣候風險機會 鑑別與因應及本公司2024 年TCFD 報 告書 指標和目標  ■本公司以2020 年為基準年，訂定碳排放減量絕對目 標，其中： 短期減量目標：2025 年較基準年減量20% 中期減量目標：2030 年較基準年減量40% 長期減量目標：2050 年達到碳中和  ■2024 年溫室氣體排放量為755.0 萬 噸，較2020 年減少108.5 萬噸， 減量12.6%。  ■2024 年規劃多項減碳專案，如： 能源轉型使用零碳蒸汽、燃料油改 燃料氣、餘熱發電、減壓發電等 201-2 永續發展網站：2024 年氣候相關財務揭露報告書
