company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
南亞,2024,碳排,full,Stage 1: Entity Match,74,G1|G2|G3|G5,422,"[[p.74]]  73 延續 永續治理策略 拓展 多元產品價值 推展 綠色環境管理 開展 幸福安全職場 追求 共榮美好家園 附 錄 3 3.2.3 碳議題管理     302-1,  302-3,  302-4,  305-1,  305-2,  305-3,  305-4,  305-5  ◆減碳路徑圖 南亞公司因應目的不同，雖擬訂「對外承諾」、「內部加嚴管理」、「SBTi 核定」等三種減碳目標，惟將以 最嚴格之減量要求作為追求之目標，以使減碳路徑各期程可達到前述多種目標，最終達成「2050 年碳中和」 之長期目標。 進程 範疇一 + 範疇二 範疇三 最終目標 對外承諾 減碳目標 以2007 年為基準年(695 萬噸 CO2e)  ■2025 年減量20% (556 萬噸CO2e)  ■2030 年減量35% (452 萬噸CO2e)  NA 2050 碳中和 內部加嚴 管理目標 以2020 年為基準年(592 萬噸 CO2e)"
南亞,2024,碳排,full,Stage 1: Entity Match,129,G2|G3|G4|G6,968,[[p.129]]  128 南亞塑膠工業股份有限公司 2024 年永續報告書 主題 GRI 指標對照 章節對照 頁碼 註解 能源管理 GRI 3  2021 管理方針 GRI3-3 重大主題管理 3 推展 綠色環境管理 P.59 GRI 302  能源2016 302-1 組織內部的能源消耗量 3.2.3 碳議題管理 P.73 302-3 能源密集度 3.2.3 碳議題管理 P.73 302-4 減少能源消耗 3.2.3 碳議題管理 P.73 水資源管理 GRI 3   2021 管理方針 GRI3-3 重大主題管理 3 推展 綠色環境管理 P.59 GRI 303  水與放流水 2018 303-1 共享水資源之相互影響 3.4 水資源管理 P.81 303-2 與排水相關衝擊的管理 3.4 水資源管理 P.81 303-3 取水量 3.4 水資源管理 P.81 303-4 排水量 3.4 水資源管理 P.81 303-5 耗水量 3.4 水資源管理 P.81 氣候變遷因應策略 GRI 3  2021 管理方針 GRI3-3 重大主題管理 3 推展 綠色環境管理 P.58 GRI 201  經濟績效 2016 GRI 201-2 氣候變遷所產生的財務影響及其 它風險與機會 3.2.2 氣候變遷風險 與機會鑑別 P.64 GRI 305  排放2016 305-1 直接( 範疇一) 溫室氣體排放 3.2.3 碳議題管理 P.73 305-2 能源間接( 範疇二) 3.2.3 碳議題管理 P.73 305-3 其它間接( 範疇三) 溫室氣體排放 3.2.3 碳議題管理 P.73 305-4 溫室氣體排放密度 3.2.3 碳議題管理 P.73 305-5 溫室氣體排放減量 3.2 氣候行動與策略 P.73 空氣污染物管理 GRI 3  2021 管理方針 GRI3-3 重大主題管理 3 推展 綠色環境管理 P.58 GRI 305 排放2016 305-6 破壞臭氧層物質的排放 法規禁令 - 南亞公司未使用 及製造破壞大氣 臭氧層的物質， 並遵循國內法 規，製程中不使 用破壞大氣臭氧 層的物質或設備 305-7 氮氧化物(NOx)、硫氧化物(SOx)， 及其他重大的氣體排放 3.3 空氣污染管理 P.79
南亞,2024,碳排,full,Stage 4: Hybrid Consensus,76,G1|G2|G3|G4,954,"[[p.76]]  75 延續 永續治理策略 拓展 多元產品價值 推展 綠色環境管理 開展 幸福安全職場 追求 共榮美好家園 附 錄 3 範疇三統計數據 排放源 2022 年排放量 ( 噸CO2e) 2023 年排放量 ( 噸CO2e) 2024 年排放量 ( 噸CO2e) 採購之產品與服務 5,539,058 4,613,425 4,525,275 資本產品 48,624 39,063 19,775 燃料與能源相關活動 ( 沒有納入範疇1 或2) 659,068 561,348  504,753 上游運輸和配送 17,547 16,965 17,833 運營中產生的廢棄物 4,759 1,901 6,055 商務旅行 179 1,581 942 員工通勤 201 7,058 7,245 下游運輸和配送 171,793 217,660 251,272 售出產品加工 1,071,379 863,410 907,450 售出產品最終處置 1,155 363,987 346,875 投資 6,166,696 4,922,474 4,783,938 合計 13,680,459 11,608,872 11,371,413 註1： 範疇一係指溫室氣體的直接排放，範疇二係指溫室氣體的間接排放，盤查包含以下氣體種類：二氧化碳、甲烷、氧化亞氮、氫氟碳 化物、全氟碳化碳、六氟化硫。範疇三係指其他間接溫室氣體排放。 註2： 2024 年( 含) 以後則依環境部規定改採IPCC 第五次評估報告(2013 年) 公告之GWP 作為計算排放量二氧化碳當量之依據。 註3： 使用之排放係數，範疇一直接排放源係參照中央主管機關公告之溫室氣體排放係數；範疇二能源間接排放則採用經濟部能源署公佈 之台電電力係數、經SGS 及BSI 驗證後之台塑企業各公用廠處電力及蒸汽係數。 註4： 排放量大於2.5 萬噸的廠區由環境部納管，故依「GHG Protocol」、「環境部溫室氣體排放量盤查作業指引(113 年版)」、「溫室 氣體查驗指引(113 年6 月)」及「環境部溫室氣體排放量盤查登錄及查驗管理辦法」之規定進行盤查驗證；排放量低於2.5 萬噸的 廠區非環境部納管範圍，故依ISO 14064 之規定進行盤查驗證。 75"
南亞,2024,碳排,full,Stage 4: Hybrid Consensus,74,G1|G2|G5,768,"終達成「2050 年碳中和」 之長期目標。 進程 範疇一 + 範疇二 範疇三 最終目標 對外承諾 減碳目標 以2007 年為基準年(695 萬噸 CO2e)  ■2025 年減量20% (556 萬噸CO2e)  ■2030 年減量35% (452 萬噸CO2e)  NA 2050 碳中和 內部加嚴 管理目標 以2020 年為基準年(592 萬噸 CO2e)  ■2025 年減量12.5% (518 萬噸CO2e)  ■2030 年減量25% (444 萬噸CO2e) NA SBTi 核定目標 依照SBTi 對目標申請之要求擬訂，2023 年3 月通過目標申請 以2021 年為基準年(614 萬噸CO2e)， 2027 年減量15% (522 萬噸CO2e) 以2021 年為基準年(2,379 萬噸CO2e)， 2027 年減量7.4% (2,203 萬噸CO2e) 單位：CO2-e (萬噸) 對外承諾減碳目標 2005 2007 2010 2015 2030 2050 2020 2025 基準年 (2007年) 短期目標 (-20%) -139 (-20%) -243 (-35%) 中期目標 (-35%) -695 (-100%) 長期目標 碳中和 607 695 659 629 592 556 452 單位：CO2-e (萬噸) 內部加嚴管理目標 2005 2007 2010 2015 2030 2050 2020 2025 峰值 (2007年) 基準年 (2020年) 短期目標 (-12.5%) -74 (-12.5%) -103 (-14.8%) -148 (-25%) 中期目標 (-25%) -592 (-100%) 長期目標 碳中和 607 695 659 629 592 518 444 年度 年度"
南亞,2024,碳排,full,Stage 4: Hybrid Consensus,58,G1|G2|G3|G4|G5|G6,1074,")  ■完成2024 年溫室氣體排放量內稽及第三方外部 查驗、確信。  ■溫室氣體排放量降低，或溫室氣體排放強度( 溫 室氣體排放量/ 南亞個體營收) 較前一年降幅 2.5%。  ■除符合法規要求外，持續規劃設置再生能源 設備。  ■2025 年碳揭露(CDP)「氣候變遷」及「水揭露」 問卷評等維持「領導等級」。 中長期目標( 2026 年- 2030 年)  ■以「2050 年碳中和」為長期目標，因使用目的 不同，範疇一/ 二合計目標設定如下：  ■對外承諾：2025 年及2030 年分別較2007 年降低20% 及35%。  ■內部加嚴：2025 年及2030 年分別較2020 年降低12.5% 及25%。  ■SBTi 目標：2027 年較2021 年降低15%；另 範疇三降低7.4%。  ■推動臺灣全廠區取得ISO 50001 能源管理系統驗 證。  ■持續檢討各廠區增設太陽能或其他綠能設施之可 行性。  ■持續填報CDP 問卷，瞭解國際氣候變遷因應 趨勢。 2024 年執行情形  已完成2023 年溫室氣體排放量內稽及第三方 外部查驗、確信。  本公司2024 年溫室氣體排放量較2023 年減 少0.02%，單位營業額排放強度由3.15 千公 噸/ 億元，下降至3.02 千公噸/ 億元。  本公司及台灣子公司再生能源發電系統設備登 記證合計為15,060.45KW，並申請再生能源憑 證，其中，本公司建置量14,713.02KW，已符 合用電大戶義務裝置容量。  2024 年碳揭露(CDP)「氣候變遷」問卷評等 「A- ( 領導等級)」；「水揭露」問卷評等「A  ( 領導等級)」。  南亞公司已於2024 年8 月出版TCFD 報告書。 ● 未達標    達標  ★ 超標 恪遵環保法規 2024 年目標  ■2024 年空氣污染物排放量較2023 年降低。  ■環保罰單件數，降至2023 年的50% 以下  ( 1 件以下)。 短期目標( 2025 年目標)  ■2025 年空氣污染物排放量較2024 年降低。  ■環保罰單件數，降至2 件以下。 中長期目標( 2026 年- 2030 年)  ■持續降低各項污染排放。  ■環保零違失。 2024 年執行情形  ●2024 年空氣污染物總排放量因協助地方政府 焚化民生廢棄物造成較2023 年增加162.16 噸。  ●2024 年環保罰單8 件，較2023 年3 件增加 5 件，問題點已追根究柢，將持續加強內部管 理。 ● 未達標    達標  ★ 超標"
南亞,2024,碳排,full,Stage 2: Sparse Match,137,G1|G2|G3|G4,1130,"[[p.137]]  136 南亞塑膠工業股份有限公司 2024 年永續報告書 氣候變遷對公司造成之風險與機會及公司採取之相關因應措施 議題 回應說明 章節對照 8 若有設定氣候相關目標， 應說明所涵蓋之活動、 溫室氣體排放範疇、規劃 期程，每年達成進度等資 訊；若使用碳抵換或再生 能源憑證(RECs) 以達成 相關目標，應說明所抵換 之減碳額度來源及數量或 再生能源憑證(RECs) 數 量。 有關溫室氣體減量相關目標、所涵蓋之活動、溫室氣體排放範疇、規 劃期程，每年達成進度等資訊，請詳下表。 而本公司暨台灣子公司積極於各廠區屋頂自行建置太陽能發電，累計 至2024 年已建置15,060.45KW，另於2024 年取得12,206 張再生能 源憑證，換算發電量共12,206 千度。 3.2.2 氣候 變遷風險與 機會鑑別 溫室氣體盤查及確信情形與減量目標、策略及具體行動計畫請詳閱以下表格： 1-1 最近二年度公司溫室氣體盤查及確信情形 1-1-1 溫室氣體盤查資訊 年度( 民國年) 2023 年( 112 年度) 2024 年( 113 年度) 南亞公司 範疇 排放量 ( 噸CO2e ) 密集度 ( 噸CO2e/ 營業額 新臺幣百萬元) 排放量 ( 噸CO2e ) 密集度 ( 噸CO2e/ 營業額 新臺幣百萬元) 範疇一 1,410,260 - 1,424,266 - 範疇二 2,398,374 2,301,205 小計 3,808,633 3,725,471 子公司 (2023 年僅台灣 子公司；  2024 年則為合併 財報基礎) 範疇 排放量( 噸CO2e） 密集度 ( 噸 CO2e/ 營業額 新臺幣百萬元) 排放量( 噸CO2e） 密集度 ( 噸CO2e/ 營業額 新臺幣百萬元) 範疇一 45,143 - 1,074,763 - 範疇二 630,133 2,250,851 小計 675,276 3,325,614 總計 4,483,909 28.94 7,051,085 27.16 註1： 範疇一( 意即直接排放量，來自於公司所擁有或控制之排放源) 排放氣體包含二氧化碳、甲烷、氧化亞氮、氫氟碳化物、六氟化硫；範 疇二( 意即能源間接排放量)，係來自於輸入電力、熱或蒸汽而造成間接之溫室氣體排放，排放氣體包含二氧化碳、甲烷、氧化亞氮； 範疇三（意即其它間接排放量）係由公司活動產生之排放，非屬能源間接排放，而是來自於其它公司所擁有或控制之排放源。 註2： 溫室氣體盤查標準係以ISO 14064-1 為主，盤查數據參考「跨政府氣候變遷小組(IPCC)」第五次評估報告(2013) 所公告之GWP 值彙 總排放量為計算依據。"
南亞,2024,碳排,full,Stage 4: Hybrid Consensus,65,G4|G5,979,"[[p.65]]  64 南亞塑膠工業股份有限公司 2024 年永續報告書 3.2 氣候行動與策略    3.2.1 溫室氣體減緩與調適策略 氣候策略總表 氣候減緩因子 減緩與調適策略行動方案 活動範圍 二氧化碳、溫室氣體、溫室氣體與其他 南亞公司營運範圍、價值鏈觸及範圍 低碳能源轉型 公用廠燃煤鍋爐停止運轉，設置燃氣蒸汽鍋爐 等設備，另各生產廠也改用低碳能源( 如天然 氣) 取代高碳能源( 如煤炭、重油)。 提高再生能源用量 提高再生能源用量：於各廠區廠房屋頂建置 太陽能發電設備，至2030 年，設置總容量約 56,265.97 KW，預估占台電契約容量19.5%， 遠高於政府用電大戶條款所規定的8%。 節能減碳循環經濟 持續推動製程改善、循環經濟、煙氣熱回收、 AI 及數位轉型，提升能源使用效率及減少廢棄 物發生量。 碳捕捉技術運用 採用鹼液以超重力裝置吸收CO2，再將吸收後 鹼液養殖微藻，以降低碳排。 四 大 減 碳 策 略 因應全球減碳趨勢，及響應聯合國永續發展目標(SDGs)13 氣候行動，南亞公司訂定「2050 年碳中和」為長 期減碳目標，積極推動四大減碳策略，各策略推動重點、減碳效益簡述如下： 南亞公司短中長期減碳策略 碳捕捉技術運用 低碳能源轉型 短期 2021年-2025年 策略項目 中期 2025年-2030年 長期 2030年-2050年 擴建電子級及工業級液態CO2工廠，將化工製程中所發生的CO2 回收資源化 公用廠燃煤鍋爐改燃氣蒸汽鍋爐 適時導入使用生質原料 取代天然氣 生產廠低碳能源(如天然氣)取代高碳能源(如煤炭、重油) 持續掌握氫能等替代能源、儲能設備之發展趨勢，待商業化後適時導入 偕同產學界研發碳捕捉、森林碳匯等「負碳技術」發展趨勢，待商業化後適時導入 導入煙道尾氣排放捕捉等 業界可行技術，減少CO2外排 節能減碳 循環經濟 依照循環經濟 4R 原則，推動能資源回收再利用等專案 推動 AI 及數位轉型，導入智能管理系統，提升能資源使用效率 持續推動製程節能減碳等改善案 提高再生能源用量 各廠房屋頂建置太陽能發電設 備約計 56,265.97 KW (含必成 等台灣子公司) 各廠區其餘可導入太陽能發電 設備場域之檢討、評估 評估外購再生能源憑證 持續評估並適時導入水力、風力、地熱等再生能源應用"
南亞,2024,碳排,full,Stage 4: Hybrid Consensus,66,G1|G3|G4|G5,462,023 年溫室氣體排放情形等 議題。  ■每季召開1 次「環境保護(E)」工作會議， 監督氣候變遷等各項環境保護方案，並向董 事長彙報執行成果，2024 年共開會4 次。 策略 風險 管理 指標和 目標  ■訂定短中長期減碳目標。  ■推動「內部碳定價」等管理策略。  ■鑑別氣候風險與機會。  ■落實「低碳能源轉型」等四大減 碳策略。  ■申請加入SBTi。  ■訂定對外承諾、內部加嚴管理減碳目標，以 2050 年達到碳中和為長期目標。  ■執行「內部碳定價」等管理活動，並納入 ERP 電腦管理。  ■持續推動「低碳能源轉型」等四大減碳策 略。  ■2023 年SBT 目標核准通過。  ■運用TCFD 架構，建構公司的氣 候風險辨識流程。  ■依據ISO 14001 風險管理流程， 鑑別氣候風險排序，依結果擬定 因應方案。  ■2024 年TCFD 報告書揭露，本公司所鑑別 出16 項TCFD 風險、機會。  ■針對風險/ 機會擬訂因應對策。  ■依循「ISO 14064-1 規範」，推動 溫室氣體排放量盤查。
南亞,2024,碳排,full,Stage 2: Sparse Match,75,G1|G2|G3|G5|G6,1509,"[[p.75]]  74 南亞塑膠工業股份有限公司 2024 年永續報告書  ◆溫室氣體管理 南亞公司每年溫室氣體排放量皆委託第三方，依據「ISO 14064」、「GHG Protocol」、「環境部溫室氣體排 放量盤查作業指引(113 年版)」、「溫室氣體查驗指引(113 年6 月)」及「環境部溫室氣體排放量盤查登錄 及查驗管理辦法」之規定盤查驗證，2024 年溫排量查驗結果，範疇一排放量約142.4 萬公噸CO2e，範疇二約 為230.1 萬公噸CO2e，範疇三依規範雖不需納入上述排放量查驗計量，仍依盤查準則進行內部及第三方查驗。 另2024 年本公司個體營業額1,232 億元，總排放量約372.5 萬公噸CO2e，較2023 年減少2.18%，溫室氣體 排放強度為3.025 千噸CO2e/ 億元，較2023 年3.147 千噸CO2e/ 億元減少3.9%（營業額1,210 億元），表 示本公司減碳的作為有一定的成效。 SBTi 範疇三核定目標 2015 2020 2025 2030 2035 2040 2045 2050 2055 ABS2 Target No Absolute Growth 2C pathway (IPCC 5th AR) No Absolute Growth ABS2 Target SBTi 範疇一 + 範疇二核定目標 0 1,000,000 2,000,000 3,000,000 4,000,000 5,000,000 6,000,000 7,000,000 Scope 1+2 Emissions (tCO2e) 2015 2020 2025 2030 2035 2040 2045 2050 2055 ABS1 Target Absolute Emissions Well-below 2C pathway 1.5C pathway ABS1 Target 年度 0 5,000,000 10,000,000 15,000,000 20,000,000 25,000,000 Scope 3 Emissions (tCO2e) 年度 2.63 2.41 2.89 2.72 2021 年 2022 年 2023 年 2024 年 溫室氣體排放趨勢圖(範疇一 + 範疇二) 7,130,615 5,416,457 4,483,909 7,051,085 溫室氣體排放強度(千公噸CO2-e/億元) 總排放量(公噸CO2-e) 註： 上表溫室氣體排放資訊統計範疇，2021~2023 年為南亞公司 + 台灣子公司( 南電、南中、必成)，另2024 年起則配合法規要求，擴 增為南亞公司( 確信數) + 合併報表子公司( 自盤數)。 南亞公司 合併報表子公司 ( 2023 年以前僅台灣子公司) 2021 年 2022 年 2023 年 2024 年 1,424,266 1,410,260 1,628,833 2,499,081 1,074,763 45,143 69,564 151,387 範疇一 南亞公司 合併報表子公司 ( 2023 年以前僅台灣子公司) 2021 年 2022 年 2023 年 2024 年 2,301,205 2,398,374 2,955,507 3,636,122 2,250,851 630,132 762,553 844,023 範疇二 註： 上表溫室氣體排放資訊統計範疇，2021~2023 年為南亞公司、台灣子公司( 南電、南中、必成)，另2024 年起則配合法規要求，擴 增為南亞公司( 確信數)、合併報表子公司( 自盤數)。"
南亞,2024,碳排,full,Stage 3: Dense Match,58,G1|G3|G4|G5,460,[[p.58]]  57 延續 永續治理策略 拓展 多元產品價值 推展 綠色環境管理 開展 幸福安全職場 追求 共榮美好家園 附 錄 3 減緩氣候變遷風險 2024 年目標  ■完成2023 年溫室氣體排放量內稽及第三方外 部查驗、確信。  ■溫室氣體排放量降低，或溫室氣體排放強度 ( 溫室氣體排放量/ 南亞個體營收) 較前一年 降幅2.5%。  ■除符合法規要求外，持續規劃設置再生能源 設備。  ■2024年碳揭露(CDP)「氣候變遷」及「水揭露」 問卷評等維持「領導等級」。  ■出版南亞公司2023 年TCFD 報告書。 短期目標( 2025 年目標)  ■完成2024 年溫室氣體排放量內稽及第三方外部 查驗、確信。  ■溫室氣體排放量降低，或溫室氣體排放強度( 溫 室氣體排放量/ 南亞個體營收) 較前一年降幅 2.5%。  ■除符合法規要求外，持續規劃設置再生能源 設備。  ■2025 年碳揭露(CDP)「氣候變遷」及「水揭露」 問卷評等維持「領導等級」。 中長期目標( 2026 年- 2030 年)
