company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
瑞昱,2024,碳排,full,Stage 4: Hybrid Consensus,43,G2、G4、G5,180,並取得認證、提高再生能源使用比例、落實供應鏈減碳目標管理等各項節能減碳措施，逐步降低碳排放總量，進而實現淨零排放目標。淨零目標及時程如下： • 2030年將範疇一及範疇二產生之溫室氣體碳排放量，相較2021基準年，減少50%。 • 2030年再生能源使用比例達50%，2050年達100%。 • 2050年達成淨零排放目標。</td></tr></table>
瑞昱,2024,碳排,full,Stage 4: Hybrid Consensus,46,G1、G2、G3、G4、G5、G6,1051,"[[p.46]]  （三）溫室氣體減量目標、策略及具體行動計畫 <table><tr><td rowspan=""2"">目標</td><td>短期</td><td>1. 2025年，全集團使用再生能源比例達10%。</td></tr><tr><td>長期</td><td>1. 2030年，範疇一及範疇二碳排放量，相較2021基準年減少50%。 2. 2030年，全集團使用再生能源比例達50%。 3. 2050年，全集團使用再生能源比例達100%，並達成淨零排放(Net zero)目標。</td></tr><tr><td>策略</td><td colspan=""2"">1. 積極參與國際淨零排放倡議。 2. 持續開發低碳產品。 3. 改善設備能源效率。 4. 興建辦公大樓取得綠建築標章。 5. 提高再生能源使用比例。 6. 供應鏈減碳目標管理。</td></tr><tr><td>具體行動</td><td colspan=""2"">1. 於2024年加入國際科學減碳倡議(SBTi)，簽屬commitment letter表示企業減碳決心。 2. 2023年財報範圍內含國內外共16據點通過溫室氣體盤查ISO14064外部查證。 3. 於2023年取得新竹一廠能源管理ISO50001認證，並於2024年將其認證範圍擴大至新竹二廠。 4. 生醫一廠辦公大樓，於2022年已取得臺灣綠建築「黃金級」候選證書。 5. 新竹三廠於2023年取得臺灣綠建築「銅級」認證。 6. 新竹三廠於2023年獲美國綠建築LEED「金級」證書。 7. 於2024年完成新竹一廠前棟及停車棟屋頂型太陽能版，裝置容量共計1,005KW。一廠後棟屋頂太陽能板也預計於2025年完工，屆時總裝置容量將達1,549KW。 8. 大陸蘇州廠於2024年開始全面使用綠電，預計購買相關再生能源憑證約4,000張。 9. 於2024年導入ISO14067產品碳足迹管理，將產品分為高功率及低功率兩類並通過外部查證。</td></tr><tr><td>減碳成效</td><td colspan=""2"">1. 新竹一廠2024年總用電量為36,830,400度，相較前一年度降低1,608,000度。 2. 2024年新竹一、二廠總節電率達6.17%，節電量3,463,903度，相當於降低碳排放量1,711噸CO2e。 3. 新竹一、二、三廠屋頂太陽能發電系統於2024年實際發電1,322,169度。</td></tr></table>"
瑞昱,2024,碳排,full,Stage 4: Hybrid Consensus,44,G3,180,"024</td><td colspan=""6"">● 2024年度溫室氣體盤查尚未完成外部查證，目前顯示數據為集團內部統計之結果。 ● 完整確信資訊將於永續報告書中揭露。</td></tr></table> 註：英國標準協會依照ISO14064-1:2018標準進行2023年度查驗，數據經驗證後屬於合理保證等級及協議程序(AUP)，確信意見書參閱年報第41頁。"
瑞昱,2024,碳排,full,Stage 4: Hybrid Consensus,45,G1、G2、G3,1229,"[[p.45]]  Opinion Statement  Greenhouse Gas Emissions  Verification Opinion Statement  This is to verify that:  Realtek Semiconductor Corporation  No. 2, Chuangxin 2nd Rd.  Baoshan Township  Hsinchu County 300092  Taiwan  瑞昱半导体股份有限公司  台湾  新竹縣  寶山鄉  创新二路2號  300092  Holds Statement No:  GHGEV 805404  Verification opinion statement  As a result of carrying out verification and validation procedures in accordance with ISO 14064-3:2019, it is the statement for mixed engagement including reasonable assurance for verification activity, validation and agreed-upon procedures (AUP) contains the following:  The Greenhouse Gas Emissions with Realtek Semiconductor Corporation for the period from 2023-01-01 to 2023-12-31 was verified and validated.The verified organization-level greenhouse gas emissions include direct greenhouse gas emissions 2033.0749 tonnes of \mathrm{CO}_{2} equivalent and indirect greenhouse gas emissions from imported energy 28,998.9332 tonnes of \mathrm{CO}_{2} equivalent.Realtek Semiconductor Corporation has defined and explained its own process and pre-determined criteria for significance of indirect Greenhouse Gas Emissions and quantify and report these identified significant emissions accordingly."
瑞昱,2024,碳排,full,Stage 4: Hybrid Consensus,45,G2,1496,"lained its own process and pre-determined criteria for significance of indirect Greenhouse Gas Emissions and quantify and report these identified significant emissions accordingly.  For and on behalf of BSI:  Managing Director BSI Taiwan, Peter Pu  Originally Issue: 2024-05-31  Latest Issue: 2024-05-31  Page: 1 of 8  ...making excellence a habit.  The British Standards Institution is independent to the above named client and has no financial interest in the above named client. This Opinion Statement has been prepared for the above named client only for the purposes of verifying its statements relating to its carbon emissions more particularly described in the scope. It was not prepared for any other purpose. The British Standards institution will not, in providing this Opinion Statement, accept or assume responsibility (legal or otherwise) or accept liability for or in connection with any other purpose for which it may be used or to any person by whom the Opinion Statement may be read. This Opinion Statement is prepared on the basis of review by The British Standards Institution of information presented to it by the above named client. The review does not extend beyond such information and is solely based on it. In performing such review, The British Standards Institution has assumed that all such information is complete and accurate. Any queries that may arise by virtue of this Opinion Statement or matters relating to it should be addressed to the above name client only."
瑞昱,2024,碳排,full,Stage 4: Hybrid Consensus,44,G1、G2、G3、G4、G6,2001,"[[p.44]]  <table><tr><td>項目</td><td>執行情形</td></tr><tr><td></td><td>此外，瑞昱持續建置屋頂型太陽能板，已於 2024 年實際發電 130 萬度，可取得再生能源憑證(RECs)1,300 張。並預計 2025 年總裝置容量將達 1,549KW，預估每年可取得再生能源憑證 1,800 張。</td></tr><tr><td>9．溫室氣體盤查及確信情形與減量目標、策略及具體行動計畫。</td><td>瑞昱通過第三方公正單位英國標準協會確信驗證，其 2023 年財報範圍內含國內外共 16 據點所產生之範疇一、範疇二碳排放數據屬於合理保證等級。溫室氣體盤查及確信情形，請詳年報第 40-41 頁；減量目標、策略及具體行動計畫，請詳年報第 42 頁</td></tr></table> （二）最近二年度公司溫室氣體盤查及確信情形 <table><tr><td>本公司基本資料 □ 資本額100億元以上公司、鋼鐵業、水泥業 ■ 資本額50億元以上未達100億元之公司 □ 資本額未達50億元之公司</td><td>依上市櫃公司永續發展路徑圖規定至少應揭露 ■ 母公司個體盤查    □ 合併財務報告子公司盤查 ■ 母公司個體確信    □ 合併財務報告子公司確信</td></tr></table> <table><tr><td rowspan=""2"">年度</td><td colspan=""3"">範疇一、排放量(公噸 CO2e)</td><td colspan=""3"">範疇二、排放量(公噸 CO2e)</td><td>密集度</td></tr><tr><td>母公司</td><td>子公司</td><td>合計</td><td>母公司</td><td>子公司</td><td>合計</td><td>(公噸 CO2e/百萬元)</td></tr><tr><td>2023</td><td>1,143.57</td><td>889.50</td><td>2,033.07</td><td>26,074.04</td><td>2,924.89</td><td>28,998.93</td><td>0.286</td></tr><tr><td>2024</td><td>1,114.65</td><td>878.52</td><td>1,993.18</td><td>26,208.81</td><td>448.62</td><td>26,657.43</td><td>0.253</td></tr><tr><td>年度</td><td>確信機構</td><td colspan=""6"">確信情形說明</td></tr><tr><td>2023</td><td rowspan=""2"">BSI</td><td colspan=""6"">● The Greenhouse Gas Emissions with Realtek Semiconductor Corporation for the period from 2023-01-01 to 2023-12-31 was verified and validated. ● The verified organization-level greenhouse gas emissions include direct greenhouse gas emissions 2,033.07 tonnes of CO2 equivalent and indirect greenhouse gas emissions from imported energy 28,998.93 tonnes of CO2 equivalent. ● Realtek Semiconductor Corporation has defined and explained its own process and pre-determined criteria for significance of indirect Greenhouse Gas Emissions and quantify and report these identified significant emissions accordingly.</td></tr><tr><td>2024</td><td colspan=""6"">● 2024年度溫室氣體盤查尚未完成外部查證，目前顯示數據為集團內部統計之結果。 ● 完整確信資訊將於永續報告書中揭露。</td></tr></table> 註：英國標準協會依照ISO14064-1:2018標準進行2023年度查驗，數據經驗證後屬於合理保證等級及協議程序(AUP)，確信意見書參閱年報第41頁…"
瑞昱,2024,碳排,full,Stage 2: Sparse Match,43,G1、G2、G3、G4、G5、G6,1569,"[[p.43]]  八、公司氣候相關資訊（一）氣候相關資訊執行情形 <table><tr><td>項目</td><td>執行情形</td></tr><tr><td>1.敘明董事會與管理階層對於氣候相關風險與機會之監督及治理。</td><td>瑞昱的永續組織架構以董事會為最高指導層級，總經理室為最高管理階層，負責監督 ESG(環境、社會、公司治理)各面向重大主題推展的進程並責成廠務團隊進行TCFD風險評估流程作業。</td></tr><tr><td>2.敘明所辨識之氣候風險與機會如何影響企業之業務、策略及財務(短期、中期、長期)。</td><td>氣候風險與機會對財務主要影響為空調成本的增加、上游供應商轉型成本、增設太陽能發電設施之成本花費，以及永續議題的管理和溝通成本。關於各項氣候議題造成的短、中、長期財務影響，經過量化評估後均小於營收淨額的1%。</td></tr><tr><td>3.敘明極端氣候事件及轉型行動對財務之影響。</td><td>關於各項氣候議題造成的短、中、長期財務影響，經過量化評估後均小於營收淨額的1%。</td></tr><tr><td>4.敘明氣候風險之辨識、評估及管理流程如何整合於整體風險管理制度。</td><td>瑞昱的風險管理範疇包含策略佈局、營運管理、財務運作以及危害事件等風險，同時納入氣候變遷相關風險，參考ERM(Enterprise Risk Management)企業風險管理程序，透過風險辨識、風險衡量、風險監控、風險回應、風險報告與揭露等管理程序，確保瑞昱持續營運、降低風險可能造成之衝擊。</td></tr><tr><td>5.若使用情境分析評估面對氣候變遷風險之韌性，應說明所使用之情境、參數、假設、分析因子及主要財務影響。</td><td>瑞昱依據聯合國政府間氣候變化專門委員會(IPCC)之第六次科學評估報告(AR6)，使用「共享社會經濟路徑」(Shared Social-Economic Pathways, SSP)，採用SSP1-1.9、SSP2-4.5、SSP5-8.5等三種氣候情境進行分析。在短、中、長期的時間邊界中，選定以溫升控制在1.5℃的理想情境下，評估氣候變遷對瑞昱主要財務影響小於營收淨額的1%。</td></tr><tr><td>6.若有因應管理氣候相關風險之轉型計畫，說明該計畫內容，及用於辨識及管理實體風險及轉型風險之指標與目標。</td><td>因應氣候相關風險，瑞昱已積極布局能源轉型，於新竹營運總部屋頂建置太陽能板，2024年總裝置容量為1,005KW，已實際發電130萬度，換算減碳量為645噸CO2e。並規劃於2025額外購買再生能源100萬度，使全集團2025年達到RE10。</td></tr><tr><td>7.若使用內部碳定價作為規劃工具，應說明價格制定基礎。</td><td>不適用。</td></tr><tr><td>8.若有設定氣候相關目標，應說明所涵蓋之活動、溫室氣體排放範疇、規劃期程，每年達成進度等資訊；若使用碳抵換或再生能源憑證(RECs)以達成相關目標，應說明所抵換之減碳額度來源及數量或再生能源憑證(RECs)數量。</td><td>瑞昱承諾於2050年達到淨零碳排的重大目標。計畫透過持續開發低碳產品、改善設備能源效率、依據綠建築標準興建辦公大樓並取得認證、提高再生能源使用比例、落實供應鏈減碳目標管理等各項節能減碳措施，逐步降低碳排放總量，進而實現淨零排放目標。淨零目標及時程如下： • 2030年將範疇一及範疇二產生之溫室氣體碳排放量，相較2021基準年，減少50%。 • 2030年再生能源使用比例達50%，2050年達100%。 • 2050年達成淨零排放目標。</td></tr></table>"
瑞昱,2024,碳排,full,Stage 2: Sparse Match,36,G3,6760,"[[p.36]]  七、推動永續發展執行情形及與上市上櫃公司永續發展實務守則差異情形及原因 <table><tr><td rowspan=""2"">推動項目</td><td colspan=""3"">執行情形</td><td rowspan=""2"">與上市上櫃公司永續發展 實務守則差異情形及原因</td></tr><tr><td>是</td><td>否</td><td>摘要說明</td></tr><tr><td>一、公司是否建立推動永續發展之治理架構,且設置推動永續發展專(兼)職單位,並由董事會授權高階管理階層處理,及董事會督導情形?</td><td>✓</td><td></td><td>本公司永續發展組織架構以董事會為最高指導層級,總經理室為最高管理階層,監督永續發展各面向(經濟、環境、社會以及公司治理)關鍵議題推展的進程,並於總經理室轄下編制永續發展中心,由各部門專人代表擔任永續發展委員,自2008年起持續推動公司治理、研發創新、人才培育與發展、環境永續與社會多元共融等各項永續發展議題,每季至少一次召開跨部門永續精進會議,並至少一年一次將執行情形呈報董事會。 2024年永續發展實施成效,已於2024年10月30日向董事會報告。董事會針對包含1.瑞昱永續發展實踐成果、2.執行利害關係人溝通情形、3.誠信經營推動及運作情形、4.2024年風險管理執行情形報告等議案,進行督導且議定通過,並將持續檢視各項永續發展策略及方案執行情形,善盡董事會督導責任。 在永續發展的未來,瑞昱將持續努力實踐1.堅持永續目標與誠信正直、2.落實綠能政策與環境責任、3.永續人才發展與安全環境、4.積極合作服務與品質要求、5.創新研發讓世界豐富便利、6.持續精進溫暖更多人的心等六項目標和承諾,並精進本公司ESG綜合發展策略。</td><td>-</td></tr><tr><td>二、公司是否依重大性原則,進行與公司營運相關之環境、社會及公司治理議題之風險評估,並訂定相關風險管理政策或策略?</td><td>✓</td><td></td><td>本公司為實落公司治理義務與維護永續經營目標,及掌握公司營運可能面臨之經濟、社會(人群)與環境等內外部風險,依重大性分析程序進行風險評估,並訂定相關風險管理政策或策略。 风险管理組織架構以董事會為風險管理之最高治理單位、審計委員會為本公司風險管理之最高監督單位,由風險管理中心負責風險管理推動與執行,此外,隸屬於董事會之獨立稽核單位負責實施內部稽核,確保風險管理制度得以持續有效實施。</td><td>-</td></tr><tr><td></td><td></td><td></td><td>我司的風險管理範疇包含策略佈局、營運管理、財務運作以及危害事件等風險，同時納入氣候變遷相關風險，我們參考ERM(Enterprise risk management)企業風險管理程序，風險管理中心透過風險辨識、風險衡量、風險監控、風險回應、風險報告與揭露等管理程序，每年定期執行系統性的風險評估與鑑別機制，篩選出風險管理議題，監測潛在風險並實行預防措施，確保我司持續營運、降低風險可能造成之衝擊。 各營運單位依據風險管理辦法及程序，匯整2024年各類風險管理執行情形，作為風險管理中心分析、辨識依據，鑑別出與公司密切相關的重大風險議題。 風险管理執行及運作情形 本公司依風險類型由各營運單位執行風險管理措施，並落實全員全面風險控管和防範，以有效作好風險管理，各營運單位提交风险管理資訊予風險管理中心。對於影響公司營運或永續發展之重大潛在風險，定期(每年至少一次)由風險管理中心呈報至審計委員會及董事會報告，作為風險管理監督與指導之依據。2024年7月因應主管機關之上市上櫃公司風險管理實務守則修訂要求，風險管理中心提報董事會及審計委員會通過修訂風險管理辦法，並於10月提報重大風險議題及結果。本年度審計委員會及董事會已針對風險管理中心所提出之相關風險管理議題進行2次監督及指導，落實公司整體營運風險管理。</td><td></td></tr><tr><td>三、環境議題 (一)公司是否依其產業特性建立合適之環境管理制度?</td><td>✓</td><td></td><td>本公司於2006年通過環境管理系統ISO14001驗證及取得證書；並於2023年10月完成ISO14001換證外部稽核(有效期為2023/10/12-2026/10/12)，持續落實環境管理系統化與實踐環境永續之目標前進。</td><td>—</td></tr><tr><td>(二)公司是否致力於提升能源使用效率及使用對環境負荷衝擊低之再生物料?</td><td>✓</td><td></td><td>本公司於2023年通過新竹一廠能源管理系統ISO50001驗證及取得證書;並於隔年2…"
瑞昱,2024,碳排,full,Stage 2: Sparse Match,5,G3、G4、G5,629,訊數位信號處理器(ALC5575)榮獲2024亞洲金選獎「年度IP/Processor最佳潛力標竿獎」；智慧物聯網智慧家居單晶片(RTL8730E)榮獲民國113年「新竹科學園區優良廠商創新產品獎」；《新聞週刊》評選瑞昱為2024年全球最值得信賴的技術硬體公司之一。這些獎項不僅是對瑞昱的產品競爭力與技術能力的高度肯定，獲獎產品也有望挹注公司接下來的成長動能。  致力於追求公司營收及獲利成長的同時，瑞昱也積極實現企業永續。透過強化公司治理，同步推動綠色營運與產品創新，打造安全與幸福的工作環境，以及多方推動社會關懷專案，發揮企業正向影響力。民國113年，瑞昱簽署科學基礎減量目標倡議(SBTi)承諾書，設定符合將全球溫度上升限制在 1.5^{\circ}\mathrm{C} 目標的溫室氣體排放減量計劃，並承諾在2050年實現淨零排放。在再生能源使用方面，我們目標於2030年達成RE50，並在2050年達成RE100的目標。即將於民國114年開始營運的生醫一廠，計畫取得台灣綠建築EEWH黃金級認證以及美國綠建築LEED金級認證。透過低功耗產品設計及攜手關鍵供應商共同努力，降低產品製造與使用時所帶來的溫室氣體排放；上述目標與作為，體現瑞昱實現環境永續的決心與努力。  二、114年度營業計畫概要  瑞昱持續以技術與產品創新為核心，穩固既有市場領導地位，同時積極拓展新興應用市場，實現營收及獲利同步穩健成長的目標。展望民國114年，隨著終端市场需求逐步回
瑞昱,2024,碳排,full,Stage 3: Dense Match,79,G4,824,[[p.79]]  USB4 Hub 集線器控制晶片系列4-Port USB 3.2 Gen 2 集線器晶片系列- 7-Port USB 3.2 Gen 2 集線器晶片系列- 高整合型PD3.2EPR控制晶片系列USB3.2 與DP2.1 Redriver 晶片系列eUSB2 Repeater 控制晶片系列- 高整合度低功耗嵌入式系統控制晶片系列I3C集線器控制器晶片系列  多媒體產品：  高解析度整合型電競液晶顯示控制晶片系列整合型液晶顯示控制晶片系列- DisplayPort 視訊轉換晶片系列- DisplayPort MST 集線器控制晶片系列HDMI Retimer晶片系列- 高端智慧聯網液晶電視控制晶片系列智慧顯示系統單晶片系列8K影像解碼與處理晶片- 超解析度成像畫質提升系統單晶片系列規格升級支持AI影像及聲音處理的電視系統單晶片  四、長短期業務發展計劃  （一）短期業務發展計劃  1. 持續以創新架構降低晶片成本，確保價格具競爭力及提高獲利率。2. 除保持原有市占率外，透過新產品推出及提供多種銷售組合與配銷策略，以擴大整體市場占有率。3. 配合主要客户需求，協助客戶整合產品後勤支援體系，並提供最佳行銷服務予客戶，以贏得客戶信賴及符合客戶需求。4. 參加國際性展覽及產品評比大會，以提高新產品曝光率，讓產品的品質得以呈現。  (二)長期業務發展計劃  1. 參加並推動國際標準制定，提前取得相關產品市場及技術資訊，讓產品能符合 Time-to-Market。參與相關標準組織之驗證平台的篩選評比，使瑞昱產品成為各家產品互通性測試的基準。2.針對高市占率產品，除穩定市占率及良好品質外，並架構全球服務、技術網。對市占率較低產品，將積極開發新客戶、拓展新市場及行銷通路，以積極提升整體市占率為目標。3. 定期針對區域市場需要，舉辦產品發表會及技術研討會，或直接與品牌擁有者建立關係並討論其未來所需產品，以期加強與客戶關係。
