company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
台化,2024,碳排,full,Stage 1: Entity Match,73,G4,929,"[[p.73]]  3 4 美好環境的價值 永續人才的價值 社會共榮的價值 附錄 1 5 經營理念 2 創新經濟的價值 72  內部碳定價 督促各廠處積極推動節能減碳工程，實施內部碳定價評估機制，於立案效益估算時加入計算碳成本 效益，提升節能改善案之經濟效益，擴大推動減碳成果： 目的與用途 執行方式 提升能改善案之經濟效益，促進節能改善立案執行，擴大減碳績效 各事業部設定內部碳定價作業 人員，投入每月績效管制。 2024年合計新增立案219件節能改善案，預估投資金額為 10.2億元，預估改善完成後每年可減排19.1萬噸CO2e， 約節省碳成本0.19億元。 1.每季將溫室氣體碳排成本(含碳超排成本)納入經營績效計算，將碳成本加入損益計算，    呈現加入碳價後對財務績效的衝擊。 2.內部碳定價為100元/噸，碳超排成本為1,500元/噸。 投入成本 推動方案與2024績效 3.2.2 廠區節能減碳執行成效  GRI305-5 2024 年度完成之節能減碳改善案件合計共235 件，CO2e 減量約227 千噸／年，總投入金額逹13.1 億元，投資效益6.6 億元/ 年。近三年(2022-2024) 累計完成之節能減碳改善案件合計共782 件， CO2e 減量約875 千噸／年，總投入金額逹38.7 億元，投資效益27.8 億元。 年度/ 項目 累計量 2022~2023 年 2024 年 累計量 2022~2024 年 持續  進行中 總計 改善件數( 件) 547 235  782 297  1,079 節省蒸汽( 噸/ 小時) 162.9 69.2  232.1 443.4  675.5 節省電力( 千度/ 小時) 16.3 11.0  27.3 10.0  37.3 節省燃料( 噸/ 小時) 6.7 0.1  6.7 0.1  6.9 CO2e 減量( 千噸/ 年) 648 227  875 1,072  1,947 投資金額( 億元) 25.6 13.1  38.7 77.9  116.6 投資效益( 億元/ 年) 21.2 6.6  27.8 35.6  63.4 台化公司( 含台醋)2018~2024 年節能執行情形"
台化,2024,碳排,full,Stage 1: Entity Match,75,G1、G2、G3、G6,1295,"[[p.75]]  3 4 美好環境的價值 永續人才的價值 社會共榮的價值 附錄 1 5 經營理念 2 創新經濟的價值 74 3.2.3 溫室氣體管理 GRI302-1  GRI302-3  GRI305-1  GRI305-2  GRI305-3  GRI305-4 本公司制訂自主溫室氣體盤查管理作業，管控各廠區節能改善案件執行進度及評估效益。本公司外 部溫室氣體盤查，雲林麥寮廠區委由英國標準協會(bsi.) 查證；彰化、嘉義新港及宜蘭龍德廠區由台 灣檢驗科技公司(SGS)。2022-2024 年經外部盤查之溫室氣體排放量如附表。 項目 廠區 2022 年 2023 年 2024 年 範疇一 龍德 1,242,260 1,408,052 1,044,326 彰化 942 571 369 新港 1,727,980 2,067,217 2,258,040 麥寮 1,727,498 1,667,186 1,610,349 總計 4,698,681 5,143,026 4,913,085 範疇二 龍德 13 0 20,768 彰化 25,569 19,842 17,131 新港 167,725 19,357 5,121 麥寮 2,973,281 2,976,875 2,763,389 總計 3,166,588 3,016,074 2,806,409 範疇三 - 14,488,269 14,640,213 11,518,905 2022-2024 年溫室氣體排放量 單位：噸CO2e ／年 項目 2024 年子公司 範疇一 5,945,152 範疇二 406,266 子公司2024 年溫室氣體排放量 單位：噸CO2e ／年 註1：2022、2023 及2024 年度盤查資料依據SGS 及bsi. 驗證機構報告。 註2：溫室氣體排放量盤查所須之溫室氣體排放係數引用，主要依據行政院環境部公告「溫室氣體排放係數管理表6.0.4 版」 (2018.01.17 更新)，以地點基礎(location-based) 盤查。 註3：採用聯合國「跨政府氣候變遷小組(IPCC)」第五次評估報告(2013) 所提供之全球暖化潛勢資料作為計算之依據。 註4：溫室氣體盤查報告數據來自台塑企業提供的溫室氣體盤查清冊。 註5：彙整溫室氣體盤查範圍的方法，本公司除因特殊條件需改變以「股權持分法定義邊界外，定義組織邊界時一律採用控制權法。 註6：範疇一、範疇二及範疇三之溫室氣體盤查包含二氣化碳、甲烷、氧化亞氮、氫氟碳化物、全氟碳化物丶六氟化硫、三氧化氮。 註7：範疇三盤查項目：採購之產品與服務．資本貨品、燃料與能源相關活動( 沒有納入範疇一或二)、上游運輸和配送、營業廢 棄物產出、差旅、員工通勤、下游運輸和配送、售出產品加工、售出產品使用及售出產品終期處理。 註8：2022 年及2023 年範疇一、範疇二包含台灣醋酸化學股份公司，2024 年起改以母子公司各別揭露。另台灣醋酸化學股份有 限公司2024 年度溫室氣體排放量為範疇一14,925 噸CO2e，範疇二116,129 噸CO2e。"
台化,2024,碳排,full,Stage 1: Entity Match,144,G3,827,[[p.144]]  2024 台灣化學纖維股份有限公司 143 重大主題 揭露項目 描述 參考章節 備註 重大主題：溫室氣體管理 GRI 3： 重大主題 2021 3-3 重大主題管理 3.2.3 GRI 305： 排放 2016  ( 主題準則指標) 305-1 直接（範疇一）溫室氣體排放 3.2.3 305-2 能源間接（範疇二）溫室氣體排放 3.2.3 305-3 其它間接（範疇三）溫室氣體排放 3.2.3 305-4 溫室氣體排放強度 3.2.3 305-5 溫室氣體排放減量 3.2.2 重大主題：能源管理 GRI 3： 重大主題 2021 3-3 重大主題管理 3.2 GRI 302： 能源 2016   ( 主題準則指標) 302-1 組織內部的能源消耗量 3.2.3 302-3 能源密集度 3.2.3 重大主題：水資源管理 GRI 3： 重大主題 2021 3-3 重大主題管理 3.3 GRI 303： 水與放流水 2018 303-1 依來源劃分的取水量  3.3.2 303-2 與排水相關衝擊的管理 3.3.3 303-3 取水量 3.3.2 303-4 排水量 3.3.3 303-5 耗水量 3.3.4 GRI 304： 生物多樣性 2016 304-1 組織所擁有、租賃、管理的營運據點或 其鄰近地區位於環境保護區或其它高生 物多樣性價值的地區 3.3.3 重大主題：空氣品質管理 GRI 3： 重大主題 2021 3-3 重大主題管理 3.4 GRI 305： 排放 2016  305-7 氮氧化物(NOx)、硫氧化物(SOx) 及其 他重大的氣體排放 3.4.1 重大主題：廢棄資源與循環 GRI 3： 重大主題 2021 3-3 重大主題管理 3.5 GRI 306： 廢棄物 2020 306-1 廢棄物的產生與廢棄物相關顯著衝擊 3.5.1 306-2 廢棄物相關顯著衝擊之管理 3.4.1 3.5.1
台化,2024,碳排,full,Stage 4: Hybrid Consensus,72,G1、G2、G3、G5、G6,962,"[[p.72]]  2024 台灣化學纖維股份有限公司 71 3.2 溫室氣體及能源管理 3.2.1 碳中和路徑圖 本公司以2020 年度為基準年，規劃減少碳排放量期程目標，2020 年比2010 年碳排放量減少 30.2%，碳排放2050 年達成碳中和目標。2025 年碳排放量比2020 年減少10% 為短期目標；至2030 年減少25% 為中期目標。在各項設備更新及使用新能源後，且生產效率達到預期目標的情形下，實 際減少的碳排放量預期可較目標數高。 942 769 641 854 1,191 1,223 1,061 萬頓CO2e 1,400 1,200 1,000 800 600 400 200 0 2005 2015 2007 2010 2020 2030 2035 2040 2045 2050 2025 年度 長期目標 （碳中和) 基準年 （2020年） 短期目標 （-10%) 中期目標 （-25%) 碳排量 峰值 （2010年） -854 (-100%) -369 (-30.2%) 2021至2024累積投資 到2030年規劃 新台幣 億元 79.5 持續投資新台幣 億元 106.9 本公司加入科學基礎減量目標 (SBTi) 倡議，以溫升不超過2℃為目標。碳排放量的範疇一及範疇二 的減量承諾，本公司2024 年碳排放量10,378,129 噸CO2e，比基準年的碳排放量減少2,306,658 噸 CO2e，減量18.2%。 項目 2018 基準年 2024 年 2027 目標年 碳排放量 ( 噸CO2e) 碳排放量 ( 噸CO2e) 減量 比例 目標碳排放量 ( 噸CO2e) 目標 減量比例 範疇一、範疇二 12,684,787 10,378,129 18.2% 9,830,710 22.5% 註1：本公司加入科學基礎減量目標 (SBTi) 倡議之範疇一及範疇二碳排放量，係合計台化公司、台醋公司及台塑集團熱電( 寧 波) 有限公司。 註2：本公司提出Target Validation Report 的資料，其中2018 基準年範疇一及範疇二填報的碳排放量合計11,325,404 噸 CO2e 係誤植，修正2018 基準年範疇一及範疇二碳排放量合計為12,684,787 噸CO2e。"
台化,2024,碳排,full,Stage 4: Hybrid Consensus,155,G3、G5、G6,1137,"[[p.155]]  1 3 4 5 經營理念 美好環境的價值 永續人才的價值 社會共榮的價值 附錄 2 創新經濟的價值 154 氣候相關資訊執行項目 執行情況 章節對照 6 策略 指標 目標 循環經濟 CO2 回收再利用 改善工程 115 年目標CO2 回收量 9,400 噸/ 年 海廢回收再利用 115 年目標銷量15,000 噸/ 年( 佔總銷售量30%) 廢塑膠回收利用 115 年目標銷量16,000 噸/ 年( 佔硬膠銷售量2.1%) 環保紗產品 115 年目標銷量6,209 噸/ 年( 佔總銷售量13.2%) 貯槽VOC 回收 114 年預估減排114 噸 其他措施 辦公室無紙化 114 年目標減碳量為  198 噸/ 年 前染色絲 114 年目標銷量  7,140 噸/ 年 參與氣候 倡議 CDP 氣候變遷 領導級以上 CDP 水管理 領導級以上 為讓利害關係人能充分瞭解本公司推動節能減排循環經濟 的努力作為及成效，以及氣候變遷調適的實體、轉型風險 及機會管理能力，本公司依據TCFD 框架編撰報告書，每 年更新並公佈於公司網站，112 年版已於113 年8 月公佈 發行，相關管理實體風險及轉型風險之指標與目標。 7 若使用內部碳定價作 為規劃工具，應說明 價格制定基礎 為增加各廠處對溫室氣體排放的切身感及強化落實減 碳工作，自111 年起推動內部碳定價（Internal Carbon  Pricing，簡稱ICP），透過本公司自行開發之溫室氣體計 算系統，每月將溫室氣體碳排成本( 含碳超排成本) 納入 經營績效計算，藉以深化各廠處溫室氣體減量工作。同 時，為推動供應鏈減碳，制定高碳排設備採購案件「設備 選用分析表」，由請購部門估算擬採購設備的碳排放量， 並將碳排成本納入採購評選考量。 3.2.1 8 若有設定氣候相關目 標，應說明所涵蓋之 活動、溫室氣體排放 範疇、規劃期程，每 年達成進度等資訊； 若使用碳抵換或再生 能源憑證(RECs) 以 達成相關目標，應說 明所抵換之減碳額度 來源及數量或再生能 源憑證(RECs) 數量。 1. 本公司排碳量由99 年最高峰的1,223 萬噸( 範疇一及 範疇二外售電力)，降至109 年的854 萬噸，減量369 萬噸，降幅30.2%，112 年進一步降至815.6 萬噸，降 幅達33.3%。 2. 短期(114 年) 及中期(119 年) 目標為較基準年(109 年) 減碳10%、25%，長期則以139 年達到碳中和為目標。 3. 本公司短期(114 年) 目標為較基準年(109 年) 減 碳10%，即需減碳85 萬噸，已規劃之減碳方案已達 126.8 萬噸，如下表。 3.2.1"
台化,2024,碳排,full,Stage 4: Hybrid Consensus,157,G3、G5,676,[[p.157]]  1 3 4 5 經營理念 美好環境的價值 永續人才的價值 社會共榮的價值 附錄 2 創新經濟的價值 156 氣候相關資訊執行項目 執行情況 章節對照 5. 長期(139 年) 目標為碳中和，減碳方案如下表。 減碳方案 預估減碳量  ( 萬噸/ 年) 說明 積極尋找低 ( 零) 碳能源  轉型 415.6  探討氫能、氨能、生質 能、碳中和天然氣等無 碳燃料研究碳捕捉、封 存、利用(CCUS) 技術 持續推動節能 減碳循環經濟 140.7 引進製程減碳新技術持 續運用AI+ 模擬及數位 轉型技術，推動製程智 能化低階能源回收及高 階化 設置再生能源 16.6 太陽能、風力發電、水 力發電 研用其他可行 之減碳措施 66.5  開發製程高濃度CO2 去 化方式  研究製程排氣減量技術 合計 639.4 9 溫室氣體盤查及確信 情形與減量目標、策 略及具體行動計畫 ( 另填於1-1) 1. 本公司自94 年進行溫室氣體盤查及委託外部機構( 如 SGS、BSI) 查驗，並依法向環境部申報排放量。 2. 本公司為展現減碳之決心，除對外宣示短中長期目標 外，另每年向國際CDP( 碳揭露計畫) 組織提報揭露本 公司之碳管理，113 年評等取得「領導等級」。 3. 為確認減碳成效，本公司以升溫不高於2℃控制減碳目 標，向國際SBTi( 科學基礎目標倡議) 組織提請認證， 已獲得承認通過，目標為5~15 年內完成範疇一、二排 放量年均減量2.5%。( 註：統計範疇為台化公司、台醋 公司及台塑集團熱電（寧波）公司) 請參閱 下表
台化,2024,碳排,full,Stage 4: Hybrid Consensus,78,G1、G2、G4、G6,1084,"[[p.78]]  2024 台灣化學纖維股份有限公司 77 項目 2022 年 2023 年 2024 年 年度營業額合計( 億元) 2,549.72  2,175.46  2,175.91 範疇一、範疇二溫室氣體排放總量( 噸CO2e) 7,865,269  8,159,100  7,719,494 溫室氣體排放密集度( 噸CO2e/ 億元) 3,084.8  3,750.5  3,547.7 能源使用總量(GJ) 82,137,006  84,778,240  80,458,305  能源使用密集度(GJ/ 億元) 32,214.11  38,970.18  36,976.85 CO2e排放量佔比 能源使用總量 (2024年)(GJ) 10,368,156 95.5% 147,162 94.5% 22,864,739 99.1% 47,693,278 94.5% 新港廠區 麥寮區 龍德廠區 彰化廠區 註1：台塑企業溫室氣體盤查電腦資料庫。 註2：焦耳（Joule，英文縮寫為J）；1GJ=10 9J。 註3：麥寮廠區包含台灣醋酸化學股份有限公司。 2022-2024 年溫室氣體排放密集度及能源使用密集度比較 註1：資料來源來自於台塑企業溫室氣體盤查電腦資料庫。 註2：溫室氣體盤查數據，2022 年及2023 年範疇一、範疇二包含台灣醋酸化學股份公司。 註3：溫室氣體排放密集度( 噸CO2e/ 億元)= 溫室氣體排放總量( 噸CO2e)/ 年度營業額( 億元)。 註4：能源使用密集度(GJ/ 元)= 能源使用總量(GJ)/ 年度營業額( 億元)。 註5：2024 年營業額、溫室氣體盤查數據及能源使用總量為母公司數據，2022 年及2023 年數據為母公司及台灣醋酸化學股 份有限公司( 台醋) 合併之數據。 近兩年度溫室氣體排放密集度及能源使用密集度比較，2024 年溫室氣體排放密集度為3,547.7 噸 CO2e/ 億元比2023 年減少202.8 噸CO2e/ 億元，減少5.4%；2024 年能源使用密集度36,976.85 GJ/ 億元比2023 年減少1,993 GJ/ 億元，減少5.1%，減少原因主要為2024 年扣除台醋公司數據所致。  產品碳足跡及環境評估查證作業 推動產品碳足跡委外第三方查證單位進行ISO 14067：2013 碳足跡查證；2018 年宜蘭龍德、嘉義 新港廠區完成6 項產品；2019 年雲林麥寮完成20 項產品。2020 年完成PC 及PP 兩項產品ISO  14025：2006 環境評估查證作業。"
台化,2024,碳排,full,Stage 2: Sparse Match,64,G1、G3、G4、G5,1027,[[p.64]]  2024 台灣化學纖維股份有限公司 63 2024 年執行四大改善策略，碳排減量合計360 千噸CO2e/ 年。 節能 改善 能源 轉型 其他 減碳 措施 循環 經濟 製程優化，提升能源使用效率，碳排減量227.4 千噸CO2e。 總投入金額逹13.1 億元，投資效益6.6 億元/ 年。 海洋廢棄物廢及廢塑膠回收再利用，碳排減量41.0 千噸CO2e。 增加使用再生能源，碳排減量81.8 千噸CO2e。 推行辦公室無紙化及使用綠色產品，碳排減量9.8 千噸CO2e。  台化公司氣候情境分析 治理 策略 風險管理 指標和目標 管理策與 行動方案  負責單位：    ESG 推動組織  組織運作方式 1. 董事會每季至少 召集一次會議， 每年至少討論一 次ESG 推動情況 2. 擴大再生能源發 電設備  收集氣候變遷影響 議題對財務、商 譽、全球能源供應 及經濟趨勢、法規 遵循等因素，評定 並擬定風險範疇， 訂定營運策略提報 董事會  依據RCP2.6、 RCP4.5、RCP6.0、 RCP8.5、INDC 擬 定短中長期策略作 為環境假設情境， 以降低溫室氣體 2° C 為目標 ISO 14001 環境審查 作業準則  持續依據ISO 14064-1 之規範進行溫室氣 體盤查及查驗， 2030 年再生能源 用電量占總用電量 5% 以上  導入SBTi 倡議原 則訂定目標 執行情況  每月召開節能減排 循環經濟檢討會議  每月召開ESG 檢討 會議  節能改善：進行製 程優化，提升能源 使用效率  能源轉型：推動減 煤及增加再生能源 使用  循環經濟：推動海 洋廢棄物廢及廢塑 膠回收再利用  推行辦公室無紙化 及使用綠色產品  進行氣候變遷與能 源風險和機會資訊 的收集、分析和彙 整，用以鑑別並評 估氣候變遷相關的 風險和機會  依據ISO 14001 的 評估程序，每年鑑 別環境風險與機 會，針對每項風險 情境擬定因應對策  導入SBTi倡議原則， 持續推動減碳計畫。 2027 年與2018 年比 較，達到減碳22.5% 之目標  以2020年為基準年， 2025 年碳排放量減 量10%；2030 年減 量25%；2050 年達 碳中和 相關連結 3.1.2 氣候變遷風險 對應策略 3.1.3 氣候變遷風險 與機會管理 3.1.3 氣候變遷風險 與機會管理 永續發展目標 3.1 氣候變遷減緩  與調適
台化,2024,碳排,full,Stage 4: Hybrid Consensus,75,G1、G2,180,"範疇一或二)、上游運輸和配送、營業廢 棄物產出、差旅、員工通勤、下游運輸和配送、售出產品加工、售出產品使用及售出產品終期處理。 註8：2022 年及2023 年範疇一、範疇二包含台灣醋酸化學股份公司，2024 年起改以母子公司各別揭露。另台灣醋酸化學股份有 限公司2024 年度溫室氣體排放量為範疇一14,925 噸CO2e，範疇二116,129 噸CO2e。"
台化,2024,碳排,full,Stage 3: Dense Match,74,G1、G2、G4,180,"4,362 358,497 1,600 225,795 277,395 註1：專案類別係以2024 年結案的案件。 註2：溫室氣體類型：盤查氣體包含二氧化碳、甲烷、氧化亞氮、氫氟碳化物、全氟碳化碳、六氟化硫、三氧化氮。 註3：統計方法: 以專案結案時，計算相關減碳成效。 註4：改善案含麥寮、彰化、新港、龍德及台灣醋酸化學股份有限公司。 單位：噸CO2e ／年"
