company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
台積電,2024,碳排,full,Stage 4: Hybrid Consensus,113,G1|G2|G3|G4|G5|G6,992,"推動低碳製造 台積公司每年藉由經第三方查證的溫室氣體盤 查結果檢視整體減碳成效，民國113 年溫室 氣體總排放量約2,100 萬公噸二氧化碳當量， 來自含氟溫室氣體與氧化亞氮等範疇一製程直 接排放占9%，電力使用造成的範疇二能源間 接排放占52%，為最大排放源；而以原物料 溫室氣體排放的淨零路程 民國年 110 111 113 112 範疇一（百萬噸CO2e） 範疇二（百萬噸CO2e） 範疇三（百萬噸CO2e） 碳抵減（百萬噸CO2e） 二氧化碳排放量 9.540 7.502 0.616 2.019 10.187 7.617 0.617 1.596 10.957 8.223 0.627 1.826 8.152 6.049 0.242 2.152 7.460 5.511 0.004 2.005 109 139 129 119 114 民國 139 年 淨零排放 民國 129 年 達成 RE100 民國 119 年 降回民國 109 年 排放量 並達成 RE60 民國 114 年 排放零增量 民國 109 年 加入 RE100 倡議 持續擴大先進製程產能建置  碳排放量增加 啟用製程溫室氣體替代方案與 外部碳權取得 主要生產基地的再生能源供給量預計逐漸提升，排放趨勢呈現下降 生產、能源上游相關活動與運輸為主的範疇三 價值鏈間接排放占39%。因應先進製程產能增 加，溫室氣體整體排放量較前一年上升8%， 單位產品排放量則較前一年增加19%，未達年 度目標，將持續強化各項節能減碳措施  導入與增加再生能源使用量 。 台積公司持續落實溫室氣體減量標竿作為， 民國113 年於製程端汰換與新設現址式處理 設備3,436 台，使用碳中和天然氣降低直接 排放39 萬公噸二氧化碳當量，同時新增9 座 符合綠建築 認證的廠房，民國113 年已累 積51 座廠房取得LEED 黃金級以上認證。針 對範疇三的減量作為，民國113 年台積公司 建立「績效追蹤、提供支持、提升動機、創 新合作」的T.S.M.C. 供應鏈減碳行動策略 ，以期實踐去碳化（Decarbonization），打 造半導體綠色產業鏈。 113 113 年度永續報告書 導言 實踐永續管理 營運與治理 追求創新的先行者 負責任的採購者 綠色力量的執行者 員工引以為傲的公司 改變社會的力量 附錄"
台積電,2024,碳排,full,Stage 4: Hybrid Consensus,114,G1|G2|G3|G4|G5,1030,"溫室氣體減量標竿作為 範疇一 溫室氣體直接排放 範疇二 溫室氣體間接排放（輸入能源部分） 範疇三 溫室氣體間接排放（價值鏈部分） 製程用含氟溫室氣體與氧化亞氮  新設含氟溫室氣體與氧化亞氮製程全面安裝削減技術機台 3,436 台  既有含氟溫室氣體製程安裝／汰換削減技術機台44 台， 含氟溫室氣體削減率96% 96%  台灣廠區使用天然氣碳排放為零，減碳39 萬公噸 39 萬公噸  製程氣體使用量最佳化  低全球暖化潛勢氣體替代計畫  安裝製程尾氣處理設備  使用碳中和天然氣 電力使用  綠建築驗證面積全球半導體第一，新增9 座建物取得認 證，累計取得51 座美國LEED 及31 座台灣EEWH 認證 1  先進技術製程能源使用效率優於技術相仿同業 註1，執行 1,177 項節能措施，有效節電8.1 億度，約當減碳近40 萬公噸 1,177 項  全球唯一半導體新世代製造機台節能專案，累計完成236 項節能方案，累計節電10 億度 1  全球使用約36.1 億度再生能源，占比達14.1% 36.1 億度  興建綠建築廠房  提升能源使用效率  使用再生能源  新世代製程設備導入節能減碳設計 原物料生產、能源上游相關活動與運輸  高用電供應商 註2 須通過溫室氣體盤查與第三方驗證，驗證 率達91% 90%  輔導供應商設定節能目標並展開行動，新增年節電量達 2.17 億度，約當減碳10 萬7,000 公噸 10.7 萬公噸  邀請原物料及設備關鍵供應商 註3 揭露減碳目標及進程，回 覆率達100% 100%  改善機台交期排程，以海運取代空運，降低運輸的溫室氣 體排放約1 萬4,000 公噸 1.4 萬公噸  提供新台幣8,400 萬元補助金，支持供應商汰換或新設設 備，共26 家通過評選，減碳45 萬公噸 45 萬公噸  要求供應商通過外部驗證  原物料碳足跡減量  參與CDP 供應鏈專案  運輸排程優化  減碳補助專案 註1：資料參考世界半導體協會聯合指導委員會（JSTC）會議報告 註2：高用電供應商定義：位於台灣的供應商，單一廠區用電>500 萬kWh ／年 註3：原物料及設備關鍵供應商定義：符合原物料及設備類別採購支出占比達前75% 的供應商 114 113 年度永續報告書 導言 實踐永續管理 營運與治理 追求創新的先行者 負責任的採購者 綠色力量的執行者 員工引以為傲的公司 改變社會的力量 附錄"
台積電,2024,碳排,full,Stage 4: Hybrid Consensus,104,G1|G2|G3|G4|G5|G6,1109,"提供資源與客製化輔導 為協助供應商加速低碳轉型，台積公司整合 內外部資源提供客製化輔導。民國113 年續 推1+N 碳管理模式 ，累積輔導14 家供應 商進行工廠溫室氣體盤查、產品碳足跡計算 及節能機會點診斷，並首次延伸受輔導對象 至第二階以上供應商。同時，此專案亦辦理 12 堂課程的碳管理培力課程，提供循環經 濟、能源趨勢、減碳策略規畫、能源管理等 講習內容，共計48 家供應商261 人次參與， 供應商累計節電量 民國年 111 5.3 112 8.1 113 10.3 114 11.5 119 15 供應商累計節水量 民國年 111 2,908 112 4,258 113 5,486 114 6,500 119 15,000 單位：萬公噸 單位：億度電 供應商廢棄物平均回收率 民國年 113 80 114 81 115 82 116 83 117 84 118 85 119 86 單位：% 供應商ISO 14064 認證比例 民國年 112 84 111 65 113 90 114 92 119 100 單位：% 其中第二階供應商共計7 家，落實1+N 到 N+N 的供應鏈碳管理。 民國113 年，共計辦理6 場次CDP 基礎及 進階線上課程，協助供應商提高問卷回覆品 質，總計349 人次參與訓練；與外部顧問合 作辦理1 場次全日實體課程，深度解析「風 險與機會揭露、治理、商業策略、環境績 效－氣候變遷」等重點題組，培訓95 名台 灣在地供應商人員；辦理1 場次供應商ISO  14064-1 溫室氣體盤查內部查證員課程，40 名供應商學員全數取得培訓證書。 台積公司積極擴大範疇三盤查範圍、提高數據 品質，並協助供應商管理其供應鏈碳排，民國 113 年邀請41 家供應商參加溫室氣體議定書 （GHG protocol）範疇三盤查訓練、辦理上 游原物料供應鏈碳排管理工作坊，分享台積公 司供應鏈碳管理及議合經驗，示範關鍵排放源 辨別與減碳量計算。透過輔導供應商持續提 升綠色績效，民國113 年供應商總節電量新 增2.17 億度、累計10.26 億度；高用電供應 商通過溫室氣體盤查ISO14064 認證比例由 民國112 年84% 成長至民國113 年90%。 此外，亦攜手供應商強化水與廢棄物管理， 當年度供應商節水量新增1,228萬立方公尺、 累計5,486 萬立方公尺；供應商平均廢棄物 回收率達為80%。 104 113 年度永續報告書 導言 實踐永續管理 營運與治理 追求創新的先行者 負責任的採購者 綠色力量的執行者 員工引以為傲的公司 改變社會的力量 附錄"
台積電,2024,碳排,full,Stage 4: Hybrid Consensus,266,G1|G2|G3|G4|G5,1309,"議題 主要指標  民國111 年 民國112 年 民國113 年 永續供應鏈管理 當年度受邀參與CDP 之供應商平均成績／回覆率（%） C ／81% B －／98% B －／100% 高用電供應商取得ISO14064 溫室氣體排放查證證書的完成率（％）（民國110 年為基準年） 65% 84% 90% 輔導供應商的累計節電量（億度）（民國107 年為基準年） 5.3 8.1 10.26 輔導供應商的累計節水量（萬立方公尺）（民國109 年為基準年） 29,080,000 42,580,000  54,860,000  主要產廢之在地供應商廢棄物產出量減少比例（％）（民國103 年為基準年） 34% 39% 42% 輔導供應商的平均廢棄物回收率（％） - - 80% 綠色力量的執行者 氣候與能源 溫室氣體排放（公噸－二氧化碳當量）（ 包括範疇一與範疇二市場係數法） 11,558,554 11,783,418 12,783,269 範疇一（公噸－二氧化碳當量） 註4 2,018,789 1,596,031 1,825,872 台灣廠區／子公司 註5 1,669,770 ／349,019 1,307,966 ／288,065 1,581,312 ／244,560 範疇二（公噸－二氧化碳當量）（市場係數法） 9,539,765 10,187,387 10,957,397 台灣廠區／子公司 註5 9,510,082 ／29,683 10,150,252 ／37,135 10,926,644 ／30,753 範疇二（公噸－二氧化碳當量）（區域係數法） 10,887,145 11,466,118 12,674,921  範疇三（公噸－二氧化碳當量） 註6 7,429,158 7,616,655 8,223,173 碳抵減（公噸－二氧化碳當量） 616,271 616,880 626,516 含氟溫室氣體（公噸－二氧化碳當量） 1,102,353 959,642 1,097,070 單位產品溫室氣體排放量（公噸－二氧化碳當量／十二吋晶圓當量－光罩數）較基準年減少比例（%） 6% -31% -19% 能源使用（百萬度）（包括電力、天然氣與柴油） 22,423 24,775 27,477  （接下頁）  （接上頁） 註4： 為維持民國110 年後續溫室氣體盤查與減量目標數據一致性，範疇一盤查數據自民國110 年起，改採用聯合國溫室氣體盤查指引（2019 版），並同步將基準年由民國99 年調整至民國109 年 註5：環境面數據的子公司範疇涵蓋台積電（中國）、台積電（南京）、TSMC Washington, LLC、TSMC Arizona、JASM、TSMC Japan 3DIC R&D Center、采鈺公司 註6：範疇涵蓋台灣廠區、台積電（中國）、台積電（南京）、TSMC Washington, LLC、采鈺公司 266 113 年度永續報告書 導言 實踐永續管理 營運與治理 追求創新的先行者 負責任的採購者 綠色力量的執行者 員工引以為傲的公司 改變社會的力量 附錄"
台積電,2024,碳排,full,Stage 4: Hybrid Consensus,119,G2,180,"測中心 電力使用排放 二氧化碳 86％ 含氟溫室氣體 8.6％ 甲烷 + 二氧化碳 3.4％ 氧化亞氮 2.2％ 範疇一 1,825,872   （14%） 範疇二 10,957,397  （86%）  119 113 年度永續報告書 導言 實踐永續管理 營運與治理 追求創新的先行者 負責任的採購者 綠色力量的執行者 員工引以為傲的公司 改變社會的力量 附錄"
台積電,2024,碳排,full,Stage 4: Hybrid Consensus,119,G1|G2|G3|G4|G5,1370,"此外，為提升員工對能源管理的意識，民國 113 年於新竹、台中、台南廠區辦理3 場 節能減碳工作坊，主題包含節能減碳技術、 國際碳費議題、減碳路徑及政策等，共吸引 837 人次參與；同時，製作18 篇能源轉型及 淨零排放系列宣傳海報，讓員工瞭解台積公 司在節能減碳方面的努力與行動，體現對環 境永續發展的承諾。 能源總消耗量 非再生能源電力 天然氣 再生能源電力 柴油 111 21.9 13.1 0.3 188.9 112 25.9 15.4 0.01 206.3 單位：億度 110 16.7 10.9 0.3 164.1 109 12.31 8.55 0.06 148.28 民國年 113 36.1 19.0 0.2 219.4 79.87% 6.92% 13.15% 0.06% 註1：數據範疇涵蓋台灣廠區（含研發中心）、台積電（中國）、台 積電（南京）、TSMC Washington, LLC、JASM、采鈺公司 註2：柴油及天然氣並非用於產品生產，不列入計算 單位產品用電量 單位產品用電量 109 110 111 112 113 民國年 單位：度／十二吋晶圓當量－光罩數 26.7 25.9 27.7 40.5 37.1 製造端溫室氣體排放分布 註1： （進口）液化天然氣為 9,000 千卡／立方公尺；車用柴油 = 8,642 千卡／公升；1 千卡（Kcal）=4,186.8 焦耳（J）；1 度（kwh） = 860 千卡≒3,600 千焦耳 註2：製造端溫室氣體排放僅包含製程直接排放（範疇一）與電力使用造成的間接排放（範疇二）；範疇一與範疇二的溫室氣體排放數據涵蓋範疇為台灣廠區（含研發中心及零廢製造中心）、台積電（中國）、 台積電（南京）、TSMC Washington, LLC、JASM、TSMC Japan 3DIC R&D Center、美國／歐洲／加拿大／日本及南韓的子公司或辦事處、采鈺公司 註3：範疇一盤查數據採營運控制法做為盤查基礎；民國109 年至民國113 年使用《聯合國溫室氣體盤查指引2019 更新版》及IPCC 第五次評估報告的全球暖化潛勢100 年（GWP100） 註4：再生能源類別包含太陽能、風能、生質能、水力 綠色製造五大中心 制訂綠色製造方向與目標， 並與政府及學術界合作，進 行永續科技研發與驗證，建 立相關方法學並推動其應用 永續科技研發  中心 將廢棄資源回收再生成電子 級原料及工業級產品，落實 資源循環零廢棄 零廢中心 與供應商合作開發導入創新 節能技術，推行節能減碳措 施 節能減碳中心 制 訂Water Positive  策略，開發多元水資源與導 入水管理新技術，並推廣環 境教育課程 水資源中心 執行空氣排放、水管理、溫 室氣體及廢棄物再生品質自 檢，建構全面防護體系 環境檢測中心 電力使用排放 二氧化碳 86％ 含氟溫室氣體 8.6％ 甲烷 + 二氧化碳 3.4％ 氧化亞氮 2.2％ 範疇一 1,825,872   （14%） 範疇二 10,957,397  （86%）  119 113 年度永續報告書 導言 實踐永續管理 營運與治理 追求創新的先行者 負責任的採購者 綠色力量的執行者 員工引以為傲的公司 改變社會的力量 附錄"
台積電,2024,碳排,full,Stage 2: Sparse Match,115,G1|G2|G3|G4,1402,"範疇一溫室氣體排放量 台灣廠區（公噸） 子公司（公噸） 排放強度（公噸－二氧化碳當量／十二吋晶圓當量－光罩數） 民國年 109 294,164 1,710,677  110 343,510 1,808,427 111 349,019 1,669,770 112 288,065 1,307,966 113 244,560 1,581,312 0.0033 0.0031 0.0026 0.0029 0.0027 排放強度（公噸－二氧化碳當量／十二吋晶圓當量－光罩數） 範疇二溫室氣體排放量 台灣廠區（公噸） 子公司（公噸） 民國年 110 36,057 8,116,440 111 29,683 9,510,082 112 37,135 10,150,252 109 29,905 7,429,951 113 30,753 10,926,644 0.0124 0.0117 0.0122 0.0178 0.0161 註1：範疇一與範疇二的溫室氣體排放數據範疇涵蓋台積公司母公司及子公司 註2：範疇一盤查數據採營運控制法做為盤查基礎；民國109 年至民國113 年使用《聯合國溫室氣體盤查指引2019 更新版》及IPCC 第 五次評估報告的全球暖化潛勢100 年（GWP100） 註3：範疇三的溫室氣體排放數據範疇涵蓋台灣廠區（含研發中心及零廢製造中心）、台積電（中國）、台積電（南京）、TSMC  Washington, LLC、JASM、TSMC Japan 3DIC R&D Center 及采鈺公司 註4：電力排碳係數部分，台灣廠區（含研發中心）及采鈺公司採經濟部民國112 年公告0.494 公斤二氧化碳當量／度；台積電（中國） 採民國111 年上海市電網平均排放因子0.5849 公斤二氧化碳當量／度；台積電（南京）採中國全國電力平均排放因子0.5366 公斤 二氧化碳當量／度；TSMC Washington, LLC 採美國西部及西北區電網平均排放係數 0.288 公斤二氧化碳當量／度；JASM 及TSMC  Japan 3DIC R&D Center 採東京電力排放係數0.408 公斤二氧化碳當量／度 範疇三溫室氣體排放量 購買產品及服務 下游（產品）運輸及分配 燃料與能源相關活動（非範 疇一/ 二部分） 員工通勤 營運產生的廢棄物處理 商務旅行 下游租賃資產 上游（原物料）運輸及分配 民國年 單位：公噸 1,715,328 70,230  3,914  741 33,526  1,406  5,604,013 2,458,773 58,775  1,427  1,211  40,017  3,302 5,656,384  113 1,637,711 53,178 2,119 1,064 28,916 383 3,788,115 1,549,426 70,073 3,117 647 29,907  208 4,395,879 2,580,876 66,163  1,854  716 37,256 2,352  4,924,510 109 110 111 112 3,284   2,928  115 113 年度永續報告書 導言 實踐永續管理 營運與治理 追求創新的先行者 負責任的採購者 綠色力量的執行者 員工引以為傲的公司 改變社會的力量 附錄"
台積電,2024,碳排,full,Stage 4: Hybrid Consensus,87,G1|G2|G3|G4|G5|G6,1424,"民國119 年目標 民國114 年目標 民國113 年成果 策略 推動綠色低碳供應鏈 持續降低環境衝擊及其外 部成本，減緩氣候變遷、 資源耗竭所造成的影響， 領導供應商訂立節電、節 水、減廢與減碳目標，提 升供應鏈永續發展  供應商 註9 碳排放量減少30%（相較不採取行動 的情況（BAU）） 供應商碳排放量減少8% 供應商碳排放量減少4% 目標：目標減少4%  當年度受邀參與CDP 供應商平均成績達B 級且 回覆率達95% 當年度受邀參與CDP 供應商平均成績為B- 級且 回覆率達100% 當年度受邀參與CDP 供應商 註10 平均成績為B- 級且回覆率達100% 目標：平均成績為B- 級且回覆率達98%  高用電供應商 註11 取得ISO 14064 溫室氣體排 放查證證書，完成率100%（民國110 年為基 準年） 高用電供應商取得ISO 14064 溫室氣體排放查證 證書，完成率92% 高用電供應商取得ISO 14064 溫室氣體排放查證證書，完成率 90%  目標：88%  輔導供應商 註5 行節電行動，累計節電量達15 億 度 （民國107 年為基準年） 供應商累計節電量達11.5 億度 供應商累計節電量達10.26 億度 目標：9.0 億  輔導供應商 註5 進行節水行動，累計節水量達 15,000 萬立方公尺（民國109 年為基準年） 供應商累計節水量達6,500 萬立方公尺 供應商累計節水量5,486 萬立方公尺  目標：5,000 萬立方公尺  主要產廢之在地供應商廢棄物產出量 註12 減少 42%（民國103 年為基準年） - 主要產廢之在地供應商廢棄物產出量減少42% 目標：40%  輔導供應商 註5 進行減廢行動，平均廢棄物回收 率86% 註13 NEW 平均廢棄物回收率81% NEW 平均廢棄物回收率80% NEW -  要求第一階供應商 註1 訂定受管制物料 註14 逐步淘汰 計畫，完成率達100% NEW 第一階供應商訂定受管制物料逐步淘汰計畫完成率 達73% NEW - -  超越        達成        未達成  適用全球廠區        適用台灣與其他特定廠區        僅適用台灣廠區       適用海外廠區 註9： 此處供應商為原物料供應商，包含矽晶圓、大宗氣體、大宗化學品及其他化學品供應商 註10： 民國113 年受邀參與CDP 供應商：符合占比前75% 採購類別及支出之原物料及設備供應商，共135 家 註11： 高用電供應商定義：位於台灣的供應商，單一廠區用電>500 萬kWh ／年 註12： 以位於台灣、原物料廢棄物產出量前80% 的供應商為主要執行範圍，其計算公式為A ／（A+B）（%），當月工廠廢棄物消除量為A（公噸），當月工廠廢棄物總產出量為B（公噸）。因應新增「輔導供應商進行減廢行動，平均廢棄物回收率」 的目標，此目標將於下一年度與其合併 註13： 為完整呈現供應商減廢成果，自民國114 年起將調查對象由主要產廢之在地供應商擴大為位於台灣的供應商，並定期追蹤其平均廢棄物回收率 註14： 受管制物料包含全氟辛烷磺酸（PFOS）、全氟辛酸（PFOA）與NMP 87 113 年度永續報告書 導言 實踐永續管理 營運與治理 追求創新的先行者 負責任的採購者 綠色力量的執行者 員工引以為傲的公司 改變社會的力量 附錄"
台積電,2024,碳排,full,Stage 4: Hybrid Consensus,103,G1|G2|G3|G4|G5|G6,1528,"推動綠色低碳供應鏈 隨著全球布局，低碳供應鏈在台積公司淨零 藍圖中的角色日益關鍵，民國113 年將涵蓋 「完善供應鏈碳資訊、低碳方案最佳化、與 供應商合作、推動低碳生態系統、建立內部 減碳制度」五大面向的供應鏈碳管理更新為 「T.S.M.C. 供應鏈減碳行動策略」，以「績 效追蹤、提供支持、提升動機、創新合作」 四大具體做法為藍圖，協助供應商逐步完成 減碳目標。 績效追蹤與提高透明度 民國113 年，台積公司邀請前75% 採購 支出的原物料及設備供應商透過CDP 揭露 碳管理進度，共計135 家供應商受邀並達 100% 回覆率（民國112 年為98%），且 平均成績達B-（民國112 年為B-）。根據 問卷分析結果，92% 供應商已設定減排目 標（民國112 年為71%）；72% 供應商提 供範疇三中排放量占比最高的「購買商品及 服務碳排數據」（民國112 年為60%）； 37 家供應商已通過SBT（民國112 年為20 家），並有17 家供應商加入RE100（民國 112 年為16 家），合計占台積公司總採購 金額達54 %。 台積公司建立供應商環境資訊數位平台收集 供應商工廠及產品環境資訊，提高原物料數 據品質，民國112 年至民國113 年，累積完 成477 間工廠及245 項產品調查，相關數據 做為台積公司產品環境足跡計算、環境損益 分析使用。民國113 年為強化關鍵排放源供 應商減排進度管理，開發台積公司供應商碳 管理工具 （TSMC Supplier Emission  Management Tool）予供應商使用，透過公 開碳排放計算流程及標準化工具，提供供應 商減排策略規畫參考。 為確保關鍵排放源供應商減碳方案 按規畫 執行，民國113 年首次辦理「供應商減碳計 畫健檢專案」，完成27 家關鍵排放源供應 商現場輔導訪視，特別針對其減排進度、減 碳量計算及碳排放數據品質進行確認，同時 偕同外部顧問鑑別節能減碳機會點、分享上 游供應鏈管理經驗及綠能採購趨勢等，台積 公司每年與關鍵排放源供應商共同提出減碳 方案，民國112 年與民國113 年分別提出 90、110 萬噸的減碳方案，目前已實現年減 碳量達23 萬噸。 T.S.M.C. 供應鏈減碳行動策略 追蹤供應商碳排放數據與減排績效，並 偕同供應商持續提升碳排放數據品質及 透明度  135 家透過CDP 揭露碳管理進程  477 間工廠以供應商環境資訊數位 平台 彙整供應商工廠資訊   1 首次開發碳管理工具統一計算流 程，標準化碳排分配規則  23 萬噸供應商碳管理健檢專案年 減碳量減排計畫  績效追蹤 Tracking 提升供應商減碳動機，並擴大影響範圍  8,400 萬元（新台幣）補助供應 鏈減碳，可帶來年減碳45 萬噸  1 首推關鍵排放源供應商簽署溫室 氣體減排協議，承諾減碳目標  1 推動供應商減碳績效評比，並透 過匿名評比報告激勵供應商 提升動機 Motivation T M S C 提供供應商碳管理資源與客製化輔導， 協助建構碳管理能力  14 家供應商完成組織碳盤查、碳足 跡查證或節能診斷  12 堂碳管理培力課程，並首次邀請 第二階供應商參與培訓  6 場次CDP 基礎及進階線上課程， 總計349 人次參與訓練  2.17 億度供應商新增節電量 提供支持 Support 攜手供應商共同創新，推動具成本效益 的減排計畫 創新合作 Creativity  2.8 億度再生能源聯合採購專案綠電  39 萬噸氮氣減量，提升大宗原物 料使用效率  1 成功與供應商合作開發顯影廢液 與銅錳合金靶材回收再利用技術"
台積電,2024,碳排,full,Stage 2: Sparse Match,260,G1|G2|G3|G4,1042,"年度 範圍 範疇一 範疇二 確信機構 確信情形說明 總排放量  （公噸二氧化碳當量） 密集度  （公噸二氧化碳當量／千元） 總排放量  （公噸二氧化碳當量） 密集度  （公噸二氧化碳當量／千元） 113 母公司 1,581,312 0.0006 10,926,644 0.0038 DNV 合理保證等級 采鈺科技股份有限公司 5,043 0.0005 30,753 0.0031 DNV 合理保證等級 台積電（中國）有限公司 118,141 0.0046 0 0 DNV 合理保證等級 台積電（南京）有限公司 53,216 0.0008 0 0 DNV 合理保證等級 TSMC Washington, LLC 53,723 0.0090 0 0 AWN 合理保證等級 JASM 14,241 0.1314 0 0 DNV 合理保證等級 TSMC Japan 3DIC R&D Center 196 0.0002 0 0 DNV 合理保證等級 112 母公司 1,307,966 0.0006 10,150,252 0.0047 DNV 合理保證等級 采鈺科技股份有限公司 4,399 0.0006 37,135 0.0051 DNV 合理保證等級 台積電（中國）有限公司 161,698 0.0063 0 0 DNV 合理保證等級 台積電（南京）有限公司 45,118 0.0007 0 0 DNV 合理保證等級 TSMC Washington, LLC 76,851 0.0093 0 0 AWN 有限保證等級 註1：溫室氣體種類包含二氧化碳（CO2）、甲烷（CH4）、氧化亞氮（N2O）、氫氟碳化物（HFCs）、全氟化物（PFCs）、六氟化硫（SF6）及三氟化氮（NF3） 註2：範疇一（直接排放量）即直接來自公司所擁有或控制的排放源，主要依據《聯合國溫室氣體盤查指引2019 更新版》，並使用聯合國政府間氣候變化專門委員會第5 次評估報告中的溫暖潛勢值進行計算；範疇二（能源間接排放量）即來自外購電力、熱或蒸氣而造成間接的溫室 氣體排放 註3：民國113 年排放邊界新增晶圓二十廠第一期廠區、先進封測六廠第2 期廠區、台中零廢製造中心、JASM、TSMC Japan 3DIC R&D Center 260 113 年度永續報告書 導言 實踐永續管理 營運與治理 追求創新的先行者 負責任的採購者 綠色力量的執行者 員工引以為傲的公司 改變社會的力量 附錄"
