company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
兆豐,2024,碳排,full,Stage 1: Entity Match,161,G3,1402,[[p.161]]  揭露項目 對應章節 頁碼 GRI 305 排放 (2016) 305-1 直接（範疇一）溫室氣體排放 4.3 綠色營運 9.1 永續數據 71 150 305-2 能源間接（範疇二）溫室氣體排放 305-3 其它間接（範疇三）溫室氣體排放 305-5 溫室氣體排放減量 普惠金融 GRI 203 間接經濟衝擊 (2016) 203-2 顯著的間接經濟衝擊 4.1 氣候行動  5.1 永續金融 5.2 普惠金融 54 78 93 社會承諾 GRI 203 間接經濟衝擊 (2016) 203-2 顯著的間接經濟衝擊 4.1 氣候行動  5.1 永續金融 5.2 普惠金融 54 78 93 GRI 413 當地社區 (2016) 413-2 對當地社區具有顯著實際或潛在負面衝擊 的營運活動 8.2 社會承諾 143 一般主題 揭露項目 對應章節 頁碼 GRI 101 生物多樣性 (2024) 101-1 停止和扭轉生物多樣性喪失之政策 4.2 自然生態 63 101-2 生物多樣性衝擊之管理 4.3 綠色營運 4.4 永續採購 5.1 永續金融 71 74 78 101-3 獲取與惠益分享 5.1 永續金融 8.2 社會承諾  78 143 101-4 生物多樣性衝擊之鑑別 4.2 自然生態 (2024 年自然相關評估及分析詳細資訊請 見2024 氣候暨自然報告書) 63 101-5 具有生物多樣性衝擊的地點 101-8 生態系統服務 揭露項目 對應章節 頁碼 GRI 201 經濟績效 (2016) 201-1 組織所產生及分配的直接經濟價值 1.2 經濟績效 11 201-2 氣候變遷所產生的財務影響及其它風險與 機會 4.1 氣候行動 54 201-3 定義福利計劃義務與其它退休計畫 7.3 幸福職場 （2024 年福利計畫詳細資訊 請見2024 年第四季合併財報） 125 GRI 203 間接經濟衝擊 (2016) 203-2 顯著的間接經濟衝擊 4.1 氣候行動  5.1 永續金融 5.2 普惠金融 54 78 93 GRI 205 反貪腐 (2016) 205-2 有關反貪腐政策和程序的溝通及訓練 3.2 誠信經營 37 205-3 已確認的貪腐事件及採取的行動 GRI 206 反競爭行為 (2016) 206-1 反競爭行為、反托拉斯和壟斷行為的法律 行動 本年度無此事件 GRI 207 稅務 (2019) 207-1 稅務方針 3.6 稅務政策 49 207-2 稅務治理、管控與風險管理 207-3 稅務相關議題之利害關係人溝通與管理 207-4 國別報告 GRI 302 能源 (2016) 302-1 組織內部的能源消耗量 4.3 綠色營運 9.1 永續數據 71 150 GRI 303 水與放流水 (2018) 303-3 取水量 9.1 永續數據 150 GRI 305 排放 (2016) 305-1 直接（範疇一）溫室氣體排放 4.3 綠色營運 9.1 永續數據 71 150 305-2 能源間接（範疇二）溫室氣體排放 305-3 其它間接（範疇三）溫室氣體排放 305-5 溫室氣體排放減量 2 0 2 4  兆豐金控永續報告書 159 關於本報告書 董事長的話 獎項肯定與榮譽 1 關於兆豐 2 永續策略 3 公司治理
兆豐,2024,碳排,full,Stage 1: Entity Match,161,G3,180,5 排放 (2016) 305-1 直接（範疇一）溫室氣體排放 4.3 綠色營運 9.1 永續數據 71 150 305-2 能源間接（範疇二）溫室氣體排放 305-3 其它間接（範疇三）溫室氣體排放 305-5 溫室氣體排放減量 2 0 2 4  兆豐金控永續報告書 159 關於本報告書 董事長的話 獎項肯定與榮譽 1 關於兆豐 2 永續策略 3 公司治理
兆豐,2024,碳排,full,Stage 4: Hybrid Consensus,153,G1、G4、G6,1201,"[[p.153]]  ▌2024 年國內外營運據點溫室氣體總排放量及密集度 單位：公噸CO2e 項目 國內營運據點 兆豐銀行海外據點 全集團所有據點 註  1：2024 年國內營運據點外部查證單位為DNV 立恩威國際 驗證公司；2024 年兆豐銀行海外據點外部查證單位為 ARES 亞瑞仕國際驗證公司。 註  2：考量金融業產業特性，排放密集度分母以集團整體淨收 益計算。 註  3：集團全球據點數為234 處，標示* 為扣除同址據點之實 際盤查據點數。 盤查據點數（扣除同址據點） 192 39 231* 通過第三方查證覆蓋率(%) 100% 100% 100% 直接溫室氣體排放量（範疇一） 2,401.68 237.18 2,638.86 範疇一排放密集度( 公噸CO2e/ 千元淨收益) 0.00002877 0.00000284  0.00003161  能源間接溫室氣體排放量（範疇二） 13,127.46  1,801.26 14,928.72  範疇二排放密集度( 公噸CO2e/ 千元淨收益) 0.00015724 0.00002158  0.00017882  ▌近四年減排行動 活動類型 年度 預估減碳績效 （公噸CO2e） 較前一年度變化  (%) 投入成本 （新臺幣元） 減排行動說明 使用低碳能源 2021 190.76 (380 張T-RECs) 6.47% 700,457 2022 年向國立澎湖科技大學購買298 張再生能源憑證；2023 及2024 年向大同智能採購綠電，發電類型 皆為太陽能。 2022 151.68 (298 張T-RECs) -20.49% 655,898 2023 1,061.78 600.01% 11,658,254 2024  4,634.21  336.46%  52,719,820 減少範疇一排放： 減少汽油消耗 2021 18.14 -1.80% 21,558,000 油料消耗主要來自使用公務車，以下為執行方案：  ― 透過啟動視訊系統代替出差，必要的差旅活動則鼓勵搭乘大眾運輸工具，避免開車以減少汽油的使用。  ― 公務車租賃採用取得環保標章車輛、油電車及電動機車，提高燃油效率值。  ― 2024 年購置油電混合車之數量達當年度採購公務車總數80%，並規劃至2026 年達當年度採購公務車總數100%。 2022 60.81 235.24% 29,210,984 2023 195.29 221.14% 41,166,400 2024 71.13 -63.58% 46,591,600 減少範疇二排放： 減少電力消耗 2021 250.11 -1.42% 17,485,000 電力消耗主要來自辦公設備，透過主要耗用電力設備之管理，控管空調、電梯、照明設備及辦公室電腦與事 務機之使用，有效降低用電量，執行方案如下："
兆豐,2024,碳排,full,Stage 4: Hybrid Consensus,152,G1,1822,"3：耗能計算係數( 熱值) 以經濟部能源署公布之「能源產品單位熱值表(2018 年版)」為基準，車用汽油7,800 仟卡/ 公升、天然氣8,000 仟卡/ 立方公尺、柴油8,400 仟卡/ 公升、液化石油氣6,635 仟卡/ 公升；每仟 卡以4.186 焦耳計算。 註  4：本集團無自產或出售能源，故電力、供熱、製冷及蒸汽出售數值為0。 單位：公噸CO2e  ▌近四年國內據點溫室氣體(GHG) 排放量( 通過第三方查驗證) 項目/ 年度 2021 年 2022 年 2023 年 2024 年 直接溫室氣體排放量（範疇一） 3,011.15 2,333.18 1,940.07 2,401.68 直接溫室氣體排放量（範疇一） 屬自有公務車 998.56 917.73 726.53 660.18 能源間接溫室氣體排放量 （範疇二） 17,178.03 17,851.20 16,948.54 13,127.46 範疇一+ 二排放總量 20,189.18 20,184.38 18,888.61 15,529.14 範疇一+ 二排放密集度 ( 公噸CO2e/ 千元淨收益) 0.00034 0.00036 0.00024 0.00019 其他間接溫室氣體排放量 （範疇三） 415,840.08 992,666.95 8,947,787.52 9,052,152.01 其他間接溫室氣體排放量 （範疇三）商務差旅 141.72 115.96 290.24 427.44 其他間接溫室氣體排放量 （範疇三）投融資 412,222.75 989,175.34 8,943,847.17 9,006,084.67 國內通過第三方查證據點數 192 192  192 192 國內據點通過 第三方查證覆蓋率(%) 100% 100% 100% 100% 註  1：兆豐集團2021 年取得再生能源憑證(T-RECs) 共380 張，國內據點以地點基礎制(Location Base) 衡 量之排放總量為20,379.94 公噸CO2e；以市場基礎制(Market Base) 衡量範疇一+ 二之排放總量為 20,189.18 公噸CO2e。 註  2：兆豐集團2022 年取得再生能源憑證(T-RECs) 共298 張，以地點基礎制(Location Base) 衡量之排放總 量為20,336.06 公噸CO2e；以市場基礎制(Market Base) 衡量範疇一+ 二之排放總量為20,184.38 公 噸CO2e。 註  3：兆豐集團2023 年於國家再生能源憑證中心登錄及宣告憑證共2,145 張(7,722 GJ)，以市場基礎制(Market  Base) 衡量範疇一+ 二之排放總量為18,888.61 公噸CO2e。 註  4：兆豐集團2024 年於國家再生能源憑證中心登錄及宣告憑證共9,381 張(33,772 GJ)，以市場基礎制(Market  Base) 衡量範疇一+ 二之排放總量為15,529.14 公噸CO2e。全球暖化潛勢(Global warming potential,  GWP) 採用IPCC 2021 年第六次評估報告之各種溫室氣體全球暖化潛勢值。 註  5：兆豐集團2020 年範疇三盤查範圍涵蓋兆豐金控及所有子公司國內所有營運據點，排放類別為其他間接溫 室氣體排放之「商務差旅」及「投資」；2021 年範疇三盤查範圍與前一年度相同，排放類別新增「外購電力上 游」；2022 年範疇三盤查範圍與前一年度相同，惟「投資」類別擴大包括「股權投資」及「企業融資」；2023 年盤查範圍與前一年度相同，排放類別新增「營運中產生的廢棄物」，「投資」類別擴大包括「公司債」、「不 動產投資信託(REITs)」、「主權債」、「商用不動產貸款」、「不動產擔保貸款」、「專案融資」、「交通工具貸款」。； 2024 年盤查範圍及排放類別與前一年度相同。 註  6：2019 年、2021 年及2022 年外部查證單位為SGS 臺灣檢驗科技公司；2020 年為BSI 英國標準協會臺灣 分公司；2023 年及2024 年為DNV 立恩威國際驗證公司。 註  7：計算之溫室氣體種類為CO2、CH4、N2O 及HFCs。 附錄 150 4 環境永續 5 永續金融 6 客戶承諾 7 員工關懷 8 社會共榮 9 附錄"
兆豐,2024,碳排,full,Stage 4: Hybrid Consensus,153,G6,611,"984 2023 195.29 221.14% 41,166,400 2024 71.13 -63.58% 46,591,600 減少範疇二排放： 減少電力消耗 2021 250.11 -1.42% 17,485,000 電力消耗主要來自辦公設備，透過主要耗用電力設備之管理，控管空調、電梯、照明設備及辦公室電腦與事 務機之使用，有效降低用電量，執行方案如下：  ― 汰換空調主機設備，兆金大樓、兆衡大樓、銀行及證券分支機構汰換空調主機設備及冰水主機。  ― 樓梯間引入自然採光並減少照明燈具，於出入較少處安裝紅外線感應裝置自動起閉照明。  ― 配合台電用電戶供電節能計畫，控制電能使用。  ― 透過減碳宣導及教育，張貼節能標語推廣空調、電梯、電腦、飲水機節電。  ― 銀行子公司辦理內部節能競賽，以引導各單位落實節能減碳。 2022 746.91 198.63% 40,059,928 2023 856.12 14.62% 26,247,200 2024 3,837.23 348.21% 26,428,445 註  1：範疇一預估減碳績效係以環境部公告之「溫室氣體排放係數管理表6.0.4」計算。 註  2：範疇二預估減碳績效係以經濟部能源署公告之「歷年公用售電業電力排碳係數」計算。 2 0 2 4  兆豐金控永續報告書 151 關於本報告書 董事長的話 獎項肯定與榮譽 1 關於兆豐 2 永續策略 3 公司治理"
兆豐,2024,碳排,full,Stage 4: Hybrid Consensus,74,G2、G3、G4、G5、G6,1250,"[[p.74]]  4.3.2 能源及溫室氣體管理 溫室氣體減量目標 兆豐集團為因應氣候變遷議題，支持我國能源轉型政策– 發展「減煤、增氣、展綠、非核之潔淨能源」，以降低空氣污染、落實節能減碳，兆豐集團於2023 年12 月經董事會 通過核定，參考SBTi 要求訂定集團溫室氣體排放量（範疇1+2）：以2022 年為基準年，至2030 年減量42%，至2050 年實現淨零排放之目標。 再生能源及碳權採購 兆豐集團於2019 年首度完成再生能源憑證交易，分別透過國家再生能源憑證中心網路平台，分別向客家委員會、高雄市動保處、澎湖科技大學等標購再生能源憑證，至2022 年已累積採購1,176 張憑證。然考量再生能源憑證供貨不穩定、且價格逐年飆高，為實現集團SBT 目標，至2023 年起金控及各子公司總部之電力使用逐步提高綠電比例。 2024 年兆豐集團主要總部大樓使用60% 以上綠電，經結算共使用綠電9,381,000kWh，預計可減少4,634.21 公噸CO2e。兆豐集團還設定2030 年國內自有營運據點 100% 使用再生能源、至2050 年全球營運據點100% 使用再生能源之中長期目標。 此外，配合臺灣碳權交易所2023 年12 月22 日正式啟動碳權交易平台，兆豐金控積極響應成為首批國際碳權買家，後續將運用於抵減ISO 14064 溫室氣體盤查商務差旅 排放，全力支持政府邁向碳有價化時代。 溫室氣體盤查 兆豐集團於2015 年起導入ISO 14064-1 溫室氣體盤查，首年以5 棟主要大樓為示範單位，並逐步擴大盤查邊界。2019 年度完成之查證據點包含北部及中部139 處營運據 點，涵蓋率（不含海外據點）達72%。2020 年擴大盤查範圍至全臺192 處營運據點，涵蓋率（不含海外據點）達100%。2021 年開始執行海外據點範疇1+2 排放計算，並於 2022 年完成所有海外據點溫室氣體盤查，集團涵蓋率達100%。2024 年國內據點範疇1+2 排放量較基準年減少約23.1%，全球據點較基準年減少約19.9%，達成較基準年 減少10.5% 之短期目標。 4.3.3 水資源管理 兆豐集團屬於金融服務業，營運活動的水資源耗用主要來自於一般生活用水，對環境的衝擊極小，然因臺灣位於水資源壓力地區，2024 年經永續發展委員會決議更新目標， 設定2021 年人均用水量為基準年，2024 年較基準年減少1.5% 之短期目標、2030 年較基準年減少4.5% 之中期目標、集團國內營運據點人均用水量不超過21.12 度之長期 目標，透過多種管道於各營業據點向員工宣導珍惜水資源之重要性，並優先購買具有省水標章之設備（如感應式水龍頭及二段式沖水設備等），落實營運水資源管理。2024 年集團人均用水量較2021 年減少約5.9%，詳細集團用水資訊請參考附錄9.1.1 環境指標數據。 環境永續 72 4 環境永續 5 永續金融 6 客戶承諾 7 員工關懷 8 社會共榮 9 附錄"
兆豐,2024,碳排,full,Stage 4: Hybrid Consensus,60,x,1082,[[p.60]]  氣候風險矩陣 期間/ 排序 排序 風險小類 風險簡稱 採取方案 短期 TOP1 實體 立即性 AR1 極端氣候事件- 營運據點 選取短中期ToP1 為攸關之氣候風險因子優先評估，蒐集短中長財務影響、行動方案、 指標/ 目標。 中期 TOP1 轉型 政策和法規 AR10 溫室氣體排放成本增加- 碳排大戶 長期 TOP1 實體 長期性 AR5 平均溫度上升 長期具有潛在攸關之財務影響，因未有含宜量化評估長期財務影響方式，將列入質化 評估追蹤，蒐集行動方案，以降低長期風險發生機率。 短中長期 TOP2~3 實體 / 轉型 AR4 極端氣候事件- 投融資/ AR11 高碳排資產投融資風險增加 對集團尚未造成顯著財務影響，持續追蹤與關注，並列入教育訓練議題。  財 務 影 響 重 大 性 影響期間 短 中 長 大 小 AR1 極端氣候事件-營運據點 TOP 1 AR4 極端氣候事件-投融資 TOP 2 AR10 溫室氣體排放成本增加-碳排大戶 TOP 3 AR11 高碳排資產投融資風險增加 AR2 極端氣候事件-不動產擔保品 AR10 溫室氣體排放成本增加-碳排大戶 TOP 1 AR11 高碳排資產投融資風險增加 TOP 2 AR4 極端氣候事件-投融資 TOP 3 AR1 極端氣候事件-營運據點 AR8 原是料成本增加-營建業 AR5 平均溫度上升 TOP 1 AR10 溫室氣體排放成本增加-碳排大戶 TOP 2 AR11 高碳排資產投融資風險增加 TOP 3 AR4 極端氣候事件-投融資 AR1 極端氣候事件-營運據點 氣候情境分析 兆豐集團採用之情境係參考各國監理機關所公布之氣候變遷壓力測試架構與方法論，並將業務性質及營運地區納入評估，擇定不同氣候變遷情境來源，以利各子公司進行 一致性之情境分析測試評估。詳細分析內容請參考2024 年氣候暨自然環境報告書。 來源 說明 採用路徑 對應本世紀末升溫 聯合國政府間氣候變遷專門委員會(IPCC) 專注於實體影響 按溫室氣體不同濃度模擬未來情境 溫和路徑：SSP1-2.6 ~2℃ 嚴峻路徑：SSP5-8.5 >4℃ 中央銀行與監理機關綠色金融系統網絡 (NGFS) 考慮轉型風險、實體風險及氣候政策實施 有序轉型路徑： 1. Net Zero 2050 2. Below 2℃ 1. ~1.4℃ 2. ~1.8℃ 延遲轉型路徑情境：Delayed Transition ~1.7℃ 環境永續 58 4 環境永續 5 永續金融 6 客戶承諾 7 員工關懷 8 社會共榮 9 附錄
兆豐,2024,碳排,full,Stage 2: Sparse Match,64,x,1130,"[[p.64]]  4.1.4　氣候指標與目標 為監控與管理集團之實體風險，兆豐集團訂定溫室氣體排放目標及永續金融目 標。目前每年定期揭露溫室氣體排放量，自2022 年起完成集團100% 營運據點 盤查（詳細情形請參考4.3.2 能源及溫室氣體管理）。兆豐集團身為負責任的投資 人，積極與投資對象議合並合作減少碳排放，以配合全球淨零排放目標，於2021 年 自願響應「碳會計金融合作夥伴關係(The Partnership for Carbon Accounting  Financials, PCAF)」精神，依其所發展方法學計算主要投資/ 融資組合總碳排放 量，並進一步分析高氣候變遷風險產業之碳足跡，做為投資組合面臨氣候變遷風險 管理及評估之工具。兆豐集團將以此分析結果作為依據，檢視投融資組合中高碳排 貢獻之對象，持續加強客戶議合。 為響應巴黎協定設定本世紀末升溫不超過1.5 。C 之目標，兆豐金控於2023 年4 月簽署科學基礎減碳目標倡議(Science Based Targets Initiative, SBTi) 承諾， 除參考PCAF 方法學計算範疇三投融資碳排放，亦依據SBT 方法學設定具體減 碳目標及路徑，將目標提交SBTi 審核，並於2024 年6 月通過短期目標(Near- term) 設定及承諾淨零目標(Net-zero)。兆豐金控於2024 年訂定《政策影響力宣 言》，要求集團各公司擔任學/ 協/ 公會代表參與遊說活動，若屬遊說政策諮詢或 涉及氣候變遷等重大永續議題，應審慎評估並陳報董事長後指派對應之內部單位 參與，承諾於擔任學/ 協/ 公會代表參與遊說活動期間，能有效監督或審查遊說 活動及公共政策符合「巴黎協定」之精神。另外，兆豐集團透過參與銀行公會「氣 候變遷風險管理專案」及「新巴塞爾資本協定持續研議工作小組壓力測試分組專 案」，與公會討論制訂各金融業適用之氣候相關規範（包含銀行業財務碳排放揭 露指引手冊、保險與證券業TCFD 揭露指引等），與金融監督管理委員會進行多 次涉及氣候與再生能源等永續相關議題之對話與討論，同時規劃各子公司參與公 會及主管機關共同建立之金融業淨零推動工作平台計畫，期許藉由主管機關及公 會的力量，共同邁向2050 淨零排放目標。  ★ 案例分享 兆豐金控響應簽署「金融業環境宣言簽署活動」 兆豐金控積極參與氣候行動倡議，2024 年11 月26 日由董瑞斌董事長代表出席響應 金融總會「金融業環境宣言簽署活動」，在環境部彭啓明部長及金管會彭金隆主委的 見證下，由金融總會陳慧遊代理理事長與全體35 個團體會員共同簽署，宣示將致力 於推動淨零轉型與永續發展，展現配合國家政策的決心。"
兆豐,2024,碳排,full,Stage 3: Dense Match,94,G1、G3、G4,1078,"[[p.94]]  5.1.5 多元永續金融商品 ESG 信用卡 因應永續及淨零的全球趨勢，兆豐銀行2020 年起發行的信用卡皆取得「ISO 14067 碳足跡」和「ISO 14046 水足跡」認證，也通過環境部審核，取得環境部「碳足跡標籤」。 每張信用卡生產的產品碳足跡約800g、磁條信用卡則為380g，並透過買入碳權的方式，通過「碳中和(PAS 2060)」認證，讓每一張信用卡都升級成為「碳中和信用卡」。截 至2024 年底，兆豐銀行累積發出超過133.5 萬張碳中和信用卡，目標達成率為122.5%，估計可減少143 公噸的碳排放量，相當於1.2 萬棵樹每年可吸收的量體。 信用卡名稱 發行時間 信用卡特色 環境/ 社會效益 2024 年新增發行卡數 截至2024 年底累積已發行卡數 e 秒刷鈦金卡／ 萬事通金融信用卡 2017 年7 月  ¯ 環保信用卡、生態復育 （無價星球植林計畫）  ¯ 自2022 年5 月起PETG 卡面發行累計 種植7,500 顆樹木 14,668 296,527 Gogoro 聯名卡 2018 年9 月  ¯ 綠色信用卡、碳中和信用卡  ¯ 發行至今回饋電動機車電池約新臺幣 1.18 億元 1,570 123,790 e 秒Happy 悠遊鈦金卡 ／悠遊金融信用卡 2020 年6 月  ¯ 環保信用卡、生態復育 （台灣黑熊保育協會、野灣野生動物保育 協會、荒野保護協會）  ¯ 發行至今累積捐贈逾新臺幣230 萬元 6,790 69,922 海悅國際聯名卡 2021 年3 月  ¯ 碳中和信用卡、弱勢捐助 （羅慧夫基金會）  ¯ 發行至今累積捐贈逾新臺幣390 萬元 4,537 29,216 永續存款 兆豐銀行為因應既有企業客戶對ESG 之訴求，參考國際資本市場協會(International Capital Market Association, ICMA) 所訂之《綠色債券原則》(Green Bond  Principles, GBP) 及聯合國永續發展目標(Sustainable Development Goals, SDGs)之核心目標，將存款募集資金專門用於放款予符合規定及條件的綠色及社會效益項目， 或為這些項目進行再融資的運用。  ▌兆豐銀行2024 年度綠色/ 永續存款 單位：新臺幣仟元 資金運用 環境/ 社會效益 確信機構 執行企業家數 承作規模 投入陸域風力發電廠、太陽能發電設備、水面型太陽能 電廠、離岸風場等  ● 太陽能發電合計減少41,774.82 公噸二氧化碳排放"
兆豐,2024,碳排,full,Stage 3: Dense Match,164,x,180,劃期程，每年達成進度等資訊；若使用碳抵換或 再生能源憑證(RECs) 以達成相關目標，應說明所抵換之減碳額度來源及數量或再生能源憑證(RECs) 數量。  9. 溫室氣體盤查及確信情形與減量目標、策略及具體行動計畫。 4.1 氣候行動 9.1 永續數據 54 150 附錄 162 4 環境永續 5 永續金融 6 客戶承諾 7 員工關懷 8 社會共榮 9 附錄
