company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
玉山,2024,碳排,full,Stage 1: Entity Match,56,G2、G3、G4、G6,1199,[[p.56]]  56 邁向淨零排放 發揮金融影響力 打造韌性組織 成為員工的最愛 成為這片土地的最愛 以玉山為名 目錄 2.5 營運環境永續 2.5.1 自身營運管理 面對迫切的氣候變遷危機，全球政府及企業積極擬訂相關氣候調適策略，玉山也積極推動 自身的減碳、減水及減廢計畫，對內除了推動環保節能政策、推廣環境教育、建立環保節 能文化及執行環保節能措施外，對外訂定環境各面項中長期目標。 GRI：302-1、302-3、303-1、303-3、305-1、305-2、305-3、305-4、306-3 GRI：302-1、302-3、305-1、305-2、305-3、305-4  營運環境永續目標  減碳作為 以2020 年為基準年，至2030 年範疇一+ 二碳排放量降低42%。 以2020 年為基準年，至2030 年範疇三- 燃料和能源相關活動碳排放量降低42%。 以2020 年為基準年，至2030 年國內據點再生能源使用比例達100%。 以2020 年為基準年，至2030 年營收用水量降低30%。 以2016 年為基準年，至2030 年營收一般垃圾量降低78%。 全球各國政府及企業對「碳議題」的關注日益加深，隨著碳排有價的時代來臨， 減碳不再僅僅是口號，歐盟及其他國家紛紛推出碳稅機制，歐盟預計於2026 年正式施行碳邊境稅(CBAM)，而英國的碳邊境稅也規劃在2027 年啟動，臺 灣環境部則於2025 年獨步全球開徵碳費，透過課徵碳費促使全球人民對自身 的碳排放承擔責任。 低碳營運架構圖 1  使用節能設備：採用高能效的空調和照明設備，以提升能源使用效率。 2  汰換老舊公務車：將公務用車替換為電動載具，並設置充電樁，推廣綠色交通。 3  太陽能屋頂系統：建置太陽能屋頂自發自用，提高再生能源的使用比例。 4  綠建築設計：打造符合綠建築標準的辦公環境，提供同仁舒適的工作場所。 5  簽署購電協議：全力轉供再生能源電力，營造低碳運營環境。 1 2 3 4 5 承諾於2025 年將所有國內自有大樓完成太陽能板建 置，2024 年共完成31 個據點，完成比例達89%。 承諾於2027 年將所有國內自有大樓打造成綠建築， 2024 年共完成27 個據點，完成比例達77%。 太陽能屋頂 綠建築（EEWH & LEED） 2024 年取得綠建築標的 標的 項目 作為 九如辦公大樓 LEED v4.1 ID+C 白金級 整棟辦公大樓透過導入綠建築理念重新裝修 取得LEED ID+C 白金級認證 七賢分行 LEED v4.1 O+M 白金級 行舍屋齡超過50 年，但透過節能改善取得 LEED O+M 白金級認證 東港分行 LEED v4.1 O+M 白金級 屏東分行 LEED v4.1 O+M 白金級 為玉山第10 個獲得LEED 白金級的行舍，是 值得紀念的里程碑
玉山,2024,碳排,full,Stage 1: Entity Match,165,G3,1202,[[p.165]]  165 邁向淨零排放 發揮金融影響力 打造韌性組織 成為員工的最愛 成為這片土地的最愛 以玉山為名 目錄 GRI 300：環境系列2016 系列 揭露 描述 對應章節  頁數 省略/ 備註 GRI 302：   能源2016 302-1 組織內部的能源消耗量 2.5 營運環境永續 附錄十四、營運環境管理指標 56 179 302-3 能源密集度 2.5 營運環境永續 附錄十四、營運環境管理指標 56 179 GRI 303：   水2018 303-1 共享水資源之相互影響 2.5 營運環境永續 56 303-3 取水量 2.5 營運環境永續 56 GRI 305：  排放2016 305-1 直接（範疇一）溫室氣體排放 2.5 營運環境永續 附錄十四、營運環境管理指標 56 179 305-2 能源間接（範疇二）溫室氣體排放 2.5 營運環境永續 附錄十四、營運環境管理指標 56 179 305-3 其他間接（範疇三）溫室氣體排放 2.5 營運環境永續 附錄十四、營運環境管理指標 56 179 305-4 溫室氣體排放密集度 2.5 營運環境永續 附錄十四、營運環境管理指標 56 179 GRI 306：  廢污水和廢棄物 2020 306-3 廢棄物的產生 2.5 營運環境永續 附錄十四、營運環境管理指標 56 179 GRI 308：  供應商環境評估 2016 308-1 採用環境標準篩選新供應商 2.5.2 供應商管理 59 GRI 400：社會系列 系列 揭露 描述 對應章節  頁數 省略/ 備註 GRI 401：   勞雇關係2016 401-1 新進員工和離職員工 附錄十五、人力資源管理指標 180 401-2 提供給全職員工（不包含臨時或兼職員工）的福利 5.2 人才吸引與留任 138 401-3 育嬰假 附錄十五、人力資源管理指標 180 GRI 402：   勞/ 資關係2016 402-1 關於營運變化的最短預告期 5.1 人才培育與發展 133 GRI 403：  職業安全衛生2018 403-1 職業安全衛生管理系統 5.3 健康安全友善職場 145 403-2 危害辨識、風險評估、及事故調查 5.3 健康安全友善職場 145 403-3 職業健康服務 5.3 健康安全友善職場 145 403-4 有關職業安全衛生之工作者參與、諮商與溝通 5.3 健康安全友善職場 145 403-5 有關職業安全衛生之工作者訓練 5.3 健康安全友善職場 145 403-6 工作者健康促進 5.3 健康安全友善職場 145 403-7 預防和減輕與業務關係直接相關聯之職業安全衛生的衝擊 2.5.2 供應商管理 5.3 健康安全友善職場 59 145 403-8 職業安全衛生管理系統所涵蓋之工作者 5.3 健康安全友善職場 145
玉山,2024,碳排,full,Stage 1: Entity Match,179,G3、G4、G6,1504,"[[p.179]]  179 邁向淨零排放 發揮金融影響力 打造韌性組織 成為員工的最愛 成為這片土地的最愛 以玉山為名 目錄 項目 2021 年 2022 年 2023 年 2024 年 總消耗（MWh）  50,669   53,309   52,705  50,827 總消耗（GJ）  182,408   191,913   189,737  182,977 非再生能源消耗量（MWh）  49,570   45,313   40,676  24,374 非再生能源消耗量目標值（MWh）  48,899   46,755   44,611   42,468  再生能源消耗量（MWh）  1,099   7,996   12,029  26,453 人均能源用量（GJ/ 人） 19.54 21.07 20.82 19.74 營收能源用量（KWh/ 仟元） 0.88 0.97 0.79  0.67  營收能源用量（GJ/ 佰萬元） 3.15 3.50 2.84 2.40 資料涵蓋率 100% 100% 100% 100% 註：1 GJ = 277.778 kWh 項目 2021 年 2022 年 2023 年 2024 年 廢棄物總量 （噸） 698 692 692 703 資源回收 （噸） 210 203 174 180 一般垃圾 （噸） 488 489 518 523 一般垃圾目標值（噸） 559 489 545 565 人均一般垃圾（公斤/ 人） 52.3 53.7 56.8 56.5 營收一般垃圾（公斤/ 佰萬元）  8.43   8.93   7.77   6.87  營收一般垃圾目標值（公斤/ 佰萬元） 9.66 8.92 8.17 7.42 資料涵蓋率 100% 100% 100% 100% 註：1. 玉山營收一般垃圾減量目標以2016 年為基準年，每年減少5.57% 用水量達2030 年減少78%，2016 年營收一般垃圾為13.39 公斤/ 佰萬元。 2. 各年度廢棄物資料盤查及推估比例皆為95% 及5%。 3. 一般垃圾皆為焚燒處裡。 項目 2021 年 2022 年 2023 年 2024 年 總用水（噸） 238,715 248,609 242,972 236,648 總用水目標值（噸）  270,944   254,832   308,115   349,482  總用水（megaliters） 239 249 243 237 排水量 （噸） 214,844  223,748 218,675 212,983 耗水量 （噸） 23,872 24,861 24,297 23,665 耗水量目標 （噸） 27,094  25,483 30,811 34,948 人均用水量（噸/ 人） 25.57 27.29 26.66 25.53 營收用水量（噸/ 佰萬元） 4.12 4.54 3.64 3.11 營收用水目標值（噸/ 佰萬元） 4.68 4.65 4.62 4.59 資料涵蓋率 100% 100% 100% 100% 註：1. 玉山營收用水減量目標以2020 年為基準年，每年減少3% 用水量達2030 年減少30%，2020 年營收 用水量為4.71 噸/ 佰萬元。 2. 用水量完全來自GRI 準備定義之第三方的水（臺灣與臺北自來水公司），沒有來自地表水、地下水、 海水、產出水等項目。 能源消耗量 廢棄物量 用水量 附錄十四、營運環境管理指標 GRI：302-1、302-3、305-1、305-2、305-3、305-4、306-3"
玉山,2024,碳排,full,Stage 1: Entity Match,179,x,180,3% 用水量達2030 年減少30%，2020 年營收 用水量為4.71 噸/ 佰萬元。 2. 用水量完全來自GRI 準備定義之第三方的水（臺灣與臺北自來水公司），沒有來自地表水、地下水、 海水、產出水等項目。 能源消耗量 廢棄物量 用水量 附錄十四、營運環境管理指標 GRI：302-1、302-3、305-1、305-2、305-3、305-4、306-3
玉山,2024,碳排,full,Stage 4: Hybrid Consensus,177,G1、G2、G3、G6,1957,"[[p.177]]  177 邁向淨零排放 發揮金融影響力 打造韌性組織 成為員工的最愛 成為這片土地的最愛 以玉山為名 目錄 附錄十二、溫室氣體排放總表 種類 項目 2020 年 2021 年 2022 年 2023 年 2024 年 Scope 1 碳排放量 （噸） 2,399 1,857 1,844 2,161 2,403 碳排放量目標值（噸） - 2,298 2,197 2,097 1,996 Scope 2 碳排放量Location-based （噸）  22,640  22,656 24,403 24,339 23,369 碳排放量目標值Location-based （噸） -                 23,070             21,618             26,039             29,421 碳排放量Market-based （噸）  22,299  22,105 20,294 17,959 10,291 碳排放量目標值Market-based （噸） -                 21,362             20,426             19,489             18,552 Scope 1+2 碳排放量Market-based （噸） 24,698 23,962 22,139 20,120 12,694 人均碳排放量（噸/ 人） 2.6308 2.5669 2.4304 2.2073 1.3697 營收碳排放量（噸/ 佰萬元） 0.4391 0.4139 0.4039 0.3017 0.1667 資料涵蓋率 100% 100% 100% 100% 100% Scope 3 1 購買的商品和服務 5,708 4,589 154 39 38 2 資本貨物 47,033 43,921 50,422 37,005 28,705 3 燃料和能源相關活動 5,340 - 4,497 3,944 2,484 燃料和能源相關活動碳排目標量 - 5,116 4,891 4,667 4,443 4 上游運輸配送 - - - - - 5 運營中產生的廢棄物 120 158 175 179 181 6 商務旅行 29 43 60 280 314 7 員工通勤 - - - 3,169 3,645 8 上游租賃資產 - - - - - 9 下游運輸配送 - - - 0.18 0.21 10 銷售產品加工 - - - 324 380 11 銷售產品的使用 1,178 382 624 1,320 1,543 12 售出產品報廢處理 211 382 83 175 205 13 下游租賃資產 - - - - - 14 特許經營 - - - - - 15 投融資 4,710,269 3,672,612 4,945,550 5,355,042 5,508,602 其他上游 - - - - - 其他下游 - - - - - Scope 3 其他間接溫室氣體排放加總 4,769,887 3,722,087 5,001,565 5,401,478 5,546,097 溫室氣體排放總計  4,794,585   3,746,049   5,023,703   5,421,598   5,558,791  溫室氣體排放（Scope 1、Scope 2、Scope 3） 註：1.  範疇一排放以公務車用油、發電機柴油及瓦斯為主、範疇二排放以用電為主、範疇三則以員工差旅、廢棄物、採購商品排放、 資本商品排放及產品使用排放為主。 2. 範疇一、範疇二及範疇三飛航差旅為全據點，範疇三廢棄物及陸域差旅盤查範疇為國內據點。 3. 汽油及柴油排放係數依據「行政院環境保護署溫室氣體排放係數管理表（6.0.4 版本2017 年4 月）」。 4. 電力係數採用經濟部能源署公告2024 年度電力排碳係數0.494 CO2e/ 度。 5. 依據ISO 14064-1 組織溫室氣體盤查標準，排放量= 活動數據* 排放係數*GWP。 6. 冷媒GWP 參考IPCC 2024 第6 次評估報告。 7. 溫室氣體盤查採“營運控制權法”彙整數據。 8. Scope 2 Location-based 碳排放量目標設定方式以2020 年為基準，每年單位營收排放量減少1%。 9. Scope 2 Market-based 碳排放量目標設定方式以2020 年為基準，每年減少4.2%。 10.Scope 3 新增燃料和能源相關活動減碳目標，並以2020 為基準年，當年碳排放量為5,340 噸，每年減碳4.2% 以達2030 年減 碳42%。"
玉山,2024,碳排,full,Stage 4: Hybrid Consensus,60,G1、G2、G3,1410,"[[p.60]]  60 邁向淨零排放 發揮金融影響力 打造韌性組織 成為員工的最愛 成為這片土地的最愛 以玉山為名 目錄 2.6 玉山溫室氣體排放結構 金融業最大的排放來源為投融資業務，玉山投融資碳排放依據碳核算聯盟（Partnership for Carbon Accounting Financials, PCAF）發布之第二版指引進行盤查，並建 置財務碳排放計算系統，於2024 年7 月正式上線，將盤查頻率從每年一次提升至每月一次，即時監控每月碳排放量，此外，系統自動化計算機制有助於降低人工作業所 可能引發的錯誤以及作業時間。同時，玉山也制定盤查管理規章，以確保運算邏輯統一、分工明確及有效管理，並將方法論與資料文件化，增加整體盤查一致性，盤查結 果經第三方確信（詳見附錄十八）。透過碳排放資訊系統化，玉山持續關注資產碳相關指標的變化，以支持未來減碳轉型的計畫。 近四年溫室氣體排放量 2021 2022 2023 2024 確信單位 範疇一 1,857 1,844 2,161 2,403 臺灣檢驗科技股份有限公司 （SGS Taiwan) 範疇二 22,105 20,294 17,959 10,291 範疇三：投融資 3,672,612 4,945,550 5,355,042 5,508,602 資誠聯合會計師事務所 （PwC Taiwan） 範疇三：其他 49,475 56,015 46,436 37,495 臺灣檢驗科技股份有限公司 （SGS Taiwan) 總計(t-CO2e) 3,746,049 5,023,703 5,421,598 5,558,791 註1：範疇二碳排放量根據市場基準進行計算。 註2：詳細溫室氣體組成請參考附錄十一、附錄十二。 玉山金控 2021 2022 2023 2024 投融資碳排放（t-CO2e） 3,672,612 4,945,550 5,355,042 5,508,602 投融資碳足跡（Carbon Footprint） 1.73 2.10 2.14 1.99 加權平均碳強度（WACI） 6.23 4.77 5.09 5.03 盤查覆蓋率 （%） 75.27% 76.53% 77.62% 78.61% 集團子公司 銀行 證券劵 創投 投融資碳排放（t-CO2e） 5,501,355 3,226 4,021  投融資碳足跡（Carbon Footprint） 1.99 1.17 0.80  加權平均碳強度（WACI） 5.04 2.62 3.04 單位：公噸 單位：公噸 範疇三投融資組合財務碳排放盤查 註 1：2024 投融資碳排放係依財報整體資產類別增減幅度推估。 註 2：投融資碳足跡 = 投融資部位碳排放 / 盤查投融資部位餘額( 噸/ 新臺幣佰萬元)。 註3：加權平均碳強度(Weighted Average Carbon Intensity) 依據投融資對象每單位營收碳排放和玉山投融資比重計算，有助於判讀投融資組合碳排變化情況。 註 4：盤查覆蓋率 = 盤查投融資部位餘額 / 資產負債表 FVPL, FVOCI, AC 及放款及貼現科目加總。 註 5：盤查覆蓋率係指已依據PCAF 方法學盤查之投融資業務占總投融資業務部位比例。金控個體2024 年度符合PCAF 方法學之投融資業務占總投融資業務部位比例為100%。 單位：公噸"
玉山,2024,碳排,full,Stage 4: Hybrid Consensus,31,G1、G2、G3,487,永續專章  ．CDP climate change 成績達領導級  ．完成玉山銀行所有子行投融資財務碳排盤查導入  ．依循SBT 碳排路徑，以2020 年為基準年，Scope1+2 碳排放 量降低21%。  ．以2020 年為基準年，每單位營收用水量降低15%。  ．以2016 年為基準年，每單位營收廢棄物降低50.1%。 國內據點再生能源使用比例達50%。  ．達成SBTi Scope 1、2、3 的階段性減碳目標  ．依PCAF 方法論完成所有財務財務碳排放部位的盤查  ．依循SBT 碳排路徑，以2020 年為基準年，Scope1+2 碳排放 量降低42%。  ．以2020 年為基準年，每單位營收用水量降低30%。  ．以2016 年為基準年，每單位營收廢棄物降低78%。 國內據點再生能源使用比例達100%。 建立環保節能文化及執行環 保節能措施，降低營運成本。 以協議採購、自建太陽能以及購 買再生能源憑證等方式，提升再 生能源使用比例提升營運韌性。  ．控管營運環境指標，碳排放量、用水量及廢棄物。  ．以再生能源使用量及用電量為基準檢視再生能源使用比例。
玉山,2024,碳排,full,Stage 2: Sparse Match,57,G1,1553,"[[p.57]]  57 邁向淨零排放 發揮金融影響力 打造韌性組織 成為員工的最愛 成為這片土地的最愛 以玉山為名 目錄 2024 年目標 範疇一+ 二碳排放量降低            % 範疇三- 燃料和能源相關活動碳排 放量降低16.8% 國內據點再生能源使用比例達40% 2025 年目標 範疇一+ 二碳排放量降低        % 範疇三- 燃料和能源相關活動碳排放 量降低21% 國內據點再生能源使用比例達50% 2024 年成果 範疇一+ 二碳排放量降低             % 範疇三- 燃料和能源相關活動碳排放 量降低53% 國內據點再生能源使用比例達61.2% 2030 年目標 範疇一+ 二碳排放量降低         % 範疇三- 燃料和能源相關活動碳排放 量降低42% 國內據點再生能源使用比例達100% 16.8 16.8 21 21 48.6 48.6 42 42 註1：2020 年範疇1&2 碳排量24,698 噸，以此為基準。 註2：玉山溫室氣體排放詳細資訊請參考附錄「溫室氣體排放總表」。 已超前2030 年目標 實施內部碳定價 為響應臺灣2050 淨零轉型的治理基礎，加速推動節能減碳，玉山於2023 年開始 規劃並導入範疇一& 範疇二內部碳定價，首先訂定碳費價格，將碳費的概念融入節 能作為的成本效益，並透過溫室氣體盤查分析各單位碳排放與碳費資訊。2024 年 於國內所有據點推動內部碳定價，將排碳成本納入日常營運，使各單位意識到須將 碳排放視為成本，藉此引導各部門建立碳排管理作為。 汰換耗能設備 玉山金控主要以降低能源使用減少自身營運碳排放，玉山銀行於2023 年第四季發 起了「2025 年前將國內所有營運據點全面汰換為LED 燈具計畫」，已超前部署於 2024 年將全行據點燈具汰換成LED 燈，預估一年可省下約487 萬度電，相當於全 行10.4% 整體用電。 積極推廣再生能源 承諾於2040 海內外所有據點使用100% 再生能源，除了於自有大樓屋頂上持續 建設太陽光電發電設備自發自用外，自2021 年開始簽署再生能源購電協議，累計 2024 年底，總採購量達3,415 萬度，覆蓋率為72.9%， 2024 年度的再生能源使 用比例達61.2%。此外，玉山證券自2025 年1 月起，總公司、全臺17 家分公司 及子公司玉山投顧全面啟用綠電，為邁向2050 年淨零碳排放的目標全力以赴。 ・因應《氣候變遷因應法》2050 淨零轉型治理基 礎，玉山銀行國內據點均導入範疇一& 範疇二 內部碳定價作為減碳工具之一。 ・依循市場趨勢訂定碳費價格，參考歐盟定價、國 際均價、臺灣預計定價及罰款定價、具代表性同 業及異業之定價等，結合本公司減碳成本單價， 訂定碳費單價為USD100/ton CO2e。 ・為培養各部門應管理碳成本的觀念，透過「影子 價格」方式進行碳費揭露，並且採取隨碳徵收的 計費方式，提醒各部門預估次年度碳費預算。 ・持續完善相關基礎建設，建立系統化碳排資料 庫、佈屬大樓分層電力資訊蒐集管道、打造一致 性電力使用環境等。 ・將節能減碳作為的成本效益分析，導入碳定價概 念後重新梳理，縮短回收年限以提升汰換效益。 ・揭露各單位自身減碳情形，碳排放量越小，付 出的成本就越少，使得各單位必須採取行動( 包 含汰換高耗能設備、導入綠電等) 來降低碳費成 本，進而改變同仁的行為。 ・未來也依據實際減碳開銷、國內外碳費趨勢與減 碳相關法規滾動式調整碳費結構，透過碳成本管 理機制加速邁向淨零排放。 因應做法 依循法規要求 目的 滾動調整內部碳定價 建立一致性的使用環境 進行成本效益分析 提升能源使用效率 實現減碳目標 培養碳排有價的觀念"
玉山,2024,碳排,full,Stage 4: Hybrid Consensus,192,G1,1146,"[[p.192]]  192 邁向淨零排放 發揮金融影響力 打造韌性組織 成為員工的最愛 成為這片土地的最愛 以玉山為名 目錄 確信項目彙總表 編號 確信標的資訊 頁數 對應章節 適用基準 作業辦法* 1 2024 年股票與公司債投資業務碳排放量為 495,295 tCO2e，資料品質分數為3.17； 2024 年主權債投資業務（排除LULUCF） 碳排 放量為1,174,097 tCO2e，資料品質分數為1.00； 2024 年主權債投資業務（包含LULUCF）碳排放 量為1,064,381 tCO2e，資料品質分數為1.00； 2024 年企業貸款業務碳排放量為3,149,685  tCO2e，資料品質分數為3.79； 2024 年發電類型之專案融資貸款業務碳排放量為 169,954 tCO2e，資料品質分數為2.98； 2024 年商用不動產抵押貸款業務碳排放量為 143,237 tCO2e，資料品質分數為4.00； 2024 個人房屋抵押貸款業務碳排放量376,334  tCO2e，資料品質分數為4.00 178 附錄十三、2024  投融資碳排結構 玉山金控及旗下子公司（以下簡稱玉山）參考PCAF 設計「投融資組合財務碳排放計算基準」，對各資產類別進行財務碳排放與資料品質分數編制及揭露。  ．投融資組合財務碳排放量：為玉山所持有之投資組合及授信組合相關的範疇一及範疇二的碳排放量，以公噸二氧化碳當量（tCO2e）表示。玉山盡可 能使用「最新可取得之範疇一及範疇二排放量或推估數據」：  1. 最新可取得之範疇一及範疇二排放量來源包含：玉山直接向投資公司取得之碳排放數據，或自美國能源署、Bloomberg、外部諮詢單位、各國營 事業官網、各國政府公告國家碳排放、或第三方公開統計資料所取得之碳排放數據。 2. 推估數據係玉山參考PCAF 所建議的方法學進行推估，包含以建築物類別之樓地板單位面積用電量（EUI）推估之碳排放量、以營運數據推估之 碳排放量、以Bloomberg 之碳排放數據依照產業別進行分類，所推估計算的產業碳排放係數，或以最接近年度財務資料或帳列財務資料推估之分 配因子。  ．投資組合總碳排放編制範疇：玉山對2024 年12 月31 日所持有之自有投資資產內的股票、公司債及主權債進行盤查，範疇包括玉山銀行、玉山證券、 及玉山創投「透過損益按公允價值衡量之金融資產（FVTPL）」、「透過其他綜合損益按公允價值衡量之金融資產（FVTOCI）」、「按攤銷後成本 衡量之金融資產（AC）」三個會計科目之投資部位。  ．授信組合總碳排放編制範疇：玉山銀行國內及海外分行2024 年12 月31 日之發電專案融資、商業不動產抵押貸款，以及企業貸款部位。"
玉山,2024,碳排,full,Stage 3: Dense Match,178,G1,180,"ds）之投融資範疇三溫室氣體排放量計算，股票與公司債投資部位已排 除永續相關債券，排除部位碳排放量為31,727（公噸CO2e），若加入上述部位，整體盤查覆蓋率將提升至 79.39%。 註2：實體排放強度為產業特定活動在每單位產出的總碳排放量效率。 註 3：表格空值欄位（-）代表金控或子公司本揭露年度不持有相關資產。 地理區域分佈 資產類別分佈 產業類別分佈"
