company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
日月光,2024,碳排,full,Stage 1: Entity Match,260,G3,1377,[[p.260]]  GRI 準則 揭露項目 相關章節/ 說明 頁碼 GRI 202：市場地位 2016 3-3  重大主題管理 2.2 永續策略 2.4 重大性分析與利害關係人溝通 6.1 人才吸引與留任 24-29 38-52 164-167 202-2  雇用當地居民為高階管 理階層的比例 3.1 董事會運作 本公司係依中華民國公司法規定設立登記成 立之公司，董事會成員中擔任高階管理階層 者( 指兼任本公司經理人之董事)，有25% 為當地居民( 中華民國國籍)。 56  GRI 203：間接經濟衝擊 2016 3-3  重大主題管理 2.2 永續策略 2.3 聯合國永續發展目標與永續價值評估 2.4 重大性分析與利害關係人溝通 24-29 30-37 38-52  203-1 基礎設施的投資與支援 服務的發展及衝擊 2.3 聯合國永續發展目標與永續價值評估 30-37 GRI 204：採購實務 2016 3-3  重大主題管理 2.2 永續策略 2.4 重大性分析與利害關係人溝通 7.4 供應鏈管理框架 24-29 38-52 206-207 204-1 來自當地供應商的採購 支出比例 7.2 供應鏈概況 – 扶植在地供應商 200 GRI 205：反貪腐 2016 3-3  重大主題管理 2.2 永續策略 2.4 重大性分析與利害關係人溝通 3.3 商業道德 24-29 38-52 61-63  205-1 已進行貪腐風險評估的 營運據點 3.3 商業道德 62 GRI 準則 揭露項目 相關章節/ 說明 頁碼 205-2 有關反貪腐政策和程序 的溝通及訓練 3.3 商業道德 6.1 人才吸引與留任 7.1 供應鏈管理承諾 62 164 196  205-3 已確認的貪腐事件及採 取的行動 3.3 商業道德 2024 年日月光投控無任何政治捐獻行為， 亦無任何貪腐與賄賂案件，且並未因相關情 事而遭受罰款。  63 GRI 206：反競爭行為 2016 3-3  重大主題管理 2.2 永續策略 2.4 重大性分析與利害關係人溝通 3.3 商業道德 24-29 38-52 61-63  206-1 反競爭行為、反托拉斯和 壟斷行為的法律行動 2024 年日月光投控沒有抑制自由市場的壟 斷或不公平競爭行為。  - GRI 302：能源 2016 3-3  重大主題管理 2.2 永續策略 2.4 重大性分析與利害關係人溝通 5.1 氣候領導力 5.2 能源與碳管理 24-29 38-52 105-121 122-125 302-1 組織內部的能源消耗量 5.2 能源與碳管理- 化石( 非再生) 燃料、 電力與再生能源使用 122-125 302-3 能源密集度 5.2 能源與碳管理 - 電力與再生能源使用 123-124 302-4 減少能源消耗 5.2 能源與碳管理 - 能源管理、創新節能與 減碳方案 122  128-129  GRI 303：水與放流水 2018 3-3  重大主題管理 2.2 永續策略 2.4 重大性分析與利害關係人溝通 5.3 水資源 24-29 38-52 130-140  260 包容職場 責任採購 企業公民 綠色製造與低碳轉型 創新服務 誠信當責 永續管理 營運模式 附  錄
日月光,2024,碳排,full,Stage 1: Entity Match,261,G3,1396,[[p.261]]  GRI 準則 揭露項目 相關章節/ 說明 頁碼 303-1 共享水資源之相互影響 目標與標的請參閱「5 綠色製造與低碳轉 型-2024 主要績效」。 5.3 水資源 130-140  303-2 與排水相關衝擊的管理 5.3 水資源 - 廢水管控 140 303-3 取水量 5.3 水資源 - 取水與再利用 附錄：環境數據 - A. 廢棄物、水、能源、溫 室氣體與氣體排放 附錄：環境數據 - B. 水資源壓力區之取水 量、排水量及耗水量資訊 138 241 244 303-4 排水量 5.3 水資源 - 廢水管控 附錄：環境數據 - A. 廢棄物、水、能源、溫 室氣體與氣體排放 附錄：環境數據 - B. 水資源壓力區之取水 量、排水量及耗水量資訊 附錄：環境數據 - C. 設有廢水處理設施廠 房之放流水水質 140 241 244 245 303-5 耗水量 5.3 水資源 - 取水與再利用 附錄：環境數據 - A. 廢棄物、水、能源、溫 室氣體與氣體排放 附錄：環境數據 - B. 水資源壓力區之取水 量、排水量及耗水量資訊 138 241 244 GRI 305：排放 2016 3-3  重大主題管理 2.2 永續策略 2.4 重大性分析與利害關係人溝通 5.2 能源與碳管理 24-29 38-52 122-125  305-1 直接( 範疇一) 溫室氣體 排放 5.2 能源與碳管理 - 溫室氣體排放與管理 126 305-2 能源間接( 範疇二) 溫室 氣體排放 5.2 能源與碳管理 - 溫室氣體排放與管理 126 GRI 準則 揭露項目 相關章節/ 說明 頁碼 305-3 其它間接( 範疇三) 溫室 氣體排放 5.2 能源與碳管理 - 溫室氣體排放與管理 127 305-4 溫室氣體排放密集度 5.2 能源與碳管理 - 溫室氣體排放與管理 附錄：環境數據 - A. 廢棄物、水、能源、溫 室氣體與氣體排放 126 242-243 305-5 溫室氣體排放減量 5.2 能源與碳管理        - 溫室氣體排放與管理       - 創新節能與減碳方案 126 128-129 305-6 破壞臭氧層物質的排放 5.5 空污防制 146-147 305-7 氮氧化物(NOx)、硫氧化 物(SOx)，及其它重大的 氣體排放 5.5 空污防制 附錄：環境數據 - A. 廢棄物、水、能源、溫 室氣體與氣體排放 146-147 242 GRI 306：廢棄物 2020 3-3  重大主題管理 2.2 永續策略 2.4 重大性分析與利害關係人溝通 5.4 資源循環 24-29 38-52 141-145 306-1 廢棄物的產生與廢棄物 相關顯著衝擊 5.4 資源循環 141-145 306-2 廢棄物相關顯著衝擊之 管理 5.4 資源循環 141-145 306-3 廢棄物的產生 5.4 資源循環 附錄：環境數據 - A. 廢棄物、水、能源、溫 室氣體與氣體排放 141-145 241 306-4 廢棄物的處置移轉 5.4 資源循環 附錄：環境數據 - A. 廢棄物、水、能源、溫 室氣體與氣體排放 141-145 241 261 包容職場 責任採購 企業公民 綠色製造與低碳轉型 創新服務 誠信當責 永續管理 營運模式 附  錄
日月光,2024,碳排,full,Stage 4: Hybrid Consensus,114,G1、G2、G3、G4、G5,1336,[[p.114]]  地區層級：結果顯示，無作為情境下，由於台灣據點採用之碳 費單價相對較SSP1-1.9 情境低，財務衝擊皆低於營收的0.1%； 中國大陸廠區因據點數量較多且碳價情境較嚴苛，受到的碳費 / 稅衝擊相對較高。而在轉型策略下，由於低碳能源大幅減少 範疇1&2 排放，面臨之碳稅風險也大幅降低。 全球層級：隨著低碳能源比例的提升，碳費成本僅主要來自於 Scope 1 剩餘排放。由於其他海外廠區未設有排放門檻減免， 且所採用的碳稅參數為最嚴格情境，加上規劃於2050 年前達 成 RE100 目標，因此其碳稅／費風險預估將控制在總營收的  1% 以內。整體而言，採行轉型策略後所產生的碳費支出，將 遠低於無作為情境下的潛在成本。 在以SBT-NZ 為目標之情境下，碳費支出主要集中於初期階段， 並於2037 達到峰值， 2047 年後隨著排放達標，不再面臨相關 碳稅風險。SBT-NZ 要求每年排放減量4.2%，預計至2037 年 將僅剩最終殘餘排放，並於2050 實現淨零。因於2037 年時尚 未完全符合SBT 目標，導致該年碳費成本相對較高。若以IEA- NZE 為目標，因其排放要求逐年趨嚴，預期自2037 年起可能 開始出現潛在碳稅/ 費風險。然而，在既有轉型策略下，其碳 費支出仍顯著低於無作為情境。 SBT-NZ  排放目標 SSP 1-1.9 超過門檻 排放量 台灣據點 超過門檻排 放量 SSP 1-1.9 中國大陸 據點排放量 SSP 1-1.9 海外據點 排放量 SSP 1-1.9 IEA-NZE  排放目標 超過門檻 排放量 區域層級 全球層級 碳稅/費 ($US/tCO2e) 排放門檻 在再生能源策略(RE100) 推動下，日月光投控可完全滿足IEA-APS 與IEA-STEPS 的轉型目標。而SBT 減量路徑 規劃每年減量4.2%，約2038 年剩10% 最終殘餘排放。隨著低碳能源採購比例逐年提高，預估於2047 年左右 日月光投控將可達成SBTi 淨零目標(SBT-NZ)。 此外，雖然初期亦能符合IEA 淨零情境(IEA-NZ) 的要求，但自2037 年起，隨著排放的要求日益嚴格，單靠再 生能源轉型將難以滿足，仍需搭配其他類型的減碳方案，方能實現目標。 ( 一) 轉型策略下潛在財務風險推估 碳稅風險評估從兩個面向進行分析：區域層級與全球層級。 在區域層級，以當地政府政策為依據，評估各地區轉型策略的韌性：    台灣已公告碳費徵收規則，評估中採用每公噸CO2e 10 美元的碳價，並以年排放2.5 萬噸為門檻進行估算( 台 灣據點一共9 個廠區納管，可以減少共22.5 萬噸的碳費徵收)    中國大陸與其他海外廠區多數尚未明確制定碳費／碳稅法規，故採取最嚴格碳價進行預估 在全球層級，評估聚焦於日月光投控整體轉型策略與淨零目標間的差距。分析中分別以SBTi 淨零目標(SBT-NZ) 與IEA 淨零情境(IEA-NZE) 作為排放基準門檻，並假設未達目標時可能面臨的碳稅風險，採用最嚴苛碳價條件 進行估算。 114 包容職場 責任採購 企業公民 附  錄 創新服務 誠信當責 永續管理 營運模式 綠色製造與低碳轉型
日月光,2024,碳排,full,Stage 2: Sparse Match,117,G1、G2、G3、G4、G5、G6,1309,"[[p.117]]  Scope 1+2 (1.5DC) Scope 1+2 (WB2DC) scope 3 Scope 3 (WB2DC) Scope 3 (2DC) 指標與目標 日月光投控於2021 年通過科學基礎減碳目標倡議組 織 (SBTi) 審核完成至近期減量目標之設定，2022 年更 進一步響應淨零排放並於2024 年SBTi 通過長期淨零 目標。日月光投控明確制定短/ 中/ 長期減碳目標( 涵 蓋率100%)，清楚設定子公司溫室氣體排放門檻，依 照子公司營運特性分階段導入內部碳定價，將溫室氣 體排放量有價化，不僅強化內部組織減碳之驅動力， 同時也掌控外部相關的政策衝擊，為激勵內部管理與 減量推動，我們將溫室氣體排放密集度及水資源使用 效率納入高階主管獎勵制度，從高階管理至所有廠區 員工同協力邁向淨零轉型。 2016 基準年1 Net Zero 90% 90% 90% 58.8% 37.8% 62.5% 35% 22.5% 2025 全球生產製造廠區27% 使用再生能源 產品碳足跡盤查涵蓋率 >50% 2050 碳移除技術 殘餘碳排放透過碳權交易或 相關技術達到淨零排放 2040 全球生產製造廠區72%使用 再生能源 產品碳足跡盤查涵蓋率達 100% 公務車與堆高機低碳化100% 2030 全球生產製造廠區42%使用再 生能源 碳捕捉技術合作與應用  全球辦公室使用100%再生能源 關鍵產品碳足跡每年降低 2% (SBT Near term) scope 1+2 1 Scope 1+2 基準年排放量1,763,221 tCO2e 2 Scope 3 基準年排放量為19,636,385 tCO2e。依據國際半導體產業協會(SEMI) 近期發布《Scope 3 Category 11 GHG Assessment》指引中指出，類別11、 12 並不適用於OSAT 產業，因此應予以排除不進行盤查(https://discover.semi. org/scope-3-category-11-ghg-assessment-download-form.html) 3 BVCM：價值鏈外減緩(Beyond Value Chain Mitigation)，這些行動包含價值鏈 的支持減碳與碳移除技術，或是企業購買碳權抵換等相關行動 2020 2025 100% 製造廠區溫室氣體盤查與 查證 推動低碳物流 輔導關鍵供應商碳盤查與查證㞽 溫室氣體(GHG)產品碳足跡 (CFP) Net Zero 90% 67% 90% 25% 52.6% 15% 20% 第一階供應商 議合 使用低碳材料 推動投資公司能源 轉型 2030 50% 第一階供應商 議合 推動價值鏈能源轉型 投資碳匯專案>2 件 專案 2040 100% 第一階供應 商議合 碳捕捉技術應用 2050 碳移除技術 殘餘碳排放透過碳權 交易或相關技術達到 淨零排放(BVCM3) 基準年2 (SBT Near term) 117 包容職場 責任採購 企業公民 附  錄 創新服務 誠信當責 永續管理 營運模式 綠色製造與低碳轉型"
日月光,2024,碳排,full,Stage 2: Sparse Match,126,G1、G2、G3、G4、G5、G6,1214,"[[p.126]]  範疇1 範疇1+2 地區別 範疇1+2 地區別排放強度 範疇1+2 市場別 範疇1+2 市場別排放強度 溫室氣體排放與管理 日月光投控依循ISO 14064-1 以100% 掌控全球廠區溫室氣體排放量，2024 年以市場基準計算範疇一與 二 1，共排放181 萬 tCO2e 2，溫室氣體單位營收密集度較2015 基準年減少40%。由於產業特性主要排放 源來自於電力使用，除了持續提升能源效率使用，2024 年有19 個廠區通過ISO 50001 驗證，涵蓋率達 73%；同時，我們也啟動階段性大規模再生能源或憑證採購，透過全球營運據點的市場成熟狀況逐步提 升使用比例，以達成2030 年減量目標並逐步邁向淨零排放。溫室氣體範疇三排放主要排放類別為採購商 品與服務佔整體83%，對此我們主動與價值鏈合作，展開供應商溫室氣體與產品碳足跡盤查輔導，以技 術分享、異業合作及獎勵等模式積極展開各面向減量作為；近年我們也展開投資子公司之溫室氣體盤查 輔導並且分享減量技術，提升產業鏈盤查能力並分析減碳熱點，攜手展開減碳行動。 1 電力排放係數採用廠區當地電力排放係數進行計算 2 溫室氣體盤查以營運控制揭露排放範疇，全球暖化潛勢(GWP) 引用自IPCC《第六次評估報告》 溫室氣體排放量與排放強度 0 500,000 1,000,000 1,500,000 2,000,000 2,500,000 0.00 0.03 0.06 0.09 0.12 0.15 0.099 0.124 90,591 90,993 75,274 72,269 0.083 0.117 0.081 0.103 0.091 0.117 2,406,407 1,702,641 2,262,840 1,762,235 2,217,226 1,724,621  2,242,612 1,805,579 20243 2021 2022 2023 tCO2e / 千美元營收 tCO2e 單位：tCO2e 溫室氣體排放 排放量 (tCO2e) 範疇一 固定式燃燒排放源 21,363 移動式燃燒排放源 2,630 逸散排放源 27,200 製程排放源 21,049 土地利用 27 範疇二 ( 市場別) 電力 1,718,881 蒸氣、供熱、製冷、壓縮空氣 14,429 範疇三 18,067,529 二氧化碳 (CO2) 24,449 33.83% 六氟化硫 (SF6) 136 0.19% 氧化亞氮 (N2O) 86 0.12% 甲烷 (CH4) 3,816 5.28% 氫氟碳化物 (HFC) 25,540 35.34% 全氟碳化物 (PFC) 17,910 24.78% 三氟化氮 (NF3) 332 0.46% 範疇一 排放比例 126 包容職場 責任採購 企業公民 附  錄 創新服務 誠信當責 永續管理 營運模式 綠色製造與低碳轉型"
日月光,2024,碳排,full,Stage 4: Hybrid Consensus,127,G1、G2,1127,"[[p.127]]  範疇三 排放量(tCO2e) 主要係數來源 減量推動方向 購買商品或服務 14,999,675 SimaPro 9.6.0.1 / Ecoinvent 3.10/EF Database 3.1   優先採購選用低碳原物料/ 回收再製之材料   鼓勵使用再生能源 上游購買的資本物品 2,210,464 SimaPro 9.6.0.1 / Ecoinvent 3.10 / EXIOBASE   優先採購低碳設備以及興建低碳廠房 與燃料和能源相關活動 ( 未涵蓋在範疇一或二) 379,145 SimaPro 9.6.0.1 / EXIOBASE/USLCI    階段性提高再生能源使用比例 上游運輸和配送 209,262 SimaPro 9.6.0.1 / USLCI / Agri-footprint   以低碳運輸方案取代現行運輸   減少產品包裝材料   建立上下游運具與運輸距離整合平台 下游運輸和配送 61,588 SimaPro 9.6.0.1 / USLCI / Agri-footprint 營運產生廢棄物的處置與處理 15,629 SimaPro 9.6.0.1 /USLCI / 產品碳足跡資訊網    推動循環經濟，採用產品生命週期結束時元件可回收之設計 商務差旅 1,818 GOV.UK-Conversion factors: full set   合理化出差管理   視訊會議取代實體會議 員工通勤 32,323 SimaPro 9.6.0.1 / USLCI   提供碳幣鼓勵低碳通勤   推廣搭乘大眾交通運輸 上游租賃資產 5,439 SimaPro 9.6.0.1 / EXIOBASE / EU & DK Input Output Database   能源使用效率提升 下游租賃資產 25,901 產品碳足跡資訊網   能源使用效率提升 投資 1  126,285 投資子公司範疇一與範疇二溫室氣體排放量   展開溫室氣體盤查輔導並推動減量 總計 18,067,529 1 ASEP Cayman Ltd 及 Cyland Corp 在ASEH 永續報告書發行前，溫室氣體盤查數據仍處於第三方查證階段  USI Hirschmann Car Communication GmbH、Hirschmann Car Communication Holding S.a.r.l、USI Asteelflash 及其所屬子公司，共21 家已完成溫室氣體排放量盤查，預計2026 年完成第三方查證 127 包容職場 責任採購 企業公民 附  錄 創新服務 誠信當責 永續管理 營運模式 綠色製造與低碳轉型"
日月光,2024,碳排,full,Stage 2: Sparse Match,116,G2、G4、G5,979,"[[p.116]]  15 495 406 41 0 316 148 0 0 0 0 0 237 140 161 82 147 78 133 80 119 72 105 68 91 0 0 0 52 16 95 95 1,158 936 862 641 397 357 326 280 239 185 0 - 1,400.00 1,200.00 1,000.00 800.00 600.00 400.00 200.00 - Million USD 2024 2024 2026 2027 2028 2029 2030 2035 2040 2045 2050  SBT 目標碳稅成本   既有策略成本  BVCM 成本 BAU 碳稅成本 ( 三) 全球淨零轉型的管理成本 日月光投控達成淨零轉型情境下，主要管理成本來自於碳稅/ 費，2040 年以後隨著再生能源使用比例提高，主要成本將轉為來自 於再生能源採購。此外，根據SBT-NZ 標準，允許企業在2050 年或之前減排至90% 以上時，可採用碳移除或儲存技術抵換最終 無法消除之殘餘排放。考量範疇二排放可透過低碳能源轉型達成減量目標，預計將優先以碳移除技術用於抵換範疇一排放。由於 自2040 年起整體排放已符合 SBT-NZ 的路徑目標，因此於2050 年前無須考量 BVCM (Beyond Value Chain Mitigation)。BVCM  成本將依碳移除平均價格 (235 USD/tCO2e) 估算，預計至 2050 年將產生約1,500 萬美元的支出。 以上分析結果中，比較兩種策略在不同情境下的碳稅成本，相較於無作為策略，低碳能源轉型策略下的財務衝擊較低。日月光投 控已明確制定短/ 中/ 長期再生能源使用目標以2016 年為基準每年逐步提高再生能源使用比例3%，預計2025 達RE25、2040 達 RE72，最終於2050 年達成RE100。針對中國大陸與海外廠區的再生能源策略，中期是以RE100 為目標；而台灣廠區會考量市場 供給狀況，階段性調整目標並階段啟動再生能源採購計畫。 財務衝擊程度 ASEH 2030 0.1-1% 2040 1-5% 2050 1-5% 116 包容職場 責任採購 企業公民 附  錄 創新服務 誠信當責 永續管理 營運模式 綠色製造與低碳轉型"
日月光,2024,碳排,full,Stage 2: Sparse Match,243,G1、G2,475,"[[p.243]]  1 ASEP Cayman Ltd 及 Cyland Corp 在ASEH 永續報告書發行前，溫室氣體盤查數據仍處於第三方查證階段  USI Hirschmann Car Communication GmbH、Hirschmann Car Communication Holding S.a.r.l、USI Asteelflash 及其所屬子公司，共21 家已完成溫室氣體排放量盤查，預計2026 年完成第三方查證 上市上櫃公司溫室氣體盤查資訊 2024 排放量( 噸CO2e) 本公司 範疇一 直接溫室氣體排放 32 範疇二( 市場別) 間接溫室氣體排放 112 小計 144 合併財務報告所有子公司 範疇一 直接溫室氣體排放 132,217 範疇二( 市場別) 間接溫室氣體排放 1,799,647 小計 1,931,864 總計 1 1,932,009 密集度 ( 噸CO2e/ 營業額新臺幣百萬元) 3.2448 243 包容職場 責任採購 企業公民 綠色製造與低碳轉型 創新服務 誠信當責 永續管理 營運模式 附  錄"
日月光,2024,碳排,full,Stage 2: Sparse Match,202,G3、G5,836,[[p.202]]  設定低碳策略 日月光投控將供應商碳排放量納入選商與留商機制，並設定減碳目標，同時並建立供應商分級管理，針對採購量大、 高碳排放量之供應商優先要求訂定短中期目標與減碳行動。 完善碳資訊 日月光投控透過供應鏈碳排放量熱點分析，分別鑑別ATM 與EMS 重要減碳議合供應商( 高碳排放量原物料；高採 購金額與高耗能機台設備供應商)，設定更積極的減碳要求與目標，要求重要減碳議合供應商( 原物料與機台設備) 須於2030 年前取得ISO 14064-1 溫室氣體盤查或同等第三方查證以及指定原物料取得ISO 14067 產品碳足跡的第 三方查證。同時，為協同供應商持續精進碳管理能力( 包含因應氣候變遷風險與機會的管控)，進而設定減排目標與 改善行動，2025 年，日月光投控將與CDP 簽訂供應鏈氣候變遷與水安全問卷合作，邀請供應商參與CDP 供應鏈專 案，提高供應鏈碳數據品質及透明度。 為建構完善的供應鏈碳資訊資料庫，同時協助供應商建置碳盤查 能力，自2022 年起，日月光投控投入輔導資源與外部輔導單位合 作，協助供應商建立符合法規管理要求之溫室氣體與產品碳足跡 管理系統，透過現場與線上輔導的方式協助供應商建立ISO 14064 溫室氣體與ISO 14067 產品碳足跡盤查能力，並取得第三方查證。 截至2024 年，已完成28 家原物料與機台設備供應商輔導，並順 利取得外部查證證書。我們期望藉由輔導過程鑑別供應商在營運流 程中的排碳熱點，要求供應商制定減排計畫，藉由擴大與供應鏈議 合，偕同供應商精進碳管理能力。同時，我們亦於年度供應商大會 中表揚取得溫室氣體與產品碳足跡查證之供應商，透過同業間的分 享與正向競爭，激勵供應商將碳管理納入營運考量，發揮日月光投 控產業影響力。 2024 供應商大會 – 表揚取得碳盤查第三方認證之供應商 202 包容職場 企業公民 附  錄 綠色製造與低碳轉型 創新服務 誠信當責 永續管理 營運模式 責任採購
日月光,2024,碳排,full,Stage 3: Dense Match,126,G1、G2、G6,180,"19% 氧化亞氮 (N2O) 86 0.12% 甲烷 (CH4) 3,816 5.28% 氫氟碳化物 (HFC) 25,540 35.34% 全氟碳化物 (PFC) 17,910 24.78% 三氟化氮 (NF3) 332 0.46% 範疇一 排放比例 126 包容職場 責任採購 企業公民 附  錄 創新服務 誠信當責 永續管理 營運模式 綠色製造與低碳轉型"
