company,year,topic_query,ablation_mode,match_type,page,子面向,char_len,preview
台泥,2024,碳排,full,Stage 1: Entity Match,246,G3,1372,"[[p.246]]  GRI準則 重大主題 GRI3：重大主題2021 3-1 決定重大主題的流程 3-2 重大主題列表 重大主題｜氣候行動與淨零排放 GRI3：重大主題2021 3-3 重大主題管理 GRI201：經濟績效2016 201-2 氣候變遷所產生的財務影響及其它風險與機會 GRI302：能源2016 302-1 組織內部的能源消耗量 1 302-3 能源密集度 302-4 減少能源消耗 GRI305：排放2016 305-1 直接(範疇一)溫室氣體排放 305-2 能源間接(範疇二)溫室氣體排放 305-3 其它間接(範疇三)溫室氣體排放 305-4 溫室氣體排放強度 對應章節 利害關係人與重大主題分析 利害關係人與重大主題分析 利害關係人與重大主題分析 1.4 TCFD 6.1 ESG數據表 台泥關鍵指標｜環境 永續目標與追蹤 6.1 ESG數據表 台泥關鍵指標｜環境 6.1 ESG數據表 台泥關鍵指標｜環境 6.2 上市公司編製與申報永續報告書作業辦法 6.1 ESG數據表 台泥關鍵指標｜環境 6.2 上市公司編製與申報永續報告書作業辦法 6.1 ESG數據表 台泥關鍵指標｜環境 6.2 上市公司編製與申報永續報告書作業辦法 6.1 ESG數據表 台泥關鍵指標｜環境 6.2 上市公司編製與申報永續報告書作業辦法 備註／省略說明 2024年台灣及中國大陸營運據點之能源消耗總量為92,088,519GJ，其 中非再生能源消耗90,306,520GJ，再生能源消耗1,781,999GJ。非再生 能源之燃料類別包含煤炭、柴油、汽油、天然氣、外購電力、餘熱發 電電力及非再生替代燃料，其中非再生替代燃料共13,325,135GJ；再 生能源之燃料類別包含再生生質燃料及再生能源，再生生質燃料約當 1,531,469GJ。再生能源能以每千度等於3.6GJ換算，約當250,530GJ 2024年廠區節能方案共節電42,850千度、節煤52,161噸及節省柴油200 公升，相當於1,357,933GJ。詳細節能方案請詳6.1.2台泥關鍵指標｜建 築材料事業—2024年節能方案 溫室氣體包含CO₂、CH₄、N2O、HFCs，無PFCs、SF6、NF3三類溫 室氣體排放 GRI行業準則中的揭露項目參考編號 14.1.1 14.2.1 14.2.2 14.1.2 14.1.3 14.1.4 14.1.5 14.1.6 14.1.7 14.1.8 頁碼 197 197 197 51 208,232 35 208,232 208,232 240 208,232 240 208,232 240 208,232 240 註1：鑒於時程安排，CIMPOR 及 OYAK CEMENT 之消耗能源總量將於台泥官網 ESG 專區揭露。 ESG數據表 — 上市公司編製與申報永續報告書作業辦法 — GRI內容索引表 — SASB永續會計準則索引表 — ESRS索引表 — 第三方驗證聲明 Overview                治理                減碳                增綠                自然                共融                附錄 246"
台泥,2024,碳排,full,Stage 1: Entity Match,247,G3,1125,"[[p.247]]  GRI準則 重大主題｜再生資源協同處理 GRI3：重大主題2021 3-3 重大主題管理 GRI306：廢棄物2020 306-1 廢棄物的產生與廢棄物相關顯著衝擊 306-2 廢棄物相關顯著衝擊之管理 306-3 廢棄物的產生 306-4 廢棄物的處置移轉 重大主題｜綠色能源與儲能 GRI3：重大主題2021 3-3 重大主題管理 GRI302：能源2016 302-1 組織內部的能源消耗量 1 302-3 能源密集度 302-4 減少能源消耗 對應章節 利害關係人與重大主題分析 2.2 低碳生產管理 2.3 資源循環 2.2 低碳生產管理 6.1 ESG數據表 台泥關鍵指標｜環境 6.1 ESG數據表 台泥關鍵指標｜環境 6.1 ESG數據表 台泥關鍵指標｜環境 利害關係人與重大主題分析 6.1 ESG數據表 台泥關鍵指標｜環境 6.1 ESG數據表 台泥關鍵指標｜環境 6.1 ESG數據表 台泥關鍵指標｜環境 備註／省略說明 2024年台灣及中國大陸營運據點之能源消耗總量為92,088,519GJ，其中非再生能源 消耗90,306,520GJ，再生能源消耗1,781,999GJ。非再生能源之燃料類別包含煤 炭、柴油、汽油、天然氣、外購電力、餘熱發電電力及非再生替代燃料，其中非 再生替代燃料共13,325,135GJ；再生能源之燃料類別包含再生生質燃料及再生能 源，再生生質燃料約當1,531,469GJ。再生能源能以每千度等於3.6GJ換算，約當 250,530GJ 2024年廠區節能方案共節電42,850千度、節煤52,161噸及節省柴油200公升，相當 於1,357,933GJ。詳細節能方案請詳6.1.2台泥關鍵指標｜建築材料事業—2024年節能 方案 GRI行業準則中的揭露項目參考編號 14.5.1 14.5.2 14.5.3 14.5.4 14.5.5 頁碼 197 89 99 89 208,232 208,232 208,232 197 208,232 208,232 208,232 註1：鑒於時程安排，CIMPOR 及 OYAK CEMENT 之消耗能源總量將於台泥官網 ESG 專區揭露。 ESG數據表 — 上市公司編製與申報永續報告書作業辦法 — GRI內容索引表 — SASB永續會計準則索引表 — ESRS索引表 — 第三方驗證聲明 Overview                治理                減碳                增綠                自然                共融                附錄 247"
台泥,2024,碳排,full,Stage 4: Hybrid Consensus,12,G1、G5,982,"[[p.12]]  範疇三減碳目標經產業特性、排放規模大小及減量機會之 鑑別後，選定「上游運輸」、「下游運輸」、「採購商品及服 務」以及「燃料及能源相關活動」這4個類別完成2030年短期 減量目標設定，並根據SBT 1.5度方法學設定整體範疇三2050 年長期減量目標。 範疇三項目 | 基準年：2024 C4 上游運輸 C9 下游運輸 C1 採購產品及服務 C3 燃料和能源相關活動 2024年排放量 (tCO2e) 664,210 480,331 1,220,508 1,149,386 2030年目標 -3.0% -3.0% -0.5% 2050年目標 全項目範疇三 註2：範疇三C4、C9、C1與C3目標，範疇涵蓋台灣與中國大陸水泥廠，占其範疇三排放量比例73%。 碳捕獲利用及封存技術 (CCUS) 子公司CIMPOR與歐洲水泥研究院(ECRA)及德國水泥產業協會(VDZ)合 作，於葡萄牙Alhandra及Souselas廠持續推動CCUS技術發展；2019年至2022 年亦參與歐盟資助之Strategy CCUS計畫，積極推動南歐及東歐據點之CCUS發 展計畫及商業模式。台灣現因國際情勢變化、封存地點及相關配套措施尚未明 確等因素暫緩執行，優先投入短期即可降低碳排之富氧燃燒技術，並持續關注 封存技術的最新發展。另低碳研發中心目前也已自主研發出低碳UHPC材料， 可現場澆注泵送及應用於3D列印等技術。 CIMPOR位於葡萄牙的Souselas廠 Our 2024 — Letter to Our Stakeholders — TCC Group Holdings At a Glance — TCC Vision & Drivers — Driver｜穩健資金 — Driver｜碳競爭力 — 台泥DAKA再生資源處理中心 — Driver｜AI創新與電動化 — 海外水泥事業 — Driver｜多元共融 — 公正轉型 —  產品與服務價值鏈 — 永續目標與追蹤 — 2024榮耀與肯定 — 關於本報告書 Overview                治理                減碳                增綠                自然                共融                附錄 12"
台泥,2024,碳排,full,Stage 4: Hybrid Consensus,208,G1、G2,1685,"[[p.208]]  6.1.2 建築材料事業 | 台泥關鍵指標 — 環境 近四年溫室氣體排放量 ｜ 單位 公噸二氧化碳當量 項目 範疇一 範疇二(所在地基準) 範疇二(市場基準) 範疇一及範疇二(市場基準)彙總 範疇三 台灣   中國大陸   小計   CIMPOR & OYAK CEMENT   合計    台灣   中國大陸   小計   CIMPOR & OYAK CEMENT   合計    台灣   中國大陸   小計   CIMPOR & OYAK CEMENT   合計    台灣   中國大陸   小計   CIMPOR & OYAK CEMENT   合計    台灣   中國大陸   小計   CIMPOR & OYAK CEMENT   合計 2022 4,314,312 20,715,305 25,029,617 - 25,029,617 218,480 846,574 1,065,054 - 1,065,054 218,480 846,574 1,065,054 - 1,065,054 4,532,792 21,561,879 26,094,671 - 26,094,671 17,428  - 17,428 - 17,428 2021 4,798,945 25,867,678 30,666,623 - 30,666,623 220,392 1,094,397 1,314,789 - 1,314,789 220,392 1,094,397 1,314,789 - 1,314,789 5,019,337 26,962,075 31,981,412 - 31,981,412 28,761  - 28,761 - 28,761 2023 3,463,663 17,418,591 20,882,254 - 20,882,254 195,702 656,627 852,329 - 852,329 195,702 656,627 852,329  - 852,329 3,659,365 18,075,218 21,734,583  - 21,734,583 6,277,977 - 6,277,977 - 6,277,977 2024 3,311,817 20,300,454 23,612,270 9,183,229 32,795,500 208,671 698,270 906,941 482,671 1,389,612 208,631 682,879 891,510 537,745 1,429,255 3,520,448 20,983,333 24,503,781 9,720,974 34,224,755 6,473,285 963,241 7,436,526 1,867,000 9,303,526 註1：2023年新增揭露範疇為合盛礦業；2024年新增揭露範疇為龍山、懷化、遼寧水泥廠；福州、柳州粉磨站；鳳勝、一二三環保、北京環保、台泥廣東再生資源科技有限公司、CIMPOR、OYAK CEMENT及歐洲營運總部。 註2：CIMPOR & OYAK CEMENT於2024年3月起方正式併入本公司合併財報中，故上表僅統計其2024年3月至12月之溫室氣體排放量。 註3：溫室氣體排放計算採營運控制權法進行盤查，計算方法為活動數據*排放係數*GWP值。 註4：溫室氣體範疇三涵蓋GHG Protocal Scope 3共計15類。 註5 : 為符合金融監督管理委員會之要求，此表採用IPCC AR6的溫室氣體GWP值計算。 ESG數據表 — 上市公司編製與申報永續報告書作業辦法 — GRI內容索引表 — SASB永續會計準則索引表 — ESRS索引表 — 第三方驗證聲明 Overview                治理                減碳                增綠                自然                共融                附錄 208"
台泥,2024,碳排,full,Stage 4: Hybrid Consensus,209,G1、G2,841,"[[p.209]]  註1：2024年新增揭露範疇為龍山、懷化、遼寧水泥廠；福州、柳州粉磨站；鳳勝、一二三環保、北京環保、台泥廣東再生資源科技有限公司。 註2 : 為符合管制機關環境部之要求，此表採用IPCC AR5的溫室氣體GWP值計算。 近二年範疇一彙總之各類溫室氣體排放量 ｜ 單位 公噸二氧化碳當量 項目 二氧化碳(CO2) 甲烷(CH4) 氧化亞氮(N2O) 氫氟碳化物(HFCs) 全氟碳化物(PFCs) 六氟化硫(SF6) 三氟化氮(NF3) 台灣   中國大陸   合計   台灣   中國大陸   合計   台灣   中國大陸   合計    台灣   中國大陸   合計   台灣   中國大陸   合計   台灣   中國大陸   合計   台灣    中國大陸   合計 2023 3,451,687.86 22,786,777.11 26,238,464.97 1,436.22 849.88 2,286.10 6,086.47 597.49 6,683.96 406.82 7,380.32 7,787.14 - - - - 395.14 395.14 - - - 2024 3,311,669.45 20,316,085.00 23,627,754.45 1,946.25 693.96 2,640.21 6,555.26 377.72 6,932.97 630.87 1,421.41 2,052.28 - - - - 314.99 314.99 - - - ESG數據表 — 上市公司編製與申報永續報告書作業辦法 — GRI內容索引表 — SASB永續會計準則索引表 — ESRS索引表 — 第三方驗證聲明 Overview                治理                減碳                增綠                自然                共融                附錄 209"
台泥,2024,碳排,full,Stage 3: Dense Match,91,x,1132,"[[p.91]]  內部碳定價&內部碳交易 因應歐盟碳邊境調整機制(CBAM)正式上路與台灣 碳費制度即將實施，台泥積極運作內部碳定價制度，進 行成本效益分析，以提前反映碳成本對營運與投資的影 響，並作為推動低碳轉型的經濟誘因工具，強化各據點 在資本支出評估、營運決策與減碳行動中的風險意識與 行動力。台泥同步模擬碳交易制度，2024年啟用內部碳 交易平台，藉由試算各據點排放額度與減量成效，強化 排放責任分工與部門間協作，並鼓勵技術創新與低碳投 資配置。此外，CIMPOR與OYAK CEMENT依據歐洲水 泥協會(CEMBUREAU)、國際能源總署(IEA)及彭博新能 源財經(Bloomberg New Energy Finance, BNEF)等多方 預測訂立內部碳定價，2025年投資敏感性分析，皆以 2030年外部碳價150歐元/噸CO2e進行。 台泥亦試行「水定價制度」，自2025年起，台灣 與中國大陸水泥事業依不同營運單位用水強度、地區水 資源風險與水價趨勢，導入水成本計價模型，期以經濟 誘因驅動節水改善行動，實踐環境與經營永續雙贏。台 灣據點為(當地水價＋新台幣3元)／度、中國大陸據點 為(當地水價＋人民幣0.75)元／度。更多溫室氣體管理 內容請參閱碳競爭力與CH2.3。 響應綠色辦公 實踐日常低碳管理 台泥響應綠色辦公環保 標章倡議，從源頭採購、設 備管理到辦公行為將淨零理 念落實於日常營運。台灣及 中國大陸辦公區域宣導避免 使用一次性用品，優先採購 具環保標章與FSC認證產 品，並推動智慧能源監控、 節能設施升級，未來將複製 管理流程至海外據點，深 化員工綠色意識。 2024年聚焦重點行動： ◒ 強化影印機控管，每月發送用紙統計比較表  ◒ 設置會議室智慧系統  ◒ 以玻璃杯取代紙杯減少一次性用品 100%水泥事業之範疇一+範疇二 (含水泥廠、製品廠、粉磨站) 影子價格(Shadow price) 依據IEA《世界能源展望報告》STEPS情境及當地碳市價格訂定 人民幣105元/噸CO2e 參考2024年第五次碳費審議委員會建議訂定 新台幣500元/噸CO2e 台灣 中國大陸 範疇 定價類型 定價方式 2025年碳定價 內部碳定價 杭州公亮大樓戶外辦公區域 ◒ 垃圾桶減量 減少使用垃圾袋與塑膠耗材  ◒ 於廁所設置乾手機，減少衛生紙用量 低碳建材 — 低碳生產管理 — 資源循環 Overview                治理                減碳                增綠                自然                共融                附錄 91"
台泥,2024,碳排,full,Stage 2: Sparse Match,13,G1、G2、G3、G5,1308,[[p.13]]  2025年1月台泥台灣與中國大 陸據點、歐洲子公司CIMPOR、 OYAK CEMENT皆通過SBT 1.5度審 核，同時承諾與設定2050淨零計 畫。依照SBT設定方法學，係以每 噸膠結材料之毛排放量(gross GHG  emissions per ton of cementitious  products) ，作為目標碳排放強度 計算依據。 SBT 減碳目標 註3：台灣與中國大陸之淨零目標，將待完成範疇三排放佔比計算後，預計於2025年底前通過SBT專家會議完成淨零目標設定。 註4：SBT目標涵蓋100%基準年範疇一與範疇二排放量。 範疇一 公斤 CO2e / 噸膠結材料 公斤 CO2e / 噸膠結材料 範疇二 2016 724 30 2024 642 25 2030 -23.9% -64.4% 目標基準年/ 2050 承諾 Net Zero 範疇一 公斤 CO2e / 噸膠結材料 公斤 CO2e / 噸膠結材料 範疇二 2021 740 49 2024 621 36 2030 -20.59% -56.3% 目標基準年/ 2050 -95.8% Net Zero 範疇一 公斤 CO2e / 噸膠結材料 公斤 CO2e / 噸膠結材料 範疇二 2022 659 28 2024 643 7 2030 -19.5% -55.7% 目標基準年/ 2050 -95.2% Net Zero Our 2024 — Letter to Our Stakeholders — TCC Group Holdings At a Glance — TCC Vision & Drivers — Driver｜穩健資金 — Driver｜碳競爭力 — 台泥DAKA再生資源處理中心 — Driver｜AI創新與電動化 — 海外水泥事業 — Driver｜多元共融 — 公正轉型 —  產品與服務價值鏈 — 永續目標與追蹤 — 2024榮耀與肯定 — 關於本報告書 Overview                治理                減碳                增綠                自然                共融                附錄 Our 2024 — Letter to Our Stakeholders — TCC Group Holdings At a Glance — TCC Vision & Drivers — Driver｜穩健資金 — Driver｜碳競爭力 — 台泥DAKA再生資源處理中心 — Driver｜AI創新與電動化 — 海外水泥事業 — Driver｜多元共融 — 公正轉型 —  產品與服務價值鏈 — 永續目標與追蹤 — 2024榮耀與肯定 — 關於本報告書 Overview                治理                減碳                增綠                自然                共融                附錄 13
台泥,2024,碳排,full,Stage 2: Sparse Match,243,G1、G2、G3、G4,662,"[[p.243]]  溫室氣體確信資訊 本公司依上市櫃公司永續發展路徑圖規定至少應執行確信之涵蓋範圍： • 母公司個體應自民國113年開始執行確信。  • 合併財務報告子公司應自民國116年開始執行確信。  本公司溫室氣體盤查最近兩年度執行確信情形說明如下： 溫室氣體減量目標、策略及具體行動計畫 請參閱「Driver｜碳競爭力 」章節 項目 母公司 確信機構 確信情形說明 確信意見／結論 範疇一 直接溫室氣體排放 範疇二 間接溫室氣體排放 總計 佔所揭露盤查數據百分比 民國112年排放量(公噸CO2e) 3,459,664 195,661 3,655,324 100% 新加坡商英國標準協會集團私人有限公司台灣分公司(BSI)與台灣檢驗科技股份有限公司(SGS) 確信準則ISO14064-3:2019 無保留意見 民國113年排放量(公噸CO2e) 3,303,179 206,001 3,509,180 100% 新加坡商英國標準協會集團私人有限公司台灣分公司(BSI) 確信準則ISO14064-3:2019 無保留意見 ESG數據表 — 上市公司編製與申報永續報告書作業辦法 — GRI內容索引表 — SASB永續會計準則索引表 — ESRS索引表 — 第三方驗證聲明 Overview                治理                減碳                增綠                自然                共融                附錄 243"
台泥,2024,碳排,full,Stage 2: Sparse Match,242,G1、G2、G3,1521,"[[p.242]]  溫室氣體盤查資訊 本公司基本資料： • 資本額100億元以上公司、鋼鐵業、水泥業。  • 依上市櫃公司永續發展路徑圖規定至少應揭露：母公司個體自民國112年開始盤查，合併財務報告子公司自民國114年開始盤查。  合併公司依照國際標準組織(ISO)發布之ISO14064-1溫室氣體盤查標準建立溫室氣體盤查機制。自民國105年起，每年定期盤查本公司個體，自民國94年起陸續啟動合併財務報告子公司之溫室氣體排 放量，完整掌握溫室氣體使用及排放狀況，並驗證減量行動之成效。 此外，最近兩年度溫室氣體盤查數據係依據營運控制法彙總包括本公司及合併財務報告所有子公司之溫室氣體排放量，說明如下： 註1：母公司直接排放量（範疇一）、能源間接排放量（範疇二）資料涵蓋範圍：本公司台灣地區水泥及混凝土業務，包含水泥製造和平分公司和平廠、蘇澳廠；預拌混凝土製造台北、台中、高雄水泥製品廠，及其轄下22個據點、高雄與台中港發貨站； 辦公室包含集團營運總部及低碳研發中心。 註2：民國113年及112年母公司能源密集度分別以台泥個體公司營收淨額26,077,189仟元及26,021,513仟元換算；民國113年合併財務報告子公司能源密集度以營收淨額154,606,511仟元換算。 註3：本公司民國113年及112年直接排放量（範疇一）與能源間接排放量（範疇二）之數據，皆有委由第三方機構包含新加坡商英國標準協會集團私人有限公司台灣分公司(BSI)、台灣檢驗科技股份有限公司(SGS)進行查證，相關證書可至本公司官網永續 認證頁面查看。 註4：子公司CIMPOR及OYAK CEMENT相關營業收入自民國113年3月份起方正式併入本公司合併財報中，故上表揭露子公司CIMPOR及OYAK CEMENT民國113年3月至12月之溫室氣體排放量；若採用GHGProtocol之整年的溫室氣體排放量(All-YearOption) 規定納入CIMPOR及OYAK CEMENT民國113年度全年溫室氣體排放量，則民國113年合併財務報告子公司直接與間接溫室氣體排放量分別為38,010,464及1,340,890公噸CO2e，另假設CIMPOR及OYAK CEMENT相關營業收入自民國113年起併入本公司合併財 報中，則民國113年度擬制營業收入為139,305,507仟元，用以計算民國113年合併財務報告子公司能源密集度，直接與間接溫室氣體排放密集度分別為272.9及9.6公噸CO2e／營業額佰萬元。 項目 母公司 範疇一 直接溫室氣體排放 範疇二 間接溫室氣體排放 合併財務報告子公司 範疇一 直接溫室氣體排放 範疇二 間接溫室氣體排放 總計 總排放量(公噸CO2e) 3,459,664 195,661 - - 3,655,324 密集度(公噸CO2e／營業額佰萬元) 133.0 7.5 - - 140.5 總排放量(公噸CO2e) 3,303,179 206,001 36,500,100 1,256,511 41,265,791 密集度(公噸CO2e／營業額佰萬元) 126.7 7.9 279.0 9.6 266.9 2023 2024 ESG數據表 — 上市公司編製與申報永續報告書作業辦法 — GRI內容索引表 — SASB永續會計準則索引表 — ESRS索引表 — 第三方驗證聲明 Overview                治理                減碳                增綠                自然                共融                附錄 242"
台泥,2024,碳排,full,Stage 4: Hybrid Consensus,252,x,768,"[[p.252]]  6.4 SASB 永續會計準則索引表 揭露主題 溫室氣體排放 空氣品質 能源管理 指標代碼 EM-CM-110a.1 EM-CM-110a.2 EM-CM-120a.1 EM-CM-130a.1 性質 量化 質化 量化 量化 頁碼 (ESG數據表) - (碳競爭力SBT減碳目標) (ESG數據表) 範疇1 受排放限制法規所涵蓋之排放百分比：6.50% 揭露範疇以固定源為主 2024年台灣及中國大陸 營運據點之總能源消耗 量為92,088,519 GJ 2024台灣及中國大陸營運據點之 總能源消耗量包含替代燃料消耗 14,856,604 GJ 電網電力百分比為總能源消耗中 外購電力占比 揭露指標 範疇1 排放之全球總排放量 範疇1 受排放限制法規所涵蓋之排放百分比 對管理範疇1排放之長期及短期策略或計畫、 排放減量目標，以及針對該等目標之績效分析 之討論 下列空氣汙染物之排放:(1)氮氧化物(不包括氧 化亞氮)、(2)硫氧化物、(3)懸浮微粒(PM10)、 (4)戴奧辛/呋喃、(5)揮發性有機物(VOCs)、(6) 多環芳香烴(PAHs)，及(7)重金屬 總能源消耗量 1 電網電力百分比 註1：鑒於時程安排，CIMPOR 及 OYAK CEMENT 之消耗能源總量將於台泥官網 ESG 專區揭露。 ESG數據表 — 上市公司編製與申報永續報告書作業辦法 — GRI內容索引表 — SASB永續會計準則索引表 — ESRS索引表 — 第三方驗證聲明 Overview                治理                減碳                增綠                自然                共融                附錄 9.37% 252"
